scheme_record_id,scheme_id,scheme_label,table_caption,sr_no,raw_is_number,canonical_is_number,display_is_number,standard_year,title,product_name,notified_by,notification_reference,mandatory_voluntary,certification_type,source_id,source_URL,retrieval_timestamp,scraper_engine,extraction_method,record_status,missing_reason
"SCHII-0001","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","1","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Electronic Games (Video)","Ministry Of Electronics And Information Technology","Electronics & Information Technology Goods (Requirements for Compulsory Registration) Order, 2012 Dated 03rd October 2012; Notification No. S.O. 2357(E) dated 07 September 2012; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O.1246 (E) Dated 10 March, 2026","MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","SUCCESS",NULL
"SCHII-0002","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","2","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Laptop/Notebook/Tablets","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0003","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","3","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Plasma/ LCD/LED Televisions of screen size 32″ & above","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0004","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","4","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Optical Disc Players with built in amplifiers of input power 200W and above","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0005","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","5","IS 302-2-25","IS 302 (Part 2/Sec 25)","IS 302 (Part 2/Sec 25)",NULL,"Safety of household and similar electrical appliances: Part 2 Particular requirements: Section 25 Microwave ovens","Microwave Ovens","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0006","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","6","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Visual Display Units, Video Monitors of screen size 32″ & above","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0007","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","7","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Printers, Plotters","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0008","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","8","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Scanners","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0009","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","9","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Wireless Keyboards","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0010","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","10","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Telephone Answering Machines","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
