document_id,document_type,title,is_id,canonical_is_number,product_id,scheme_id,qco_id,version,publication_date,effective_date,source_url,download_url,local_path,sha256,access_type,parser_status,retrieved_at,page_count,http_status,content_type,bytes,last_modified,dedup_status,license_access_restriction,source_reference_label,source_document_ids,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
DOC-00001,OFFICIAL_WEBPAGE,FMCS landing page,,,,,,,,,https://www.bis.gov.in/fmcs/?lang=en,,,,,,,,200,text/html,,,PRIMARY,,,,1,F044,output__source_inventory.csv,,F044:-:3,CANONICAL,0,,,,6,23.08
DOC-00002,OFFICIAL_WEBPAGE,About FMCS,,,,,,,,,https://www.bis.gov.in/fmcs/certification-process/aboutfmcs/?lang=en,,,,,,,,200,text/html,,,PRIMARY,,,,1,F044,output__source_inventory.csv,,F044:-:5,CANONICAL,0,,,,6,23.08
DOC-00003,OFFICIAL_WEBPAGE,Dimensions of ISI Mark,,,,SCH-00006,,,,,https://www.bis.gov.in/fmcs/certification-process/bis-standard-mark/?lang=en,https://www.bis.gov.in/wp-content/uploads/2018/08/Diamensions_of_ISI.pdf,,b1ed9c84b17f41df1fb4ed9ae1040a10b740a1ab3b894fa5d2add3e2beaf8af5,ACCESSIBLE_NOT_DOWNLOADED,,,1,200,text/html,,,PRIMARY,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document,,DOC-FMCS-ISI-MARK-DIMENSIONS,2,F044;F046,output__source_inventory.csv;output__topic19_official_documents.csv,,F044:-:7;F046:-:16,CONFLICT_PRESERVED,2,document_type;title,,,13,50.00
DOC-00004,OFFICIAL_WEBPAGE,Conditions of Licence,,,,SCH-00006,,,,,https://www.bis.gov.in/fmcs/certification-process/grant-of-licence/?lang=en,https://www.bis.gov.in/wp-content/uploads/2018/11/ConditionofLicence.pdf,,6c1c378454232566cac08bc2edebb7ea54a87d9f7c79952e90b46e79372d8dce,ACCESSIBLE_NOT_DOWNLOADED,,,1,200,text/html,,,PRIMARY,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document,,DOC-FMCS-CONDITIONS-OF-LICENCE,2,F044;F046,output__source_inventory.csv;output__topic19_official_documents.csv,,F044:-:11;F046:-:13,CONFLICT_PRESERVED,2,document_type;title,,,13,50.00
DOC-00005,OFFICIAL_WEBPAGE,FMCS Application Submission User Manual,,,,SCH-00006,,,,,https://www.bis.gov.in/fmcs/certification-process/how-to-apply/?lang=en,https://www.bis.gov.in/wp-content/uploads/2018/08/FM_CHECKLIST.pdf,,c24d715422211e0043134a43c2c12568061f2cbd0858660f39e9d3d004289d9f,ACCESSIBLE_NOT_DOWNLOADED,,,4,200,text/html,,,PRIMARY,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document,,DOC-FMCS-CHECKLIST-FM | DOC-FMCS-CHECKLIST-APPLICATION | DOC-FMCS-APPLICATION-SUBMISSION-USER-MANUAL,2,F044;F046,output__source_inventory.csv;output__topic19_official_documents.csv,,F044:-:9;F046:-:14;F046:-:15;F046:-:21,REQUIRES_REVIEW,5,document_type;download_url;page_count;sha256;title,YES,CONFLICT_FREE_TEXT_DIVERGENCE,13,50.00
DOC-00006,OFFICIAL_WEBPAGE,Nomination of Authorized Indian Representative (AIR) - Form VI,,,,SCH-00006,,,,,https://www.bis.gov.in/fmcs/certification-process/nomination-of-air/?lang=en,https://www.bis.gov.in/wp-content/uploads/2019/04/AIR1-Form-VI.pdf,,9a54cdabe41f30ce52859eaa7b65f41bb6c62031bc60abd8153bc0356523a221,ACCESSIBLE_NOT_DOWNLOADED,,,1,200,text/html,,,PRIMARY,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document,,DOC-FMCS-FORM-VI-AIR-NOMINATION,2,F044;F046,output__source_inventory.csv;output__topic19_official_documents.csv,,F044:-:10;F046:-:3,CONFLICT_PRESERVED,2,document_type;title,,,13,50.00
DOC-00007,OFFICIAL_WEBPAGE,Operation of Licence,,,,,,,,,https://www.bis.gov.in/fmcs/certification-process/operation-of-licence/?lang=en,,,,,,,,200,text/html,,,PRIMARY,,,,1,F044,output__source_inventory.csv,,F044:-:12,CANONICAL,0,,,,6,23.08
DOC-00008,OFFICIAL_WEBPAGE,Products under FMCS,,,,,,,,,https://www.bis.gov.in/fmcs/certification-process/products-under-fmcs/?lang=en,,,,,,,,200,text/html,,,PRIMARY,,,,1,F044,output__source_inventory.csv,,F044:-:6,CANONICAL,0,,,,6,23.08
DOC-00009,OFFICIAL_WEBPAGE,Who can apply,,,,,,,,,https://www.bis.gov.in/fmcs/certification-process/who-can-apply/?lang=en,,,,,,,,200,text/html,,,PRIMARY,,,,1,F044,output__source_inventory.csv,,F044:-:8,CANONICAL,0,,,,6,23.08
DOC-00010,OFFICIAL_WEBPAGE,Contact us - FMCS,,,,,,,,,https://www.bis.gov.in/fmcs/fmcs-contact-us/?lang=en,,,,,,,,200,text/html,,,PRIMARY,,,,1,F044,output__source_inventory.csv,,F044:-:20,CANONICAL,0,,,,6,23.08
DOC-00011,OFFICIAL_WEBPAGE,FMCS FAQ,,,,,,,,,https://www.bis.gov.in/fmcs/fmcs-faqs/?lang=en,,,,,,,,200,text/html,,,PRIMARY,,,,1,F044,output__source_inventory.csv,,F044:-:19,CANONICAL,0,,,,6,23.08
DOC-00012,OFFICIAL_WEBPAGE,List of Fee (FMCS Fee Structure),,,,SCH-00006,,,,,https://www.bis.gov.in/fmcs/fmcs-fee/?lang=en,https://www.bis.gov.in/wp-content/uploads/2021/06/LIST-OF-FEE-3.pdf,,d44dbe9a38c5c148bca75f1f6935aa7c95fe5b5a3a65582f2fe16bc2b551c19e,ACCESSIBLE_NOT_DOWNLOADED,,,2,200,text/html,,,PRIMARY,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document,,DOC-FMCS-FEE-STRUCTURE-LIST | DOC-FMCS-FEE-BIS,2,F044;F046,output__source_inventory.csv;output__topic19_official_documents.csv,,F044:-:18;F046:-:19;F046:-:20,REQUIRES_REVIEW,5,document_type;download_url;page_count;sha256;title,YES,CONFLICT_FREE_TEXT_DIVERGENCE,13,50.00
DOC-00013,OFFICIAL_WEBPAGE,FMCS Laboratories,,,,,,,,,https://www.bis.gov.in/fmcs/fmcs-laboratories/?lang=en,,,,,,,,200,text/html,,,PRIMARY,,,,1,F044,output__source_inventory.csv,,F044:-:16,CANONICAL,0,,,,6,23.08
DOC-00014,OFFICIAL_WEBPAGE,Overview - FMCS,,,,,,,,,https://www.bis.gov.in/fmcs/fmcs-overview/?lang=en,,,,,,,,200,text/html,,,PRIMARY,,,,1,F044,output__source_inventory.csv,,F044:-:4,CANONICAL,0,,,,6,23.08
DOC-00015,OFFICIAL_WEBPAGE,"Performance Bank Guarantee (PBG) - Form XI - alternate BIS URL, document not served",,,,SCH-00006,,,,,https://www.bis.gov.in/fmcs/forms-and-formats/?lang=en,https://www.bis.gov.in/wp-content/uploads/2019/04/Application-Form-V.pdf,,3d15850b2863091ffe20a18183ca33332ded340c30fe3b6b57c3cf5a499c69a7,ACCESSIBLE_NOT_DOWNLOADED,,,2,200,text/html,,,PRIMARY,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document,,DOC-FMCS-FORM-V-APPLICATION | DOC-FMCS-NOMINATION-FORM | DOC-FMCS-FORM-IX-AGREEMENT | DOC-FMCS-FORM-X-INDEMNITY-BOND | DOC-FMCS-FORM-XI-PBG | DOC-FMCS-FORM-I-MANUFACTURING-MACHINERY | DOC-FMCS-FORM-II-TEST-EQUIPMENT | DOC-FMCS-FORM-IV-TEST-REPORT-FORMAT | DOC-FMCS-FORM-XIV-CHANGE-OF-SCOPE | DOC-FMCS-SELF-COMPLIANCE-REPORT | DOC-FMCS-FORM-IX-AGREEMENT-ALTURL | DOC-FMCS-FORM-XI-PBG-ALTURL,2,F044;F046,output__source_inventory.csv;output__topic19_official_documents.csv,,F044:-:15;F046:-:2;F046:-:4;F046:-:5;F046:-:6;F046:-:7;F046:-:9;F046:-:10;F046:-:11;F046:-:12;F046:-:18;F046:-:22;F046:-:23,REQUIRES_REVIEW,6,access_type;document_type;download_url;page_count;sha256;title,YES,CONFLICT_FREE_TEXT_DIVERGENCE,13,50.00
DOC-00016,OFFICIAL_WEBPAGE,Prescribed formats for inclusion of new varieties,,,,SCH-00006,,,,,https://www.bis.gov.in/fmcs/inclusion-of-new-varieties/?lang=en,https://www.bis.gov.in/wp-content/uploads/2019/03/Prescribed-formats-for-inclusion-of-new-varieties.pdf,,8a1b663f0c0d52fe0db3ea4ed7b6df184bf4feca76f26009a0abdff207cc14e3,ACCESSIBLE_NOT_DOWNLOADED,,,6,200,text/html,,,PRIMARY,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document,,DOC-FMCS-INCLUSION-NEW-VARIETIES-FORMATS,2,F044;F046,output__source_inventory.csv;output__topic19_official_documents.csv,,F044:-:13;F046:-:17,CONFLICT_PRESERVED,1,document_type,,,13,50.00
