is_id,canonical_is_number,manufacturer_count,licence_count,source_file_id,source_file,source_sheet,source_row,record_disposition
STD-00033,STD-10116,1,1,F043,output__fmcs_is_coverage.csv,,2,CANONICAL
STD-00037,STD-10151,2,2,F043,output__fmcs_is_coverage.csv,,3,CANONICAL
STD-00051,STD-10325,4,4,F043,output__fmcs_is_coverage.csv,,4,CANONICAL
STD-00066,STD-10613,3,3,F043,output__fmcs_is_coverage.csv,,5,CANONICAL
STD-00066,STD-10613,1,1,F043,output__fmcs_is_coverage.csv,,6,CANONICAL
STD-00067,STD-10617,24,24,F043,output__fmcs_is_coverage.csv,,7,CANONICAL
STD-00067,STD-10617,16,16,F043,output__fmcs_is_coverage.csv,,8,CANONICAL
STD-00077,STD-10702,6,6,F043,output__fmcs_is_coverage.csv,,9,CANONICAL
STD-00078,STD-10748,19,22,F043,output__fmcs_is_coverage.csv,,10,CANONICAL
STD-00081,STD-10773,9,9,F043,output__fmcs_is_coverage.csv,,11,CANONICAL
STD-00081,STD-10773,5,5,F043,output__fmcs_is_coverage.csv,,12,CANONICAL
STD-00083,STD-1079,18,20,F043,output__fmcs_is_coverage.csv,,13,CANONICAL
STD-00094,STD-10910,1,1,F043,output__fmcs_is_coverage.csv,,14,CANONICAL
STD-00095,STD-10931,1,1,F043,output__fmcs_is_coverage.csv,,15,CANONICAL
STD-00095,STD-10931,11,11,F043,output__fmcs_is_coverage.csv,,16,CANONICAL
STD-00096,STD-10951,53,57,F043,output__fmcs_is_coverage.csv,,17,CANONICAL
STD-00104,STD-1110,28,28,F043,output__fmcs_is_coverage.csv,,18,CANONICAL
STD-00107,STD-11169-P2,1,1,F043,output__fmcs_is_coverage.csv,,19,CANONICAL
STD-00105,STD-11169,20,20,F043,output__fmcs_is_coverage.csv,,20,CANONICAL
STD-00117,STD-11329,16,18,F043,output__fmcs_is_coverage.csv,,21,CANONICAL
STD-00119,STD-11356-P1,1,1,F043,output__fmcs_is_coverage.csv,,22,CANONICAL
STD-00120,STD-11356-P2,3,3,F043,output__fmcs_is_coverage.csv,,23,CANONICAL
STD-00126,STD-11513,19,21,F043,output__fmcs_is_coverage.csv,,24,CANONICAL
STD-00136,STD-1161,7,7,F043,output__fmcs_is_coverage.csv,,25,CANONICAL
STD-00140,STD-11657,1,1,F043,output__fmcs_is_coverage.csv,,26,CANONICAL
STD-00146,STD-1170,2,2,F043,output__fmcs_is_coverage.csv,,27,CANONICAL
STD-00146,STD-1170,6,6,F043,output__fmcs_is_coverage.csv,,28,CANONICAL
STD-00148,STD-1171,1,1,F043,output__fmcs_is_coverage.csv,,29,CANONICAL
