hm_id,centre_name,centre_code,hallmarking_entity_type,address,city,district,state,pin,recognition_status,recognition_status_original,recognition_status_raw,validity,validity_date,suspended_cancelled_date,region,centre_type,hallmarking_scope,services,source_url,source_reference_label,source_centre_ids,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
HM-00001,M/s Jalan Hallmarking Centre,CRO/RAHC/R-110002,,"II-C/16 Lajpat Nagar Central Market New Delhi, SOUTH DELHI, LAJPAT NAGAR (SOUTH DELHI), DELHI ,110025",LAJPAT NAGAR (SOUTH DELHI),SOUTH DELHI,DELHI,110025,ACTIVE,ACTIVE,Operative,31/07/2028,,,,,"Yellow Gold,Silver Hallmarking",,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110002,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:2,CANONICAL,0,,,,14,66.67
HM-00002,SHRI SALASAR BALAJI HALLMARKING CENTRE,CRO/RAHC/R-110006,,"1189 JORAWAR BHAWAN,2nd FLOOR PARTANIO KA RASTAJOHARI BAZAR, JAIPUR, JAIPUR CITY, RAJASTHAN ,302003",JAIPUR CITY,JAIPUR,RAJASTHAN,302003,ACTIVE,ACTIVE,Operative,21/01/2028,,,,,Gold & Silver Both Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110006,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:3,CANONICAL,0,,,,14,66.67
HM-00003,City Hallmarking Centre,CRO/RAHC/R-110017,,"2780/20, 1st Floor, Beadon Pura,Karol Bagh, New Delhi, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,ACTIVE,ACTIVE,Operative,10/04/2029,,,,,Gold & Silver Both Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110017,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:4,CANONICAL,0,,,,14,66.67
HM-00004,SIDDHNATH ASSAYING & HALLMARKING CENTRE,CRO/RAHC/R-110031,,"137 S/F, Moti Bazar, Chandni ChowkDelhi, NORTH DELHI, CHANDNI CHOWK, DELHI ,110006",CHANDNI CHOWK,NORTH DELHI,DELHI,110006,ACTIVE,ACTIVE,Operative,14/06/2027,,,,,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110031,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:5,CANONICAL,0,,,,14,66.67
HM-00005,SAVITREE HALLMARKING & REFINERY,CRO/RAHC/R-110033,,"2165-2166,4th FLOOR, CHAKSU KA CHOWKHALDIYON KA RASTA, JOHARI BAZAR JAIPUR, JAIPUR, JAIPUR CITY, RAJASTHAN ,302003",JAIPUR CITY,JAIPUR,RAJASTHAN,302003,ACTIVE,ACTIVE,Operative,11/02/2028,,,,,Gold & Silver Both Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110033,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:6,CANONICAL,0,,,,14,66.67
HM-00006,SHREERAM HALLMARKING CENTRE,CRO/RAHC/R-110034,,"50,BADA SARAFA50,BADA SARAFA, INDORE, INDORE CLOTH MARKET, MADHYA PRADESH ,452002",INDORE CLOTH MARKET,INDORE,MADHYA PRADESH,452002,CANCELLED,CANCELLED,CANCELLED,Cancelled on 30/04/2026,,2026-04-30,CRO,AHC,,,https://huid.manakonline.in/MANAK/AHCSuspendCancelledAppsForWebsite,,AHC-CRO-RAHC-R-110034,1,F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F039:-:2,CANONICAL,0,,,,16,76.19
HM-00007,LAWAT HALLMARKING CENTER PRIVATE LIMITED,CRO/RAHC/R-110041,,"1733, Jat Ke Kue Ka Rasta,Chandpole Bazar,, JAIPUR, JAIPUR, RAJASTHAN ,302001",JAIPUR,JAIPUR,RAJASTHAN,302001,ACTIVE,ACTIVE,Operative,26/11/2027,,,,,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110041,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:7,CANONICAL,0,,,,14,66.67
HM-00008,SAMRIDDHI ASSAYING & HALLMARKING CENTRE,CRO/RAHC/R-110042,,"1170, 4th Floor, Kucha Mahajani,Chandni Chowk, Delhi, NORTH DELHI, CHANDNI CHOWK, DELHI ,110006",CHANDNI CHOWK,NORTH DELHI,DELHI,110006,ACTIVE,ACTIVE,Operative,06/12/2027,,,,,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110042,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:8,CANONICAL,0,,,,14,66.67
HM-00009,M/S AASTHA ASSAYING & HALLMARKING CENTRE,CRO/RAHC/R-110043,,"1733, 3RD FLOOR DARIBA KALAN, CHANDNI CHOWK, DELHI, NORTH DELHI, CHANDNI CHOWK, DELHI ,110006",CHANDNI CHOWK,NORTH DELHI,DELHI,110006,CANCELLED,CANCELLED,CANCELLED,Cancelled on 06/03/2023,,2023-03-06,CRO,AHC,,,https://huid.manakonline.in/MANAK/AHCSuspendCancelledAppsForWebsite,,AHC-CRO-RAHC-R-110043,1,F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F039:-:3,CANONICAL,0,,,,16,76.19
HM-00010,KATARIA FASHION HALLMARKING CENTRE,CRO/RAHC/R-110044,,"19, CHANDNI CHOWK, RATLAMRATLAM , M.P., RATLAM, RATLAM CITY, MADHYA PRADESH ,457001",RATLAM CITY,RATLAM,MADHYA PRADESH,457001,CANCELLED,CANCELLED,CANCELLED,Cancelled on 06/06/2025,,2025-06-06,CRO,AHC,,,https://huid.manakonline.in/MANAK/AHCSuspendCancelledAppsForWebsite,,AHC-CRO-RAHC-R-110044,1,F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F039:-:4,CANONICAL,0,,,,16,76.19
HM-00011,Prince Hallmarking and Refinery Private Limited,CRO/RAHC/R-110045,,"Shri Balaji Complex, Shop No G -2Ground Floor No 68, BADA SARAFA, INDORE, INDORE CLOTH MARKET, MADHYA PRADESH ,452002",INDORE CLOTH MARKET,INDORE,MADHYA PRADESH,452002,ACTIVE,ACTIVE,Operative,27/07/2028,,,,,Gold & Silver Both Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110045,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:9,CANONICAL,0,,,,14,66.67
HM-00012,M/s Shree Katyayani Enterprises,CRO/RAHC/R-110046,,"PROP NO. 1072, 3RD FLOOR, KUCHA NATWAN,CHANDNI CHOWK AREA, NEW DELHI, CENTRAL DELHI â€“ 110 006, NORTH DELHI, CHANDNI CHOWK, DELHI ,110006",CHANDNI CHOWK,NORTH DELHI,DELHI,110006,SUSPENDED,SUSPENDED,Under Suspension,01/05/2028,,2026-07-31,CRO,AHC,"Yellow Gold,Silver Hallmarking",,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110046,2,F038;F039,bis_topic17_hallmarking_centres.csv;bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F038:-:10;F039:-:5,CONFLICT_PRESERVED,3,address;source_url;validity,,,17,80.95
HM-00013,KAPS HALLMARKING CENTRE,CRO/RAHC/R-110047,,"110, 1ST FLOOR, RABDI WALI GALIKAGZI BAZAR, MEERUT, MEERUT CITY, UTTAR PRADESH ,250002",MEERUT CITY,MEERUT,UTTAR PRADESH,250002,CANCELLED,CANCELLED,CANCELLED,Cancelled on 28/10/2025,,2025-10-28,CRO,AHC,,,https://huid.manakonline.in/MANAK/AHCSuspendCancelledAppsForWebsite,,AHC-CRO-RAHC-R-110047,1,F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F039:-:6,CANONICAL,0,,,,16,76.19
HM-00014,HRDK HALLMARKING CENTRE,CRO/RAHC/R-110049,,"NEAR JULAHO KI MASJID, BAIJI KA TALAB, JODHPUR, JODHPUR CITY, RAJASTHAN ,342001",JODHPUR CITY,JODHPUR,RAJASTHAN,342001,ACTIVE,ACTIVE,Operative,08/02/2029,,,,,Gold & Silver Both Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110049,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:11,CANONICAL,0,,,,14,66.67
HM-00015,SRI GANGANAGAR HALLMARKING CENTRE,CRO/RAHC/R-110051,,"SHOP NO.-59 FIRST FLOOR OLD DHAN MANDISRI GANGANAGAR, GANGANAGAR, SRIGANGANAGAR, RAJASTHAN ,335001",SRIGANGANAGAR,GANGANAGAR,RAJASTHAN,335001,ACTIVE,ACTIVE,Operative,02/02/2029,,,,,Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110051,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:12,CANONICAL,0,,,,14,66.67
