is_id,canonical_is_number,display_is_number,raw_is_number_variants,standard_number,standard_year,part_number,section_number,amendment_reference,iec_reference,part_source,is_iec_flag,title,title_vernacular,standard_scope,part_section_label,revision,version,publication_date,publication_date_precision,revision_date,reaffirmation_review_date,standard_status,standard_status_original,superseded_standard,superseding_standard,technical_committee,subcommittee,product_category,degree_of_equivalence,mandatory_voluntary,certification_type,official_url,document_url,source_url,source_reference_label,parse_status,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
STD-00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:35,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:36,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:37,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:38,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:39,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:40,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:41,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:42,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:43,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:44,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:45,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:46,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:47,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:48,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:49,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:50,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:51,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:52,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_X,,https://www.bis.gov.in/wp-content/uploads/2024/09/256766.pdf,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,,,1,F003,07_scheme_x.csv,,F003:-:53,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,4,11.11
STD-00020,IS 10,is 10,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:75,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00021,IS 10001,IS 10001,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,2,F033;F035,bis_circulars (1).csv;bis_laboratories.csv,,F033:-:109;F035:-:47;F035:-:147;F035:-:413,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00022,IS 10025,IS 10025,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:109,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00023,IS 1005,IS 1005,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F035,bis_laboratories.csv,,F035:-:54,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
