lab_id,test_id,is_id,source_scope_ids,source_lab_ids,canonical_is_number,product_name,test_name,test_method_standard,clause_reference,capability,scope_status,scope_validity,testing_charge,source_url,source_file_id,source_file,source_sheet,source_row,record_disposition
,TEST-00184,STD-00807,SC-17631,LIMS-MULTIPLE,STD-17631,Work Chairs - Specification,Multiple LIMS test facilities,IS 17631:2022,Multiple,Multiple laboratories/test facilities,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17631,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,2,CANONICAL
,TEST-00184,STD-00808,SC-17632,LIMS-MULTIPLE,STD-17632,General Purpose Chairs and Stools - Specification,Multiple LIMS test facilities,IS 17632:2022,Multiple,Multiple laboratories/test facilities,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17632,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,3,CANONICAL
,TEST-00184,STD-00809,SC-17633,LIMS-MULTIPLE,STD-17633,Tables and Desks - Specification,Multiple LIMS test facilities,IS 17633:2022,Multiple,Multiple laboratories/test facilities,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17633,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,4,CANONICAL
,TEST-00184,STD-00810,SC-17634,LIMS-MULTIPLE,STD-17634,Storage Units - Specification,Multiple LIMS test facilities,IS 17634:2022,Multiple,Multiple laboratories/test facilities,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17634,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,5,CANONICAL
,TEST-00184,STD-00811,SC-17635,LIMS-MULTIPLE,STD-17635,Beds - Specification,Multiple LIMS test facilities,IS 17635:2022,Multiple,15 laboratories currently listed,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17635,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,6,CANONICAL
,TEST-00184,STD-00812,SC-17636,LIMS-MULTIPLE,STD-17636,Bunk Beds - Specification,Multiple LIMS test facilities,IS 17636:2022,Multiple,14 laboratories currently listed,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17636,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,7,CANONICAL
,TEST-00184,STD-00982,SC-2347,LIMS-MULTIPLE,STD-2347,Domestic Pressure Cooker - Specification,Multiple LIMS test facilities,IS 2347:2023,Multiple,26 laboratories currently listed,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=2347,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,8,CANONICAL
,TEST-00183,STD-00194,SC-12330,LIMS-MULTIPLE,STD-12330,Sulphate Resisting Portland Cement,Multiple cement tests,IS 12330,Multiple,15 laboratories currently listed for BIS's IS 12330:1988 record,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=12330,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,9,CANONICAL
,TEST-00024,STD-00214,SC-12600,LIMS-MULTIPLE,STD-12600,Low Heat Portland Cement,Chemical and physical cement tests,IS 12600:1989,Multiple,5 laboratories currently listed,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=12600,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,10,CANONICAL
,TEST-00104,STD-00444,SC-1489P1,LIMS-MULTIPLE,STD-1489-P1,Portland Pozzolana Cement - Fly Ash Based,Fineness; soundness; setting; compressive/transverse strength; chemical requirements,IS 1489 Part 1,Multiple,74 results in current IS 1489 search; Part-1 records included,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=1489,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,11,CANONICAL
