notification_id,notification_type,notification_number,notification_number_normalized,title,title_vernacular,notification_category,notification_date,effective_date,ministry,department,subject,related_is_text,related_qco_text,related_amendment_text,document_url,source_url,source_reference_label,source_notification_ids,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
NOTIF-00001,,,,"1,3 फिनाइलीनडायमीन","40. 1,3 फिनाइलीनडायमीन (गुणवत्ता नियंत्रण) आदेश, 2022 (एस.ओ. 1960(ई), दिनांक 27/04/2022)",,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:296;F034:-:1195,MERGED,0,,,,2,11.11
NOTIF-00002,,,,100 प्रतिशत पॉलिएस्टर स्पन ग्रे एवं व्हाइट यार्न (PSY),"100 प्रतिशत पॉलिएस्टर स्पन ग्रे एवं व्हाइट यार्न (गुणवत्ता नियंत्रण) आदेश, 2021 (एस.ओ. 1618 (ई), दिनांक 15.04.2021) 100 प्रतिशत पॉलिएस्टर स्पन ग्रे एवं व्हाइट यार्न (PSY) (गुणवत्ता नियंत्रण) संशोधन आदेश, 2021 (एस.ओ. 4180 (ई), दिनांक 08.10.2021) 100 प्रतिशत पॉलिएस्टर स्पन ग्रे एवं व्हाइट यार्न (गुणवत्ता नियंत्रण) आदेश, 2022 विभिन्न रसायनों हेतु संशोधन आदेश, दिनांक 05.04.2022 100 प्रतिशत पॉलिएस्टर स्पन ग्रे एवं व्हाइट यार्न (गुणवत्ता नियंत्रण) संशोधन आदेश, 2022 विभिन्न पेट्रोकेमिकल्स हेतु संशोधन आदेश, दिनांक 29 सितम्बर 2022 100 प्रतिशत पॉलिएस्टर स्पन ग्रे एवं व्हाइट यार्न (गुणवत्ता नियंत्रण) संशोधन आदेश, 2023 (एस.ओ. 1561 (ई), दिनांक 31.03.2023) 100 प्रतिशत पॉलिएस्टर स्पन ग्रे एवं व्हाइट यार्न (गुणवत्ता नियंत्रण) आदेश, 2023 (एस.ओ. 3195 (ई), दिनांक 17 जुलाई 2023) 100 प्रतिशत पॉलिएस्टर स्पन ग्रे एवं व्हाइट यार्न (गुणवत्ता नियंत्रण) आदेश, 2023 का निरसन एस.ओ. 5131 (ई), दिनांक 12 नवम्बर 2025",,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:277;F034:-:1176,MERGED,0,,,,2,11.11
NOTIF-00003,,,,1100 वोल्ट एसी तक तथा 1500 वोल्ट डीसी तक कार्य वोल्टेज हेतु थर्मोसेटिंग इंसुलेटेड अग्नि-जीवन सुरक्षा केबल,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:535;F034:-:1434,MERGED,0,,,,1,5.56
NOTIF-00004,,,,1100 वोल्ट तक एवं सम्मिलित कार्य वोल्टेज हेतु पीवीसी इन्सुलेटेड केबल,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:31;F034:-:930,MERGED,0,,,,1,5.56
NOTIF-00005,,,,1100 वोल्ट तक एवं सहित कार्यरत वोल्टेज हेतु पीवीसी इंसुलेटेड (हेवी ड्यूटी) विद्युत केबलों का विनिर्देशन – भाग 1,"49. केबल्स (गुणवत्ता नियंत्रण) आदेश, 2020 (अधिसूचना सं. S.O. 294 (E) दिनांक 21/01/2020)",,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:324;F034:-:1223,MERGED,0,,,,2,11.11
NOTIF-00006,,,,1500 वोल्ट डीसी रेटेड वोल्टेज हेतु फोटोवोल्टिक प्रणालियों के लिए विद्युत केबल,"89. सोलर डीसी केबल एवं अग्नि-जीवन सुरक्षा केबल (गुणवत्ता नियंत्रण) आदेश, 2023 एस.ओ. 3807(ई), दिनांक 24 अगस्त 2023",,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:534;F034:-:1433,MERGED,0,,,,2,11.11
NOTIF-00007,,,,18 प्रतिशत निकल मैरेजिंग स्टील बार एवं रॉड,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:180;F034:-:1079,MERGED,0,,,,1,5.56
NOTIF-00008,,,,"3 (एन, एन-डाइएथाइल) अमीनोफिनॉल","37. 3 (एन, एन-डाइएथाइल) अमीनोफिनॉल (गुणवत्ता नियंत्रण) आदेश, 2021 (एस.ओ. सं. 2031 (ई), दिनांक 25/05/2021)",,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:287;F034:-:1186,MERGED,0,,,,2,11.11
NOTIF-00009,,,,30 किलोग्राम तक खाद्यान्न पैकिंग हेतु जूट बैग,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:431;F034:-:1330,MERGED,0,,,,1,5.56
NOTIF-00010,,,,5 लीटर तक एवं सम्मिलित जल क्षमता वाले एलपीजी सिलेंडरों हेतु वाल्व फिटिंग्स,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:69;F034:-:968,MERGED,0,,,,1,5.56
NOTIF-00011,,,,5 लीटर से अधिक जल क्षमता न रखने वाले निम्न दाब द्रवीकरणीय गैसों हेतु वेल्डेड लो कार्बन स्टील सिलेंडर,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:63;F034:-:962,MERGED,0,,,,1,5.56
NOTIF-00012,,,,5 लीटर से अधिक जल क्षमता वाले एलपीजी सिलेंडरों हेतु वाल्व फिटिंग्स – भाग 2 : नवीन निर्मित एलपीजी सिलेंडरों हेतु,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:68;F034:-:967,MERGED,0,,,,1,5.56
NOTIF-00013,,,,5 लीटर से अधिक जल क्षमता वाले निम्न दाब द्रवीकरणीय गैसों हेतु वेल्डेड लो कार्बन स्टील सिलेंडर – भाग 1 : एलपीजी के लिए सिलेंडर,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:59;F034:-:958,MERGED,0,,,,1,5.56
NOTIF-00014,,,,5 लीटर से अधिक जल क्षमता वाले निम्न दाब द्रवीकरणीय गैसों हेतु वेल्डेड लो कार्बन स्टील सिलेंडर – भाग 2 : एलपीजी के अतिरिक्त अन्य द्रवीकरणीय गैसों हेतु,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:60;F034:-:959,MERGED,0,,,,1,5.56
NOTIF-00015,,,,5 लीटर से अधिक जल क्षमता वाले निम्न दाब द्रवीकरणीय गैसों हेतु वेल्डेड लो कार्बन स्टील सिलेंडर – भाग 4 : विषैली एवं संक्षारक गैसों के लिए सिलेंडर,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:58;F034:-:957,MERGED,0,,,,1,5.56
NOTIF-00016,,,,50 किलोग्राम खाद्यान्न पैकिंग हेतु जूट बैग,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:428;F034:-:1327,MERGED,0,,,,1,5.56
NOTIF-00017,,,,50 किलोग्राम खाद्यान्न पैकिंग हेतु हल्के वजन के जूट सैकिंग बैग,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:430;F034:-:1329,MERGED,0,,,,1,5.56
NOTIF-00018,,,,50 किलोग्राम चीनी पैकिंग हेतु जूट बैग,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:429;F034:-:1328,MERGED,0,,,,1,5.56
NOTIF-00019,,"Amendments to the Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021 S.O. 2204(E) dated 05 May, 2026",,,,,,,,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:51,CANONICAL,0,,,Record exists because another record referenced it.,1,5.56
NOTIF-00020,,"Cotton Bales (Quality Control) Order, 2023 S.O. 948(E), dated 28 February 2023; Amendment Order S.O. 3557(E), dated 07 August 2023; Amendment Order S.O. 3830(E), dated 28 August 2023; Amendment Order S.O. 3469(E), dated 13th August 2024; Amendment Order S.O. 2996(E) dated 03 July, 2025; Amendment Order S.O. 2956(E) dated 09 June, 2026 (Rescind Order of the Cotton Bales Quality Control Order 2023)",,,,,,,,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:79,CANONICAL,0,,,Record exists because another record referenced it.,1,5.56
NOTIF-00021,,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,,,,,,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:3;F003:-:5;F003:-:7;F003:-:8;F003:-:9;F003:-:10;F003:-:11;F003:-:12;F003:-:14;F003:-:15;F003:-:16;F003:-:17;F003:-:18;F003:-:20;F003:-:21;F003:-:22;F003:-:23;F003:-:28;F003:-:29;F003:-:30;F003:-:33,CANONICAL,0,,,Record exists because another record referenced it.,1,5.56
NOTIF-00022,,"Electrical Equipment (Quality Control) Order, 2020 - S.O. 4044(E), dated 11 No. vember 2020",,,,,,,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:2,CANONICAL,0,,,Record exists because another record referenced it.,1,5.56
NOTIF-00023,,"Electrical Equipment (Quality Control) Second Amendment Order, 2024 - S.O. 2007(E), dated 5 May 2025",,,,,,,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:4;F003:-:6;F003:-:19;F003:-:25;F003:-:26;F003:-:31,CANONICAL,0,,,Record exists because another record referenced it.,1,5.56
NOTIF-00024,,"Electronics & Information Technology Goods (Requirements for Compulsory Registration) Order, 2012 dated 03rd October 2012; No. tification No. S.O. 2357(E) dated 07 September 2012; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O. 1246(E) dated 10 March, 2026",,,,,,,,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:2,CANONICAL,0,,,Record exists because another record referenced it.,1,5.56
NOTIF-00025,,"Electronics & Information Technology Goods (Requirements for Compulsory Registration) Order, 2012 dated 13th No. vember 2012; No. tification No. S.O. 2905(E) dated 07 No. vember 2014; No. tification No. S.O. 344(E) dated 30 No. vember 2015; S.O. 2578(E) dated 07 August 2015; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O. 1246(E) dated 10 March, 2026",,,,,,,,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:17,CANONICAL,0,,,Record exists because another record referenced it.,1,5.56
NOTIF-00026,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:1132,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,0,0.00
NOTIF-00027,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:1134,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,0,0.00
NOTIF-00028,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:1136,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,0,0.00
NOTIF-00029,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:1140,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,0,0.00
NOTIF-00030,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:1141,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,0,0.00
NOTIF-00031,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:1142,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,0,0.00
NOTIF-00032,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:1143,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,0,0.00
NOTIF-00033,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:1202,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,0,0.00
NOTIF-00034,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:1205,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,0,0.00
NOTIF-00035,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:1207,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,0,0.00
NOTIF-00036,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:1213,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,0,0.00
NOTIF-00037,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:1216,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,0,0.00
NOTIF-00038,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:1218,REQUIRES_REVIEW,0,,YES,Row carried no value in any natural-key column; keyed positionally.,0,0.00
