pm_section_id,pm_id,manual_title,manual_version,is_id,canonical_is_number,product_id,product_name,section_category,source_column,requirement_text,text_length,clause,source_file_id,source_file,source_sheet,source_row,source_url,review_flag
PMS-000006,PM-00016,,1 / latest indexed manual,STD-00807,IS 17631,PROD-00310,Work Chairs,INFRASTRUCTURE,test_equipment,See Annex-B,11,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,2,,
PMS-000017,PM-00017,,2,STD-00808,IS 17632,PROD-00106,General Purpose Chairs and Stools,INFRASTRUCTURE,test_equipment,"Annex-B; micrometer, Vernier caliper, tape, steel scale, protractor plus specified furniture/surface-performance equipment",122,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,3,,
PMS-000028,PM-00018,,1,STD-00809,IS 17633,PROD-00285,Tables and Desks,INFRASTRUCTURE,test_equipment,Annex-B,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,4,,
PMS-000039,PM-00019,,1,STD-00810,IS 17634,PROD-00274,Storage Units,INFRASTRUCTURE,test_equipment,Annex-B,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,5,,
PMS-000050,PM-00020,,1,STD-00811,IS 17635,PROD-00051,Beds,INFRASTRUCTURE,test_equipment,Annex-B,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,6,,
PMS-000061,PM-00021,,1,STD-00812,IS 17636,PROD-00055,Bunk Beds,INFRASTRUCTURE,test_equipment,Annex-B,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,7,,
PMS-000072,PM-00025,,Revised manual incorporating SIT and grouping guidelines,STD-00982,IS 2347,PROD-00083,Domestic Pressure Cooker,INFRASTRUCTURE,test_equipment,Tests/equipment as specified in manual/SIT,42,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,8,,
PMS-000082,PM-00001,,1,STD-00194,IS 12330,PROD-00277,Sulphate Resisting Portland Cement,INFRASTRUCTURE,test_equipment,Annex-A,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,9,,
PMS-000092,PM-00002,,1 / indexed PM,STD-00214,IS 12600,PROD-00123,Low Heat Portland Cement,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,10,,
PMS-000103,PM-00003,,Latest indexed PM,STD-00444,IS 1489 (Part 1),PROD-00155,Portland Pozzolana Cement — Fly Ash Based,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,11,,
PMS-000114,PM-00004,,Latest indexed PM,STD-00445,IS 1489 (Part 2),PROD-00154,Portland Pozzolana Cement — Calcined Clay Based,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,12,,
PMS-000125,PM-00028,,3,STD-01041,IS 269,PROD-00131,Ordinary Portland Cement,INFRASTRUCTURE,test_equipment,Annex-B,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,13,,
PMS-000136,PM-00031,,3,STD-01273,IS 455,PROD-00158,Portland Slag Cement,INFRASTRUCTURE,test_equipment,Annex-A,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,14,,
PMS-000146,PM-00032,,1,STD-01569,IS 8041,PROD-00168,Rapid Hardening Portland Cement,INFRASTRUCTURE,test_equipment,Annex-A,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,15,,
PMS-000156,PM-00033,,2,STD-01570,IS 8042,PROD-00305,White Portland Cement,INFRASTRUCTURE,test_equipment,Annex-B,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,16,,
PMS-000167,PM-00034,,Latest indexed PM,STD-01571,IS 8043,PROD-00111,Hydrophobic Portland Cement,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,17,,
PMS-000178,PM-00011,,2,STD-00656,IS 16415,PROD-00066,Composite Cement,INFRASTRUCTURE,test_equipment,Annex-A,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,18,,
PMS-000188,PM-00037,,11,STD-01730,IS 9873 (Part 1),PROD-00225,Safety of Toys — Part 1,INFRASTRUCTURE,test_equipment,Annexes in manual,17,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,19,,
PMS-000199,PM-00038,,11,STD-01731,IS 9873 (Part 2),PROD-00222,Safety of Toys — Flammability,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,20,,
PMS-000210,PM-00039,,11,STD-01732,IS 9873 (Part 3),PROD-00224,Safety of Toys — Migration of Certain Elements,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,21,,
PMS-000221,PM-00040,,11,STD-01733,IS 9873 (Part 4),PROD-00279,"Swings, Slides and Similar Activity Toys",INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,22,,
