pm_id,manual_title,manual_version,revision_date,revision_date_precision,document_scope,pm_scheme_text,is_id,canonical_is_number,product_id,product_name,document_id,document_url,source_url,source_reference_label,source_manual_ids,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
PM-00001,,1,2019-01,MONTH,Sulphate Resisting Portland Cement,,STD-00194,IS 12330,PROD-00277,Sulphate Resisting Portland Cement,,,,BIS manual | BIS Product Manuals,PM/IS12330/1/Jan19,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:9,CANONICAL,0,,,,10,66.67
PM-00002,,1 / indexed PM,,,Low Heat Portland Cement,,STD-00214,IS 12600,PROD-00123,Low Heat Portland Cement,,,,BIS Product Manual | BIS Product Manuals,PM/IS12600/1,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:10,CANONICAL,0,,,,8,53.33
PM-00003,,Latest indexed PM,,,PPC using fly ash,,STD-00444,IS 1489 (Part 1),PROD-00155,Portland Pozzolana Cement — Fly Ash Based,,,,BIS Product Manual | BIS Product Manuals,PM/IS1489-P1,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:11,CANONICAL,0,,,,8,53.33
PM-00004,,Latest indexed PM,,,PPC using calcined clay,,STD-00445,IS 1489 (Part 2),PROD-00154,Portland Pozzolana Cement — Calcined Clay Based,,,,BIS Product Manual | BIS Product Manuals,PM/IS1489-P2,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:12,CANONICAL,0,,,,8,53.33
PM-00005,,Older/current lifecycle needs verification,,,Personal protective equipment — safety footwear,,STD-00481,IS 15298 (Part 2),PROD-00188,Safety Footwear,,,,BIS Product Manual repository | BIS Product Manuals,PM/15298-P2,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:41,CANONICAL,0,,,,8,53.33
PM-00006,,Latest indexed PM,,,Aluminium foil intended for food packaging,,STD-00497,IS 15392,PROD-00044,Aluminium and Aluminium Alloy Bare Foil for Food Packaging,,,,BIS manual listing | BIS Product Manuals,PM/15392,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:29,CANONICAL,0,,,,8,53.33
PM-00007,,11,2023-10,MONTH,Electric toys,,STD-00530,IS 15644,PROD-00203,Safety of Electric Toys,,,,BIS Toys PM | BIS Product Manuals,PM/9873/11,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:23,CANONICAL,0,,,,10,66.67
PM-00008,,Latest indexed PM,,,Sports footwear — general purpose,,STD-00558,IS 15844 (Part 1),PROD-00258,Sports Footwear — General Purpose,,,,BIS Product Manuals,PM/15844-P1,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:34,CANONICAL,0,,,,8,53.33
PM-00009,,Latest indexed PM,,,Performance sports footwear,,STD-00559,IS 15844 (Part 2),PROD-00259,Sports Footwear — Performance Sports Footwear,,,,BIS Product Manuals,PM/15844-P2,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:35,CANONICAL,0,,,,8,53.33
PM-00010,,Latest indexed PM,,,Professional sports footwear,,STD-00560,IS 15844 (Part 3),PROD-00260,Sports Footwear — Professional Sports Footwear,,,,BIS Product Manuals,PM/15844-P3,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:36,CANONICAL,0,,,,8,53.33
PM-00011,,2,2019-10,MONTH,Composite Cement,,STD-00656,IS 16415,PROD-00066,Composite Cement,,,,BIS PM | BIS Product Manuals,PM/IS16415/2/Oct19,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:18,CANONICAL,0,,,,10,66.67
PM-00012,,Latest indexed PM,,,High ankle tactical boots with PU-rubber sole,,STD-00718,IS 17012,PROD-00109,High Ankle Tactical Boots with PU-Rubber Sole,,,,BIS Product Manual | BIS Product Manuals,PM/17012,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:37,CANONICAL,0,,,,8,53.33
PM-00013,,Latest indexed PM,,,Anti-riot shoes,,STD-00722,IS 17037,PROD-00047,Anti Riot Shoes,,,,BIS Product Manual | BIS Product Manuals,PM/17037,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:38,CANONICAL,0,,,,8,53.33
PM-00014,,4,2024-02,MONTH,Shoes for services,,STD-00725,IS 17043 (Part 1),PROD-00236,Shoes for Services,,,,BIS PM | BIS Product Manuals,PM/17043-P1/4,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:39,CANONICAL,0,,,,10,66.67
PM-00015,,Latest indexed PM,,,General-purpose shoes,,STD-00726,IS 17043 (Part 2),PROD-00235,Shoes for General Purpose,,,,BIS Product Manuals,PM/17043-P2,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:40,CANONICAL,0,,,,8,53.33
PM-00016,,1 / latest indexed manual,2025-06,MONTH,Work chairs covered by IS 17631:2022,,STD-00807,IS 17631,PROD-00310,Work Chairs,,,,BIS Product Manual PDF | BIS Product Manuals,PM/IS17631/1,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:2,CANONICAL,0,,,,10,66.67
PM-00017,,2,2025-06,MONTH,Chairs/stools; Type 1 domestic and Type 2 institutional; defined models/families,,STD-00808,IS 17632,PROD-00106,General Purpose Chairs and Stools,,,,BIS manual | BIS Product Manuals,PM/IS17632/2/Jun25,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:3,CANONICAL,0,,,,10,66.67
PM-00018,,1,,NONE,Tables and desks,,STD-00809,IS 17633,PROD-00285,Tables and Desks,,,,BIS manual | BIS Product Manuals,PM/IS17633/1/Dec22,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:4,CANONICAL,0,,,,9,60.00
PM-00019,,1,2022-09,MONTH,Storage units,,STD-00810,IS 17634,PROD-00274,Storage Units,,,,BIS manual | BIS Product Manuals,PM/IS17634/1/Sep22,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:5,CANONICAL,0,,,,10,66.67
PM-00020,,1,2022-12,MONTH,Beds,,STD-00811,IS 17635,PROD-00051,Beds,,,,BIS manual | BIS Product Manuals,PM/IS17635/1/Dec22,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:6,CANONICAL,0,,,,10,66.67
PM-00021,,1,2022-12,MONTH,Bunk beds,,STD-00812,IS 17636,PROD-00055,Bunk Beds,,,,BIS manual | BIS Product Manuals,PM/IS17636/1/Dec22,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:7,CANONICAL,0,,,,10,66.67
PM-00022,,Latest indexed PM,,,Stainless-steel seamless pipes/tubes for general service,,STD-00836,IS 17875,PROD-00265,Stainless Steel Seamless Pipes and Tubes for General Service,,,,BIS Product Manuals,PM/17875,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:30,CANONICAL,0,,,,8,53.33
PM-00023,,Latest indexed PM,,,Stainless-steel welded pipes/tubes for general service,,STD-00837,IS 17876,PROD-00268,Stainless Steel Welded Pipes and Tubes for General Service,,,,BIS Product Manuals,PM/17876,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:31,CANONICAL,0,,,,8,53.33
PM-00024,,Latest indexed PM,,,Flashlights conforming to IS 2083:2024,,STD-00947,IS 2083,PROD-00097,Flashlight,,,,BIS Product Manual | BIS Product Manuals,PM/2083,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:32,CANONICAL,0,,,,8,53.33
PM-00025,,Revised manual incorporating SIT and grouping guidelines,2024-03,MONTH,Domestic pressure cookers,,STD-00982,IS 2347,PROD-00083,Domestic Pressure Cooker,,,,BIS Circular / revised PM | BIS Product Manuals,PM/IS2347/Rev,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:8,CANONICAL,0,,,,10,66.67
