pm_section_id,pm_id,manual_title,manual_version,is_id,canonical_is_number,product_id,product_name,section_category,source_column,requirement_text,text_length,clause,source_file_id,source_file,source_sheet,source_row,source_url,review_flag
PMS-000001,PM-00016,,1 / latest indexed manual,STD-00807,IS 17631,PROD-00310,Work Chairs,REQUIREMENTS,scope,Work chairs covered by IS 17631:2022,36,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,2,,
PMS-000002,PM-00016,,1 / latest indexed manual,STD-00807,IS 17631,PROD-00310,Work Chairs,REQUIREMENTS,raw_material_requirements,As specified in IS; manufacturer declaration/control applicable,63,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,2,,
PMS-000003,PM-00016,,1 / latest indexed manual,STD-00807,IS 17631,PROD-00310,Work Chairs,REQUIREMENTS,process_requirements,Manufacturing/fabrication or ready-to-assemble requirements; design/workmanship controls,88,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,2,,
PMS-000010,PM-00016,,1 / latest indexed manual,STD-00807,IS 17631,PROD-00310,Work Chairs,REQUIREMENTS,licensing_requirements,BIS licence under Scheme-I; scope by product/model,50,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,2,,
PMS-000012,PM-00017,,2,STD-00808,IS 17632,PROD-00106,General Purpose Chairs and Stools,REQUIREMENTS,scope,Chairs/stools; Type 1 domestic and Type 2 institutional; defined models/families,80,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,3,,
PMS-000013,PM-00017,,2,STD-00808,IS 17632,PROD-00106,General Purpose Chairs and Stools,REQUIREMENTS,raw_material_requirements,Nil stated in manual,20,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,3,,
PMS-000014,PM-00017,,2,STD-00808,IS 17632,PROD-00106,General Purpose Chairs and Stools,REQUIREMENTS,process_requirements,Manufacturing/fabrication or ready-to-assemble; design/workmanship controls,75,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,3,,
PMS-000021,PM-00017,,2,STD-00808,IS 17632,PROD-00106,General Purpose Chairs and Stools,REQUIREMENTS,licensing_requirements,Licence scope by product/type/category/model,44,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,3,,
PMS-000023,PM-00018,,1,STD-00809,IS 17633,PROD-00285,Tables and Desks,REQUIREMENTS,scope,Tables and desks,16,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,4,,
PMS-000024,PM-00018,,1,STD-00809,IS 17633,PROD-00285,Tables and Desks,REQUIREMENTS,raw_material_requirements,As specified in IS/manual,25,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,4,,
