pm_section_id,pm_id,manual_title,manual_version,is_id,canonical_is_number,product_id,product_name,section_category,source_column,requirement_text,text_length,clause,source_file_id,source_file,source_sheet,source_row,source_url,review_flag
PMS-000005,PM-00016,,1 / latest indexed manual,STD-00807,IS 17631,PROD-00310,Work Chairs,SAMPLING,sampling_guidelines,See manual sampling section/annex,33,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,2,,
PMS-000009,PM-00016,,1 / latest indexed manual,STD-00807,IS 17631,PROD-00310,Work Chairs,SAMPLING,grouping_guidelines,See Annex-A,11,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,2,,
PMS-000016,PM-00017,,2,STD-00808,IS 17632,PROD-00106,General Purpose Chairs and Stools,SAMPLING,sampling_guidelines,2 chairs for dimensional/safety; material/fabric/leather pieces for surface-performance tests,93,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,3,,
PMS-000020,PM-00017,,2,STD-00808,IS 17632,PROD-00106,General Purpose Chairs and Stools,SAMPLING,grouping_guidelines,Same category/material/construction and dimensions within ±10% of lead model; lead-model testing covers family,110,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,3,,
PMS-000027,PM-00018,,1,STD-00809,IS 17633,PROD-00285,Tables and Desks,SAMPLING,sampling_guidelines,See manual/annex,16,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,4,,
PMS-000031,PM-00018,,1,STD-00809,IS 17633,PROD-00285,Tables and Desks,SAMPLING,grouping_guidelines,Annex-A,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,4,,
PMS-000038,PM-00019,,1,STD-00810,IS 17634,PROD-00274,Storage Units,SAMPLING,sampling_guidelines,See manual/annex,16,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,5,,
PMS-000042,PM-00019,,1,STD-00810,IS 17634,PROD-00274,Storage Units,SAMPLING,grouping_guidelines,Annex-A,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,5,,
PMS-000049,PM-00020,,1,STD-00811,IS 17635,PROD-00051,Beds,SAMPLING,sampling_guidelines,See manual/annex,16,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,6,,
PMS-000053,PM-00020,,1,STD-00811,IS 17635,PROD-00051,Beds,SAMPLING,grouping_guidelines,Annex-A,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,6,,
PMS-000060,PM-00021,,1,STD-00812,IS 17636,PROD-00055,Bunk Beds,SAMPLING,sampling_guidelines,See manual/annex,16,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,7,,
PMS-000064,PM-00021,,1,STD-00812,IS 17636,PROD-00055,Bunk Beds,SAMPLING,grouping_guidelines,Annex-A,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,7,,
