product_id,product_name,alternate_names,product_category,product_subcategory,product_description,keywords,product_group,certification_scheme_to_store,source_product_ids,source_url,source_reference_label,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
PROD-00001,AC Circuit - Breaker (Category B)- All rating,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:12,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00002,AC Circuit-Breakers (Category A & B),,,,,,,,,,,2,F022;F023,BIS_Scheme_X_Industrial.xlsx;BIS_Scheme_X_Industrial_v2.xlsx,BIS_Scheme_X,F022:BIS_Scheme_X:2;F023:BIS_Scheme_X:2,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00003,AC Circuit - Breakers (Category A) - All rating above 440V AC,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:8,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00004,"AC Circuit - Breakers (Category - A)- All ratings above 630A , upto 440V AC",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:3;F003:-:4;F003:-:5,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00005,"AC Circuit - Breakers (Category A)- All ratings upto 630 A, upto 440V AC",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:2,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00006,AC Circuit - Breakers (Category B)- All rating above 440V AC,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:10,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00007,"AC Circuit - Breakers (Category B)- All rating upto 2000 A, upto 440V AC",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:7,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00008,"AC Circuit Breakers (Category -B)- All ratings upto 2000 A, upto 440V AC",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:6,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00009,"AC Circuit - Breakers (Category B)- rating above 2000 A, upto 440V AC",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:9,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00010,Adapters for household and similar electrical appliances,,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:43,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00011,Alcohol Based Hand Sanitizers,,Chemicals & Health,Disinfectants & Sanitizers,"Prescribes ethanol/isopropanol percentage, bactericidal efficacy, and toxicity limits for hand rubs.",,,,PROD_IS15392_ALCOH,,Products under Compulsory Certification,1,F011,BIS_Products_Details.xlsx,Products_Details,F011:Products_Details:29,CANONICAL,0,,,,6,54.55
PROD-00012,"All AC utilization categories Above 630 A, Upto 440V AC",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:16,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00013,"All AC utilization categories All ratings, above 440V AC",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:17,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00014,"All AC utilization categories Upto 250A, Upto 440V AC",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:13;F003:-:14,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00015,"All AC utilization categories Upto 630 A, Upto 440V AC",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:15,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
