qco_id,qco_name,qco_number,qco_number_normalized,qco_product_text,notification_number,notification_date,notification_date_precision,effective_date,effective_date_precision,ministry,department,mandatory_status,mandatory_status_original,qco_scope,qco_exclusions,qco_exemptions,qco_amendments,qco_extensions,qco_deferments,qco_corrigendas,qco_supersession,qco_status,qco_status_original,qco_scope_exclusions_amendments_combined,qco_schemes_text,official_document_url,source_gazette_url,source_url,source_reference_label,source_qco_ids,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
QCO-00001,,2 Gazette Documents listed (Click to download section),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:2;F013:Products_Details:2,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00002,,"2020 and subsequent amendments (e.g., Second Amendment Order, 2024; S.O. 5038(E))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,F022;F023,BIS_Scheme_X_Industrial.xlsx;BIS_Scheme_X_Industrial_v2.xlsx,BIS_Scheme_X,F022:BIS_Scheme_X:2;F023:BIS_Scheme_X:2,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00003,,Aluminium and Aluminium Alloy Products (Quality Control) Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:29;F013:Products_Details:29,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00004,,Aluminium Foil QCO 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,F009:BIS_Notifications_Master:19,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00005,,Aluminium Foil (Quality Control) Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,F024;F025,BIS_Schemes_Master.xlsx;BIS_Schemes_Master_Scheme_2.xlsx,BIS_Schemes_Master;BIS_Schemes_Master_Scheme_2,F024:BIS_Schemes_Master:29;F025:BIS_Schemes_Master_Scheme_2:29,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00006,"Aluminium Foil (Quality Control) Order, 2020","Aluminium Foil (Quality Control) Order, 2020",,,S.O. 687(E),2020-02-13,DAY,2020-02-13,DAY,Ministry of Commerce and Industry (DPIIT),,MANDATORY,,Bare aluminium and aluminium alloy foils intended for food packaging.,Excludes laminated composite barrier foils.,,,,,,,OTHER,Scheme I / Mandatory,,,,,,Gazette of India (S.O. 687 (E) dated 13/02/2020 ) | BIS Compulsory Certification Scheme-I Portal,,2,F018;F019,BIS_QCO_Master_Scheme_1.xlsx;BIS_QCO_Summary.xlsx,BIS_QCO_Master_Scheme_1;QCO_Summary,F018:BIS_QCO_Master_Scheme_1:29;F019:QCO_Summary:24,CONFLICT_PRESERVED,2,ministry;qco_scope,,,14,46.67
QCO-00007,,Cement QCO 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,F009:BIS_Notifications_Master:9,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00008,,Cement (Quality Control) Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,F011;F012;F013;F024;F025,BIS_Products_Details.xlsx;BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx;BIS_Schemes_Master.xlsx;BIS_Schemes_Master_Scheme_2.xlsx,BIS_Schemes_Master;BIS_Schemes_Master_Scheme_2;Products_Details,F011:Products_Details:9;F011:Products_Details:10;F011:Products_Details:11;F011:Products_Details:12;F011:Products_Details:13;F011:Products_Details:14;F011:Products_Details:15;F011:Products_Details:16;F011:Products_Details:17;F011:Products_Details:18;F012:Products_Details:9;F012:Products_Details:10;F012:Products_Details:11;F012:Products_Details:12;F012:Products_Details:13;F012:Products_Details:14;F012:Products_Details:15;F012:Products_Details:16;F012:Products_Details:17;F012:Products_Details:18;F013:Products_Details:9;F013:Products_Details:10;F013:Products_Details:11;F013:Products_Details:12;F013:Products_Details:13;F013:Products_Details:14;F013:Products_Details:15;F013:Products_Details:16;F013:Products_Details:17;F013:Products_Details:18;F024:BIS_Schemes_Master:9;F024:BIS_Schemes_Master:10;F024:BIS_Schemes_Master:11;F024:BIS_Schemes_Master:12;F024:BIS_Schemes_Master:13;F024:BIS_Schemes_Master:14;F024:BIS_Schemes_Master:15;F024:BIS_Schemes_Master:16;F024:BIS_Schemes_Master:17;F024:BIS_Schemes_Master:18;F025:BIS_Schemes_Master_Scheme_2:9;F025:BIS_Schemes_Master_Scheme_2:10;F025:BIS_Schemes_Master_Scheme_2:11;F025:BIS_Schemes_Master_Scheme_2:12;F025:BIS_Schemes_Master_Scheme_2:13;F025:BIS_Schemes_Master_Scheme_2:14;F025:BIS_Schemes_Master_Scheme_2:15;F025:BIS_Schemes_Master_Scheme_2:16;F025:BIS_Schemes_Master_Scheme_2:17;F025:BIS_Schemes_Master_Scheme_2:18,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
QCO-00009,"Cement (Quality Control) Order, 2003","Cement (Quality Control) Order, 2003",,,S.O. 191(E),2003-02-17,DAY,2003-02-17,DAY,Ministry of Commerce and Industry (DPIIT),,MANDATORY,,Any variety of cement manufactured or sold in India.,,Standard R&D and export exemptions as per BIS regulations.,,,,,,OTHER,Scheme I / Mandatory,,,,,,Gazette of India S.O. No. 191(E) Dt. 17 Feb 2003 | BIS Compulsory Certification Scheme-I Portal,,2,F018;F019,BIS_QCO_Master_Scheme_1.xlsx;BIS_QCO_Summary.xlsx,BIS_QCO_Master_Scheme_1;QCO_Summary,F018:BIS_QCO_Master_Scheme_1:9;F018:BIS_QCO_Master_Scheme_1:10;F018:BIS_QCO_Master_Scheme_1:11;F018:BIS_QCO_Master_Scheme_1:12;F018:BIS_QCO_Master_Scheme_1:13;F018:BIS_QCO_Master_Scheme_1:14;F018:BIS_QCO_Master_Scheme_1:15;F018:BIS_QCO_Master_Scheme_1:16;F018:BIS_QCO_Master_Scheme_1:17;F018:BIS_QCO_Master_Scheme_1:18;F019:QCO_Summary:4;F019:QCO_Summary:5;F019:QCO_Summary:6;F019:QCO_Summary:7;F019:QCO_Summary:8;F019:QCO_Summary:9;F019:QCO_Summary:10;F019:QCO_Summary:11;F019:QCO_Summary:12;F019:QCO_Summary:13,CONFLICT_PRESERVED,2,ministry;qco_scope,,,14,46.67
QCO-00010,,Chemical / Medical Disinfectant Mandates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,F011,BIS_Products_Details.xlsx,Products_Details,F011:Products_Details:29,CANONICAL,0,,,Record exists because another record referenced it.,1,3.33
