scheme_id,scheme_name,scheme_code,scheme_label,scheme_type,certification_type,mandatory_voluntary,mandatory_voluntary_original,certification_scope,certification_requirements,fmcs_requirements,guideline_title,applicability,application_procedure,fee_structure,inspection_testing_norm,document_url,source_url,source_reference_label,source_scheme_ids,source_scheme_record_ids,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
SCH-00001,Scheme – I (ISI Mark Scheme),1,,Product Certification,ISI Mark,MANDATORY,Mandatory,"Completely manufactured, fabricated, or ready-to-assemble work chairs","Compliance with safety, strength, stability, durability, and ergonomic design requirements",,,,,,,,,Scheme – I (ISI Mark Scheme),SCH-I,,1,F024,BIS_Schemes_Master.xlsx,BIS_Schemes_Master,F024:BIS_Schemes_Master:2;F024:BIS_Schemes_Master:3;F024:BIS_Schemes_Master:4;F024:BIS_Schemes_Master:5;F024:BIS_Schemes_Master:6;F024:BIS_Schemes_Master:7;F024:BIS_Schemes_Master:8;F024:BIS_Schemes_Master:9;F024:BIS_Schemes_Master:10;F024:BIS_Schemes_Master:11;F024:BIS_Schemes_Master:12;F024:BIS_Schemes_Master:13;F024:BIS_Schemes_Master:14;F024:BIS_Schemes_Master:15;F024:BIS_Schemes_Master:16;F024:BIS_Schemes_Master:17;F024:BIS_Schemes_Master:18;F024:BIS_Schemes_Master:19;F024:BIS_Schemes_Master:20;F024:BIS_Schemes_Master:21;F024:BIS_Schemes_Master:22;F024:BIS_Schemes_Master:23;F024:BIS_Schemes_Master:24;F024:BIS_Schemes_Master:25;F024:BIS_Schemes_Master:26;F024:BIS_Schemes_Master:27;F024:BIS_Schemes_Master:28;F024:BIS_Schemes_Master:29;F024:BIS_Schemes_Master:30;F024:BIS_Schemes_Master:31;F024:BIS_Schemes_Master:32;F024:BIS_Schemes_Master:33;F024:BIS_Schemes_Master:34;F024:BIS_Schemes_Master:35;F024:BIS_Schemes_Master:36;F024:BIS_Schemes_Master:37;F024:BIS_Schemes_Master:38;F024:BIS_Schemes_Master:39;F024:BIS_Schemes_Master:40;F024:BIS_Schemes_Master:41,CONFLICT_PRESERVED,2,certification_requirements;certification_scope,,,10,50.00
SCH-00002,Scheme – II (Conformity Assessment/Registration),2,,Product Certification,ISI Mark,MANDATORY,Mandatory,"Completely manufactured, fabricated, or ready-to-assemble work chairs","Compliance with safety, strength, stability, durability, and ergonomic design requirements",,,,,,,,,Scheme – II (Conformity Assessment),SCH-II,,1,F025,BIS_Schemes_Master_Scheme_2.xlsx,BIS_Schemes_Master_Scheme_2,F025:BIS_Schemes_Master_Scheme_2:2;F025:BIS_Schemes_Master_Scheme_2:3;F025:BIS_Schemes_Master_Scheme_2:4;F025:BIS_Schemes_Master_Scheme_2:5;F025:BIS_Schemes_Master_Scheme_2:6;F025:BIS_Schemes_Master_Scheme_2:7;F025:BIS_Schemes_Master_Scheme_2:8;F025:BIS_Schemes_Master_Scheme_2:9;F025:BIS_Schemes_Master_Scheme_2:10;F025:BIS_Schemes_Master_Scheme_2:11;F025:BIS_Schemes_Master_Scheme_2:12;F025:BIS_Schemes_Master_Scheme_2:13;F025:BIS_Schemes_Master_Scheme_2:14;F025:BIS_Schemes_Master_Scheme_2:15;F025:BIS_Schemes_Master_Scheme_2:16;F025:BIS_Schemes_Master_Scheme_2:17;F025:BIS_Schemes_Master_Scheme_2:18;F025:BIS_Schemes_Master_Scheme_2:19;F025:BIS_Schemes_Master_Scheme_2:20;F025:BIS_Schemes_Master_Scheme_2:21;F025:BIS_Schemes_Master_Scheme_2:22;F025:BIS_Schemes_Master_Scheme_2:23;F025:BIS_Schemes_Master_Scheme_2:24;F025:BIS_Schemes_Master_Scheme_2:25;F025:BIS_Schemes_Master_Scheme_2:26;F025:BIS_Schemes_Master_Scheme_2:27;F025:BIS_Schemes_Master_Scheme_2:28;F025:BIS_Schemes_Master_Scheme_2:29;F025:BIS_Schemes_Master_Scheme_2:30;F025:BIS_Schemes_Master_Scheme_2:31;F025:BIS_Schemes_Master_Scheme_2:32;F025:BIS_Schemes_Master_Scheme_2:33;F025:BIS_Schemes_Master_Scheme_2:34;F025:BIS_Schemes_Master_Scheme_2:35;F025:BIS_Schemes_Master_Scheme_2:36;F025:BIS_Schemes_Master_Scheme_2:37;F025:BIS_Schemes_Master_Scheme_2:38;F025:BIS_Schemes_Master_Scheme_2:39;F025:BIS_Schemes_Master_Scheme_2:40;F025:BIS_Schemes_Master_Scheme_2:41,CONFLICT_PRESERVED,2,certification_requirements;certification_scope,,,10,50.00
SCH-00003,BIS Scheme-I (ISI Mark),,,,,,,,,,,,,,,,,,,,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:10;F012:Products_Details:12;F012:Products_Details:13;F012:Products_Details:14;F012:Products_Details:15;F012:Products_Details:16;F012:Products_Details:17;F012:Products_Details:18;F012:Products_Details:20;F012:Products_Details:21;F012:Products_Details:22;F012:Products_Details:23;F012:Products_Details:24;F012:Products_Details:25;F012:Products_Details:26;F012:Products_Details:27;F012:Products_Details:28;F012:Products_Details:29;F012:Products_Details:32;F012:Products_Details:35;F012:Products_Details:36;F012:Products_Details:37;F012:Products_Details:38;F012:Products_Details:39;F012:Products_Details:40;F013:Products_Details:10;F013:Products_Details:12;F013:Products_Details:13;F013:Products_Details:14;F013:Products_Details:15;F013:Products_Details:16;F013:Products_Details:17;F013:Products_Details:18;F013:Products_Details:20;F013:Products_Details:21;F013:Products_Details:22;F013:Products_Details:23;F013:Products_Details:24;F013:Products_Details:25;F013:Products_Details:26;F013:Products_Details:27;F013:Products_Details:28;F013:Products_Details:29;F013:Products_Details:32;F013:Products_Details:35;F013:Products_Details:36;F013:Products_Details:37;F013:Products_Details:38;F013:Products_Details:39;F013:Products_Details:40,CANONICAL,0,,,Record exists because another record referenced it.,1,5.00
SCH-00004,BIS Scheme-I (ISI Mark Certification Scheme),,,,,,,,,,,,,,,,,,,,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:9;F013:Products_Details:9,CANONICAL,0,,,Record exists because another record referenced it.,1,5.00
SCH-00005,BIS Scheme-I (ISI Mark Scheme),,,,,,,,,,,,,,,,,,,,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:11;F012:Products_Details:19;F012:Products_Details:30;F012:Products_Details:31;F012:Products_Details:33;F012:Products_Details:34;F012:Products_Details:41;F013:Products_Details:11;F013:Products_Details:19;F013:Products_Details:30;F013:Products_Details:31;F013:Products_Details:33;F013:Products_Details:34;F013:Products_Details:41,CANONICAL,0,,,Record exists because another record referenced it.,1,5.00
SCH-00006,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",,,,,,,,,,,,,,,,,,,,1,F046,output__topic19_official_documents.csv,,F046:-:2;F046:-:3;F046:-:4;F046:-:5;F046:-:6;F046:-:7;F046:-:8;F046:-:9;F046:-:10;F046:-:11;F046:-:12;F046:-:13;F046:-:14;F046:-:15;F046:-:16;F046:-:17;F046:-:18;F046:-:19;F046:-:20;F046:-:21;F046:-:22;F046:-:23,CANONICAL,0,,,Record exists because another record referenced it.,1,5.00
SCH-00007,Foreign Manufacturers,,,,,,,,,,Products Under Simplified Pro,"applicable. 2 Nomination of the authorized representative of the Liaison / Branch Office of the Applicant / legally appointed Agent of the Applicant, as the case may be, duly executed by the Applicant on its letterhead, as per format of the Bureau. 3 Process Flow-chart showing complete manufacturing process (from procurement of raw material / components to the storage of finished product). 4 Quality assurance system being followed in factory (e.g., copy of Quality Manua l, Quality Plan, Test Formats, etc.) 5 Details of other Certifications, if any, for the product(s) and/or Systems in the factory. 6 Details of pre-certification, if any, for the components / raw materials used in manufacturing of the product: Raw Material/ Supplier’s Name Whether Certified If Certified, Test Certificate Component (Yes/No) details thereof (Yes / No) 7 List of Manufacturing Machinery: Machinery Make Capacity Number Remarks 8 List of Test Equipment (for complete testing): Clause No. Test Range Least Make Sl. No. Calibratio Availability of of Indian Equipment Count/ of Test n Testing Standard & Chemicals Accurac Equipmen CertificateFacility & used in the y t (Yes / No) (In-house / Test Test Outside * ) Details * For testing facilities not available in-house, provide justification and details of alternate arrangements made with copies of agreements, etc. 1 9 Drawing of the Product and/or Components (where applicable) 10 Appointment Letter, Qualification Certificate and Experience details of Lab In-charge / Technical / Quality Control Personnel permanently employed (NOT Consultants). 11 Test report from an independent accredited lab and / or Applicant’s own in-house lab. 12 Layout Plan of the factory premises, clearly showing location of major manufacturing machinery, laboratory, etc. 13 Location Plan of the factory from the nearest Airport / Railway Station / Landmark and guidance as how to reach from India. 14. Application fee of Rs. 1000/- (in equivalent US $ ) be deposited with BIS through RTGS/NEFT/SWIFT transfer. Our Bank account details are ava ilable on http://www.bis.org.in/fmcs/saarcfee.pdf 15 Details about the previous licences held / licences cancell ed / applications rejected. Reasons for such cancellation / rejection and / or conviction in the past, if a ny, under the BIS Act, 1986 shall also be stated in the Application Form. GUIDELINES FOR FILLING-UP THE APPLICATION FORM General: a) Separate application shall be required to be submitted for each product / Indian Sta ndard. b) The duly filled-in application should be signed by the CEO of the firm, or in his absence, by the representative authorized by him. It should be sealed with the firm ’s seal and also countersigned by the legally appointed authorized Indian representative. c) Ensure filling-in complete addresses of office and factory along with submission of supporting documentary evidence. Any change in the address(es) shall be immediately intimated to BIS with documents in support of new address(es). d) Clearly indicate related Indian Standard and product variety(ies) for which licence is sought (type/grade/class/rating, etc). The nomenclature and classification given in the related Indian Standard should be referred to while giving details in the respective column. Such details, including declared parameters, would be required to identify the samples, which would be drawn during the inspection by BIS for independent testing. e) The cost of all visits / inspections and testing shall be bo",,"Application fee of Rs. 1000/- (in equivalent US $ ) be deposited with BIS through RTGS/NEFT/SWIFT transfer. Our Bank account details are ava ilable on http://www.bis.org.in/fmcs/saarcfee.pdf 15 Details about the previous licences held / licences cancell ed / applications rejected. Reasons for such cancellation / rejection and / or conviction in the past, if a ny, under the BIS Act, 1986 shall also be stated in the Application Form. GUIDELINES FOR FILLING-UP THE APPLICATION FORM General: a) Separate application shall be required to be submitted for each product / Indian Sta ndard. b) The duly filled-in application should be signed by the CEO of the firm, or in his absence, by the representative authorized by him. It should be sealed with the firm ’s seal and also countersigned by the legally appointed authorized Indian representative. c) Ensure filling-in complete addresses of office and factory along with submission of supporting documentary evidence. Any change in the address(es) shall be immediately intimated to BIS with documents in support of new address(es). d) Clearly indicate related Indian Standard and product variety(ies) for which licence is sought (type/grade/class/rating, etc). The nomenclature and classification given in the related Indian Standard should be referred to while giving details in the respective column. Such details, including declared parameters, would be required to identify the samples, which would be drawn during the inspection by BIS for independent testing. e) The cost of all visits / inspections and testing shall be borne by the applican t. f) Applicant will be required to submit Acceptance of Scheme of Testing an d Inspection (STI) and Rate of Marking Fee; and Declaration of Brand Name, etc., as per the terms and conditions of grant of licence in prescribed proforma after recording of application / during the inspection / visit. g) In case the information submitted by the applicant along with the application is f ound to be incorrect, at any time, the application is liable to be rejected. h) For documents in language other than Hindi / English, a translation in H indi / English should also be provided (duly certified). Nomination of Indian Representative: The specimen of nomination form is available on the homepage of BIS web-site www.bis.org.in under ‘BIS Certification Scheme for Foreign Manufacturers ’ (the last page of the Agreement to be signed between BIS and the Applicant). It should be furnished on the manufacturer ’s letter-head. It should be signed by the CEO of the manufacturer or his authorized representative and also by the Indian Representative along with his contact details. Any change in authorized Indian Representative should be informed to BIS immediately, along with fresh nomination. Only o ne person can be nominated by the applicant. The Indian Representative should have all infor mation related to the grant of BIS Certification Mark licence to the manufacturer, which, on request, he ought to be in a position to provide to BIS. In the absence of such Indian Repres entative, or non- compliance of the provisions of the BIS Act, 1986 and the Rules and Regulations fr amed there- under, and the terms and conditions of the licence by such authorized Indian Repr esentative of the manufacturer, the application is liable to be rejected and the licence, if g ranted, shall be put under stop marking and processed for cancellation. Process Flow-chart: Process Flow-chart shall include complete manu","Conformity Assessment Laboratory Services Hallmarking Training Career Opportunities Consumer Engagement Contact Us Home Standard of the Week Standard of the Month New Standards Revised Standards Know Your Standard SNAP Products under Compulsory Certification Stdzd Dev & Building Regulations BIS Talks Manak Manch Manak Geet Rajbhasha Hindi BIS Library Monthly BIS Newsletter ICC Composition Overview Certification Process Inclusion Renewal Forms & Formats Laboratories Licensee Fee Ministry login FAQs Contact Us Home /FMCS/Certification Process/How to apply How to apply Fill-up the prescribed Application Form alongwith necessary documentation. Nominate an Authorized Indian Representative (AIR) using prescribed Nomination Form. Ensure that application is complete, refer checklist of documents. Submit duly filled-in and complete application along with requisite fees; documentation (in duplicate) and Nomination Form of AIR at FMCD, BIS Headquarters, New Delhi. Applications for Grant of Licence under the Foreign Manufacturers Certification Scheme (FMCS) can now also be submitted online through manakonline portal. A detailed User Manual for online submission of applications under FMCS through the manakonline portal is available for reference and guidance of applicants. Please note that applications in offline mode / hard copy shall be accepted only up to 31 May 2026. With effect from 01 June 2026, only applications submitted through the online portal shall be accepted. Note : 1. Applicants are advised to check the commonly observed deficiencies in applications before submission of application. 2. The applicant will be responsible for delay in grant of licence in case of submission of incomplete application; delay in response to queries raised, if any ; payment of dues, etc. Pause | Play The Bureau Overview Organization Origin of BIS Presidents Vice Presidents Director Generals Annual Report Review Statements... Delay Statement BIS Act, Rules & Regulations Solar Power Initiative Standards Download Indian Standards Technical Departments Standardization Cells Published Standards Proposal for New Standards Standards under Review Wide Circulation Drafts Accreditation of SDOs MoU R &D Projects International Relations Program of work Strategic Roadmaps Product Certification Overview Compulsory Certifications Product Certification Process Product Specific Information Fee Products Under Simplified Pro... Testing Facilities Apply Online Online Information FAQ Contact us System Certification Overview Certification Process MSCD Login Apply Online Licensee Auditors Auditor HandBook Complaints Appeals FAQ Contact Us Registration Scheme Overview Registration Process BIS Recognised Labs Instructions For Applying Online Inclusion Renewal Registered Manufacturers FAQ Contact Us FMCS Overview Inclusion Renewal Forms & Formats Laboratories Licensee Fee Ministry login FAQ Contact Us Laboratory Services Overview Test facilities & Testing charges List of BIS Recognised / Empanelled Labs NABL Accredited Laboratory QAI Accredited Laboratories FDAS Accredited Laboratories Uniform Test Report Formats CRS... Lab Recognition Scheme 2020 LRS Amendment 2020 LRS Amendment 2022 LRS Forms And Undertakings FAQ Contact Us Hallmarking Overview Brief on Hallmarking Hallmarking Regulation 2018 Mandatory Hallmarking Order Jewellers Registration Scheme Hallmarking Centres Gold Refinery Gold Monetization Scheme Consumer Protection EOI under Central Assistance... Forms & Formats A &H Centres provided.. FAQ Contact Us Consumer Engagement Overview Consumer Protection Vigilance Portal National Quality Award Brochures Standards India Copyright Indian Standards Online Complaint Registration Citizen Charter Enforcement FAQ Contact Us Training Overview Procedure For Applying Training Programmes Training Calendar Training Strategy ITP Alumni Portal ITP under ITEC Fee Form FAQ Contact Us Website Policies Terms & Conditions Disclaimer Sitemap Archives Help Last Updated on May 12, 2026 Visitor's Count: 8895432 Content owned of this website is published and managed by Bureau of Indian Standards, Ministry of Consumer Affairs, Food & Public Distribution, Government of India, Manak Bhawan, 9, Bahadur Shah Zafar Marg, New Delhi-110002",https://www.bis.gov.in/wp-content/uploads/2023/05/SNPbookBilingual.pdf,https://www.bis.gov.in/fmcs/fmcs-overview/?lang=en,,FOREIGN-MANUFACTURERS,,1,F037,bis_product_certifications.csv,,F037:-:56;F037:-:57;F037:-:58;F037:-:59;F037:-:60;F037:-:61;F037:-:62;F037:-:63;F037:-:64;F037:-:65;F037:-:66;F037:-:67;F037:-:68;F037:-:69;F037:-:70;F037:-:71;F037:-:72,CONFLICT_PRESERVED,6,applicability;document_url;fee_structure;guideline_title;inspection_testing_norm;source_url,,,8,40.00
SCH-00008,Machinery and Electrical Equipment covered under Omnibus Technical Regulation,,,,,,,,,,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:34;F003:-:35;F003:-:36;F003:-:37;F003:-:38;F003:-:39;F003:-:40;F003:-:41;F003:-:42;F003:-:43;F003:-:44;F003:-:45;F003:-:46;F003:-:47;F003:-:48;F003:-:49;F003:-:50;F003:-:51;F003:-:52;F003:-:53,CANONICAL,0,,,Record exists because another record referenced it.,1,5.00
SCH-00009,"Product Specification (Product Manual & SIT: 1, Active Licenses: 40, Labs: 13)",,,,,,,,,,,,,,,,,,,,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:2;F013:Products_Details:2,CANONICAL,0,,,Record exists because another record referenced it.,1,5.00
SCH-00010,"Product Specification (Product Manual & SIT: 1, Active Licenses: 79, Labs: 14)",,,,,,,,,,,,,,,,,,,,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:4;F013:Products_Details:4,CANONICAL,0,,,Record exists because another record referenced it.,1,5.00
