file_id,original_filename,primary_domain,rows,columns,populated_cells,sha256_16,groups_participating,canonical_status,fully_covered_by,contributes_unique_records_to,max_unique_records,unique_records_not_covered_elsewhere,conflicts_involving_file,different_entity_partners,decision_reason,archive_eligible,archive_precondition,phase3_action,phase4_action
F001,05_scheme_ii.csv,05_SCHEME_II_CRS,78,22,1621,a1d7f20c596ef1b7,3,KEEP_DISTINCT_ENTITY,NONE,06_scheme_iv.csv; 07_scheme_x.csv,78,06_scheme_iv.csv; 07_scheme_x.csv,0,06_scheme_iv.csv; 07_scheme_x.csv; BIS_Schemes_Master_Scheme_2.xlsx,"Checked against 06_scheme_iv.csv; 07_scheme_x.csv; BIS_Schemes_Master_Scheme_2.xlsx and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F002,06_scheme_iv.csv,06_SCHEME_IV_COC,6,23,127,fbd15b6affd5cab1,2,KEEP_DISTINCT_ENTITY,NONE,05_scheme_ii.csv; 07_scheme_x.csv,6,05_scheme_ii.csv; 07_scheme_x.csv,0,05_scheme_ii.csv; 07_scheme_x.csv,"Checked against 05_scheme_ii.csv; 07_scheme_x.csv and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F003,07_scheme_x.csv,07_SCHEME_X,52,23,1049,2f6ea9b562c7ec4e,4,KEEP_DISTINCT_ENTITY,NONE,05_scheme_ii.csv; 06_scheme_iv.csv,52,05_scheme_ii.csv; 06_scheme_iv.csv,0,05_scheme_ii.csv; 06_scheme_iv.csv,"Checked against 05_scheme_ii.csv; 06_scheme_iv.csv and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F004,17_source_conflicts.csv,OTHER_RELEVANT,2,14,26,5a57bdf14dfc54c9,0,KEEP_AS_CANONICAL_UNIQUE,NONE,NONE,0,NONE,0,NONE,No content link to any other file passed the deep-compare gate: this dataset is unique in the corpus.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F005,BIS_Combined_Testing_Master.xlsx,10_TESTING,260,12,3120,35529a83d202de5f,17,KEEP_PENDING_REVIEW,NONE,NONE,0,NONE,0,NONE,Participates in 17 compared pairs with no relationship strong enough to establish coverage. Kept until Phase 3 review.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F006,BIS_FAQs_Master.xlsx,12_CERTIFICATION_FAQ,98,10,980,82543bd4b195d979,1,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,NONE,bis_product_certification_faq (1).csv,98,bis_product_certification_faq (1).csv,0,NONE,Overlaps other files but holds up to 98 records they do not (bis_product_certification_faq (1).csv). Every one of those records must survive the merge.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F007,BIS_Laboratory_Scopes.xlsx,13_LAB_SERVICES,45,12,540,7ea7a62fc3593248,17,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,NONE,BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx; BIS_Standards_Details_v2 (1).xlsx …(+5),43,BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx; BIS_Standards_Details_v2 (1).xlsx …(+5),418,NONE,Overlaps other files but holds up to 43 records they do not (BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Scheme_1.xlsx …(+7)). Every one of those records must survive the merge.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F008,BIS_Mandatory_Hallmarking_Orders.xlsx,19_HALLMARKING_ORDERS,14,14,196,14adbee3f5abde39,0,KEEP_AS_CANONICAL_UNIQUE,NONE,NONE,0,NONE,0,NONE,No content link to any other file passed the deep-compare gate: this dataset is unique in the corpus.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F009,BIS_Notifications_Master.xlsx,16_ACT_RULES_REGULATIONS,31,14,434,bbfe04d01949a678,18,KEEP_DISTINCT_ENTITY,NONE,NONE,0,NONE,0,bis_circulars (1).csv; bis_gazette_notification.csv,"Checked against bis_circulars (1).csv; bis_gazette_notification.csv and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F010,BIS_Product_Manuals_Master.xlsx,09_PRODUCT_MANUALS,40,20,795,a20efa5909c7bb9f,22,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,NONE,BIS_Laboratory_Scopes.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records_v3.xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx …(+8),36,BIS_Laboratory_Scopes.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records_v3.xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx …(+8),716,NONE,Overlaps other files but holds up to 36 records they do not (BIS_Laboratory_Scopes.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records_v3.xlsx …(+10)). Every one of those records must survive the merge.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
