file_id,original_filename,sheet_name,column_index,exact_column_name,normalized_column_name,data_type,semantic_type,total_rows,non_null_rows,null_rows,placeholder_null_rows,unique_count,duplicate_count,percentage_populated,percentage_informative,multivalue_ratio,is_multivalue_field,example_values
F001,05_scheme_ii.csv,05_scheme_ii,1,scheme_record_id,scheme_record_id,string,SCHEME_ID,78,78,0,0,78,0,100.0,100.0,0.0,NO,SCHII-0001 || SCHII-0002 || SCHII-0003
F001,05_scheme_ii.csv,05_scheme_ii,2,scheme_id,scheme_id,string,SCHEME_ID,78,78,0,0,1,77,100.0,100.0,0.0,NO,scheme_ii
F001,05_scheme_ii.csv,05_scheme_ii,3,scheme_label,scheme_label,string,SCHEME_NAME,78,78,0,0,1,77,100.0,100.0,0.0,NO,Scheme - II (Registration Scheme)
F001,05_scheme_ii.csv,05_scheme_ii,4,table_caption,table_caption,string,TITLE,78,78,0,0,4,74,100.0,100.0,0.987,YES,List of Electronics and IT Goods under 'Compulsory Registration Scheme || List of Electronics and IT Goods under 'Compulsory Registration Scheme || List of Electronics and IT Goods under 'Compulsory Registration Scheme
F001,05_scheme_ii.csv,05_scheme_ii,5,sr_no,sr_no,float,NUMERIC_OR_COUNT,78,78,0,0,65,13,100.0,100.0,0.0,NO,1 || 2 || 3
F001,05_scheme_ii.csv,05_scheme_ii,6,raw_is_number,raw_is_number,string,IS_NUMBER,78,78,0,0,34,44,100.0,100.0,0.0,NO,IS/IEC 62368: Part 1: 2023 || IS 302-2-25 || IS 302-2:26
F001,05_scheme_ii.csv,05_scheme_ii,7,canonical_is_number,canonical_is_number,string,IS_NUMBER,78,78,0,0,33,45,100.0,100.0,0.0,NO,IS/IEC 62368 (Part 1) || IS 302 (Part 2/Sec 25) || IS 302 (Part 2/Sec 26)
F001,05_scheme_ii.csv,05_scheme_ii,8,display_is_number,display_is_number,string,IS_NUMBER,78,78,0,0,34,44,100.0,100.0,0.0,NO,IS/IEC 62368 (Part 1) : 2023 || IS 302 (Part 2/Sec 25) || IS 302 (Part 2/Sec 26)
F001,05_scheme_ii.csv,05_scheme_ii,9,standard_year,standard_year,int,YEAR,78,78,0,17,10,51,100.0,78.21,0.0,NO,2023 || 2012 || 2013
F001,05_scheme_ii.csv,05_scheme_ii,10,title,title,string,TITLE,78,78,0,0,30,48,100.0,100.0,0.718,YES,"Audio/Video, Information and Communication Technology Equipment - Part || Audio/Video, Information and Communication Technology Equipment - Part || Audio/Video, Information and Communication Technology Equipment - Part"
F001,05_scheme_ii.csv,05_scheme_ii,11,product_name,product_name,string,PRODUCT_NAME,78,78,0,0,72,6,100.0,100.0,0.205,NO,Electronic Games (Video) || Laptop/Notebook/Tablets || Plasma/ LCD/LED Televisions of screen size 32″ & above
F001,05_scheme_ii.csv,05_scheme_ii,12,notified_by,notified_by,string,AUTHORITY_OR_PARTY,78,78,0,0,4,74,100.0,100.0,0.154,NO,Ministry Of Electronics And Information Technology || Ministry Of New and Renewable Energy || Ministry of Chemicals and Fertilizers
F001,05_scheme_ii.csv,05_scheme_ii,13,notification_reference,notification_reference,string,FREE_TEXT,78,78,0,62,14,2,100.0,20.51,1.0,YES,Electronics & Information Technology Goods (Requirements for Compulsor || Electronics & Information Technology Goods (Requirements for Compulsor || SO No. Nil dated 24th Oct 2016; Date of Implementation 1st July 2017; 
F001,05_scheme_ii.csv,05_scheme_ii,14,mandatory_voluntary,mandatory_voluntary,string,MANDATORY_FLAG,78,78,0,0,1,77,100.0,100.0,0.0,NO,MANDATORY
F001,05_scheme_ii.csv,05_scheme_ii,15,certification_type,certification_type,string,CERTIFICATION_TYPE,78,78,0,0,1,77,100.0,100.0,0.0,NO,SCHEME_II_REGISTRATION
F001,05_scheme_ii.csv,05_scheme_ii,16,source_id,source_id,string,PROVENANCE_META,78,78,0,0,1,77,100.0,100.0,0.0,NO,scheme_ii
F001,05_scheme_ii.csv,05_scheme_ii,17,source_URL,source_url,url,SOURCE_URL,78,78,0,0,1,77,100.0,100.0,0.0,NO,https://www.bis.gov.in/product-certification/products-under-compulsory || https://www.bis.gov.in/product-certification/products-under-compulsory || https://www.bis.gov.in/product-certification/products-under-compulsory
F001,05_scheme_ii.csv,05_scheme_ii,18,retrieval_timestamp,retrieval_timestamp,date,DATE,78,78,0,0,1,77,100.0,100.0,0.0,NO,2026-09-01T00:00:00Z
F001,05_scheme_ii.csv,05_scheme_ii,19,scraper_engine,scraper_engine,string,PROVENANCE_META,78,78,0,0,1,77,100.0,100.0,0.0,NO,firecrawl
F001,05_scheme_ii.csv,05_scheme_ii,20,extraction_method,extraction_method,string,PROVENANCE_META,78,78,0,0,1,77,100.0,100.0,0.0,NO,FIRECRAWL_JSON
F001,05_scheme_ii.csv,05_scheme_ii,21,record_status,record_status,string,STATUS,78,78,0,0,2,76,100.0,100.0,0.0,NO,SUCCESS || PARTIAL
F001,05_scheme_ii.csv,05_scheme_ii,22,missing_reason,missing_reason,string,MISSING_REASON,78,78,0,16,1,61,100.0,79.49,0.0,NO,NOT_EXPOSED_BY_SOURCE
F002,06_scheme_iv.csv,06_scheme_iv,1,scheme_record_id,scheme_record_id,string,SCHEME_ID,6,6,0,0,6,0,100.0,100.0,0.0,NO,SCHIV-0001 || SCHIV-0002 || SCHIV-0003
F002,06_scheme_iv.csv,06_scheme_iv,2,scheme_id,scheme_id,string,SCHEME_ID,6,6,0,0,1,5,100.0,100.0,0.0,NO,scheme_iv
