conflict_id,pair_id,record_key_column,record_key_value,conflicting_column,file_a,sheet_a,source_row_a,value_a,file_b,sheet_b,source_row_b,value_b,value_similarity,value_relationship,conflict_type,resolution_status,phase4_action
CF-00000,DC-0025,is_number,is 17631:2022,product,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,2,work chairs - specification,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,2,work chairs,0.6667,LIKELY_DUPLICATE,VALUE_FORMAT_VARIANT,UNRESOLVED_PRESERVE_BOTH,Do NOT overwrite. Keep both values with provenance; set status=REQUIRES_REVIEW on the merged record unless a documented precedence rule is agreed in Phase 3.
CF-00001,DC-0025,is_number,is 17631:2022,source_url,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,2,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17631,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,2,bis product manuals,0.0769,DIFFERENT_ENTITY,VALUE_DISAGREEMENT,UNRESOLVED_PRESERVE_BOTH,Do NOT overwrite. Keep both values with provenance; set status=REQUIRES_REVIEW on the merged record unless a documented precedence rule is agreed in Phase 3.
CF-00002,DC-0025,is_number,is 17632:2022,product,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,3,general purpose chairs and stools - specification,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,3,general purpose chairs and stools,0.75,LIKELY_DUPLICATE,VALUE_FORMAT_VARIANT,UNRESOLVED_PRESERVE_BOTH,Do NOT overwrite. Keep both values with provenance; set status=REQUIRES_REVIEW on the merged record unless a documented precedence rule is agreed in Phase 3.
CF-00003,DC-0025,is_number,is 17632:2022,source_url,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,3,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17632,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,3,bis product manuals,0.0769,DIFFERENT_ENTITY,VALUE_DISAGREEMENT,UNRESOLVED_PRESERVE_BOTH,Do NOT overwrite. Keep both values with provenance; set status=REQUIRES_REVIEW on the merged record unless a documented precedence rule is agreed in Phase 3.
CF-00004,DC-0025,is_number,is 17633:2022,product,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,4,tables and desks - specification,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,4,tables and desks,0.6667,LIKELY_DUPLICATE,VALUE_FORMAT_VARIANT,UNRESOLVED_PRESERVE_BOTH,Do NOT overwrite. Keep both values with provenance; set status=REQUIRES_REVIEW on the merged record unless a documented precedence rule is agreed in Phase 3.
CF-00005,DC-0025,is_number,is 17633:2022,source_url,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,4,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17633,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,4,bis product manuals,0.0769,DIFFERENT_ENTITY,VALUE_DISAGREEMENT,UNRESOLVED_PRESERVE_BOTH,Do NOT overwrite. Keep both values with provenance; set status=REQUIRES_REVIEW on the merged record unless a documented precedence rule is agreed in Phase 3.
CF-00006,DC-0025,is_number,is 17634:2022,product,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,5,storage units - specification,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,5,storage units,0.6667,LIKELY_DUPLICATE,VALUE_FORMAT_VARIANT,UNRESOLVED_PRESERVE_BOTH,Do NOT overwrite. Keep both values with provenance; set status=REQUIRES_REVIEW on the merged record unless a documented precedence rule is agreed in Phase 3.
CF-00007,DC-0025,is_number,is 17634:2022,source_url,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,5,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17634,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,5,bis product manuals,0.0769,DIFFERENT_ENTITY,VALUE_DISAGREEMENT,UNRESOLVED_PRESERVE_BOTH,Do NOT overwrite. Keep both values with provenance; set status=REQUIRES_REVIEW on the merged record unless a documented precedence rule is agreed in Phase 3.
CF-00008,DC-0025,is_number,is 17635:2022,product,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,6,beds - specification,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,6,beds,0.5,LIKELY_DUPLICATE,VALUE_FORMAT_VARIANT,UNRESOLVED_PRESERVE_BOTH,Do NOT overwrite. Keep both values with provenance; set status=REQUIRES_REVIEW on the merged record unless a documented precedence rule is agreed in Phase 3.
CF-00009,DC-0025,is_number,is 17635:2022,source_url,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,6,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17635,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,6,bis product manuals,0.0769,DIFFERENT_ENTITY,VALUE_DISAGREEMENT,UNRESOLVED_PRESERVE_BOTH,Do NOT overwrite. Keep both values with provenance; set status=REQUIRES_REVIEW on the merged record unless a documented precedence rule is agreed in Phase 3.
