file_id,original_filename,sheet_name,column_or_sheet,flag,metric,semantic_type,total_rows,phase4_action
F001,05_scheme_ii.csv,05_scheme_ii,table_caption,MULTIVALUE_COLUMN,ratio=0.987,TITLE,78,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F001,05_scheme_ii.csv,05_scheme_ii,standard_year,HIGH_PLACEHOLDER_COLUMN,21.8% placeholder (17/78),YEAR,78,Convert placeholder cells to NULL + missing_reason; keep the 61 informative values.
F001,05_scheme_ii.csv,05_scheme_ii,title,MULTIVALUE_COLUMN,ratio=0.718,TITLE,78,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F001,05_scheme_ii.csv,05_scheme_ii,notification_reference,HIGH_PLACEHOLDER_COLUMN,79.5% placeholder (62/78),FREE_TEXT,78,Convert placeholder cells to NULL + missing_reason; keep the 16 informative values.
F001,05_scheme_ii.csv,05_scheme_ii,notification_reference,MULTIVALUE_COLUMN,ratio=1.0,FREE_TEXT,78,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F001,05_scheme_ii.csv,05_scheme_ii,missing_reason,HIGH_PLACEHOLDER_COLUMN,20.5% placeholder (16/78),MISSING_REASON,78,Convert placeholder cells to NULL + missing_reason; keep the 62 informative values.
F002,06_scheme_iv.csv,06_scheme_iv,title,FULLY_PLACEHOLDER_COLUMN,6/6 placeholder,TITLE,6,Zero informative values. Convert every cell to NULL + missing_reason=PLACEHOLDER_IN_SOURCE; never emit 'N/A'.
F002,06_scheme_iv.csv,06_scheme_iv,specific_requirement,MULTIVALUE_COLUMN,ratio=0.667,DESCRIPTIVE_TEXT,6,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F002,06_scheme_iv.csv,06_scheme_iv,notified_by,MULTIVALUE_COLUMN,ratio=1.0,AUTHORITY_OR_PARTY,6,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F002,06_scheme_iv.csv,06_scheme_iv,notification_reference,MULTIVALUE_COLUMN,ratio=0.833,FREE_TEXT,6,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F002,06_scheme_iv.csv,06_scheme_iv,missing_reason,HIGH_PLACEHOLDER_COLUMN,83.3% placeholder (5/6),MISSING_REASON,6,Convert placeholder cells to NULL + missing_reason; keep the 1 informative values.
F003,07_scheme_x.csv,07_scheme_x,scheme_label,MULTIVALUE_COLUMN,ratio=0.385,SCHEME_NAME,52,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F003,07_scheme_x.csv,07_scheme_x,raw_is_number,HIGH_PLACEHOLDER_COLUMN,36.5% placeholder (19/52),IS_NUMBER,52,Convert placeholder cells to NULL + missing_reason; keep the 33 informative values.
F003,07_scheme_x.csv,07_scheme_x,canonical_is_number,HIGH_PLACEHOLDER_COLUMN,36.5% placeholder (19/52),IS_NUMBER,52,Convert placeholder cells to NULL + missing_reason; keep the 33 informative values.
F003,07_scheme_x.csv,07_scheme_x,display_is_number,HIGH_PLACEHOLDER_COLUMN,36.5% placeholder (19/52),IS_NUMBER,52,Convert placeholder cells to NULL + missing_reason; keep the 33 informative values.
F003,07_scheme_x.csv,07_scheme_x,standard_year,HIGH_PLACEHOLDER_COLUMN,36.5% placeholder (19/52),YEAR,52,Convert placeholder cells to NULL + missing_reason; keep the 33 informative values.
F003,07_scheme_x.csv,07_scheme_x,title,HIGH_PLACEHOLDER_COLUMN,42.3% placeholder (22/52),TITLE,52,Convert placeholder cells to NULL + missing_reason; keep the 30 informative values.
F003,07_scheme_x.csv,07_scheme_x,title,MULTIVALUE_COLUMN,ratio=1.0,TITLE,52,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F003,07_scheme_x.csv,07_scheme_x,product_name,MULTIVALUE_COLUMN,ratio=0.731,PRODUCT_NAME,52,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F003,07_scheme_x.csv,07_scheme_x,specific_requirement,HIGH_PLACEHOLDER_COLUMN,38.5% placeholder (20/52),DESCRIPTIVE_TEXT,52,Convert placeholder cells to NULL + missing_reason; keep the 32 informative values.
F003,07_scheme_x.csv,07_scheme_x,notification_reference,MULTIVALUE_COLUMN,ratio=1.0,FREE_TEXT,52,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F003,07_scheme_x.csv,07_scheme_x,missing_reason,HIGH_PLACEHOLDER_COLUMN,55.8% placeholder (29/52),MISSING_REASON,52,Convert placeholder cells to NULL + missing_reason; keep the 23 informative values.
F004,17_source_conflicts.csv,17_source_conflicts,entity_key,MULTIVALUE_COLUMN,ratio=1.0,IS_RELATIONSHIP,2,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F004,17_source_conflicts.csv,17_source_conflicts,resolved_value,FULLY_PLACEHOLDER_COLUMN,2/2 placeholder,EMPTY_COLUMN,2,Zero informative values. Convert every cell to NULL + missing_reason=PLACEHOLDER_IN_SOURCE; never emit 'N/A'.
F004,17_source_conflicts.csv,17_source_conflicts,notes,MULTIVALUE_COLUMN,ratio=1.0,DESCRIPTIVE_TEXT,2,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,answer,MULTIVALUE_COLUMN,ratio=0.786,FAQ_ANSWER,98,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,test_name,MULTIVALUE_COLUMN,ratio=0.733,TEST_NAME,45,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F008,BIS_Mandatory_Hallmarking_Orders.xlsx,Mandatory_Hallmarking_Orders,order_title,MULTIVALUE_COLUMN,ratio=1.0,TITLE,14,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,title,MULTIVALUE_COLUMN,ratio=0.774,TITLE,31,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F009,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,ministry,MULTIVALUE_COLUMN,ratio=1.0,AUTHORITY_OR_PARTY,31,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,raw_material_requirements,MULTIVALUE_COLUMN,ratio=0.316,UNCLASSIFIED_STRING,40,Explode into a 90_RELATIONSHIPS child table; do NOT keep as a comma-separated cell.
