step_id,execution_order,target_canonical_dataset,target_domain,source_files,source_file_count,join_key,join_key_status,input_records,expected_output_records_min,expected_output_records_max,records_added_beyond_largest_source,duplicate_records_collapsed,conflicts_to_carry,different_entity_splits,required_provenance_columns,merge_rule,conflict_rule,null_rule,blocking_precondition,requires_human_approval,notes
MS-01,1,canonical_certification,11_CERTIFICATION_PROCESS,bis_product_certifications.csv,1,NO_SHARED_KEY_IN_CLUSTER,NO_SHARED_KEY_DERIVE_IN_PHASE_3,71,71,71,0,0,0,NONE,source_file_id; source_filename; source_sheet; source_row_number; source_url; retrieved_at; merge_step_id; record_provenance_count,Full outer union on `NO_SHARED_KEY_IN_CLUSTER`. Every source record appears in the output exactly once per distinct entity; a record present in several files yields ONE output row whose provenance lists all contributing files and row numbers. No source record may be dropped for being 'already present' without that provenance entry.,"Where sources disagree on a shared field, write the value from the file marked canonical for that pair, keep the rejected value in CONFLICTS.csv, and set status=REQUIRES_REVIEW on the output row. Never overwrite silently and never average or concatenate disagreeing values. 0 conflicts in this cluster.","Absent values are written as NULL with missing_reason set to NULL_UNKNOWN / ASSERTED_ABSENCE / AMBIGUOUS_REQUIRES_REVIEW as carried from Phase 1. Never write 'N/A', 'Unknown', 'None' or '-' as data, and never invent a value.",Phase 3 approval of the canonical schema for canonical_certification,NO,0 relationships inside this cluster: none
MS-02,2,canonical_documents,09_PRODUCT_MANUALS,BIS_Product_Manuals_Master.xlsx,1,NO_SHARED_KEY_IN_CLUSTER,NO_SHARED_KEY_DERIVE_IN_PHASE_3,40,40,40,0,0,0,NONE,source_file_id; source_filename; source_sheet; source_row_number; source_url; retrieved_at; merge_step_id; record_provenance_count,Full outer union on `NO_SHARED_KEY_IN_CLUSTER`. Every source record appears in the output exactly once per distinct entity; a record present in several files yields ONE output row whose provenance lists all contributing files and row numbers. No source record may be dropped for being 'already present' without that provenance entry.,"Where sources disagree on a shared field, write the value from the file marked canonical for that pair, keep the rejected value in CONFLICTS.csv, and set status=REQUIRES_REVIEW on the output row. Never overwrite silently and never average or concatenate disagreeing values. 0 conflicts in this cluster.","Absent values are written as NULL with missing_reason set to NULL_UNKNOWN / ASSERTED_ABSENCE / AMBIGUOUS_REQUIRES_REVIEW as carried from Phase 1. Never write 'N/A', 'Unknown', 'None' or '-' as data, and never invent a value.",Phase 3 approval of the canonical schema for canonical_documents,NO,0 relationships inside this cluster: none
MS-03,3,canonical_faq,12_CERTIFICATION_FAQ,BIS_FAQs_Master.xlsx; bis_product_certification_faq (1).csv,2,answer,MEASURED_SHARED_KEY,126,126,126,28,0,0,NONE,source_file_id; source_filename; source_sheet; source_row_number; source_url; retrieved_at; merge_step_id; record_provenance_count,Full outer union on `answer`. Every source record appears in the output exactly once per distinct entity; a record present in several files yields ONE output row whose provenance lists all contributing files and row numbers. No source record may be dropped for being 'already present' without that provenance entry.,"Where sources disagree on a shared field, write the value from the file marked canonical for that pair, keep the rejected value in CONFLICTS.csv, and set status=REQUIRES_REVIEW on the output row. Never overwrite silently and never average or concatenate disagreeing values. 0 conflicts in this cluster.","Absent values are written as NULL with missing_reason set to NULL_UNKNOWN / ASSERTED_ABSENCE / AMBIGUOUS_REQUIRES_REVIEW as carried from Phase 1. Never write 'N/A', 'Unknown', 'None' or '-' as data, and never invent a value.",Phase 3 approval of the canonical schema for canonical_faq,NO,1 relationships inside this cluster: REQUIRES_REVIEW=1
MS-04,4,canonical_fmcs,22_FMCS,BIS_Scheme_IV_FMCS.xlsx; data__raw__fmcs_all_fmcs_list_raw.csv; output__fmcs_country_coverage.csv; output__fmcs_is_coverage.csv; output__topic18_fmcs_manufacturers.csv; output__topic19_official_documents.csv,6,is_number,REKEY_REQUIRED_SURROGATE_NAMESPACES_DIFFER,6829,6829,6829,3694,0,0,BIS_Scheme_IV_FMCS.xlsx | output__fmcs_country_coverage.csv; BIS_Scheme_IV_FMCS.xlsx | output__topic19_official_documents.csv; data__raw__fmcs_all_fmcs_list_raw.csv | output__fmcs_country_coverage.csv; data__raw__fmcs_all_fmcs_list_raw.csv | output__topic19_official_documents.csv; output__fmcs_country_coverage.csv | output__fmcs_is_coverage.csv; output__fmcs_country_coverage.csv | output__topic18_fmcs_manufacturers.csv; output__fmcs_country_coverage.csv | output__topic19_official_documents.csv; output__fmcs_is_coverage.csv | output__topic19_official_documents.csv; output__topic18_fmcs_manufacturers.csv | output__topic19_official_documents.csv,source_file_id; source_filename; source_sheet; source_row_number; source_url; retrieved_at; merge_step_id; record_provenance_count,Full outer union on `is_number`. Every source record appears in the output exactly once per distinct entity; a record present in several files yields ONE output row whose provenance lists all contributing files and row numbers. No source record may be dropped for being 'already present' without that provenance entry.,"Where sources disagree on a shared field, write the value from the file marked canonical for that pair, keep the rejected value in CONFLICTS.csv, and set status=REQUIRES_REVIEW on the output row. Never overwrite silently and never average or concatenate disagreeing values. 0 conflicts in this cluster.","Absent values are written as NULL with missing_reason set to NULL_UNKNOWN / ASSERTED_ABSENCE / AMBIGUOUS_REQUIRES_REVIEW as carried from Phase 1. Never write 'N/A', 'Unknown', 'None' or '-' as data, and never invent a value.","Phase 3 approval of the canonical schema for canonical_fmcs; plus an agreed re-keying rule, since identifier namespaces differ across these files",YES,15 relationships inside this cluster: COMPLEMENTARY=4; DIFFERENT_ENTITY=9; REQUIRES_REVIEW=2
MS-05,5,canonical_hallmark_centres,20_HALLMARKING_CENTRES,bis_topic17_hallmarking_centres.csv; bis_topic17_hallmarking_centres_cancelled_suspended.csv,2,centre_id,MEASURED_SHARED_KEY,2380,2244,2380,586,136,273,NONE,source_file_id; source_filename; source_sheet; source_row_number; source_url; retrieved_at; merge_step_id; record_provenance_count,Full outer union on `centre_id`. Every source record appears in the output exactly once per distinct entity; a record present in several files yields ONE output row whose provenance lists all contributing files and row numbers. No source record may be dropped for being 'already present' without that provenance entry.,"Where sources disagree on a shared field, write the value from the file marked canonical for that pair, keep the rejected value in CONFLICTS.csv, and set status=REQUIRES_REVIEW on the output row. Never overwrite silently and never average or concatenate disagreeing values. 273 conflicts in this cluster.","Absent values are written as NULL with missing_reason set to NULL_UNKNOWN / ASSERTED_ABSENCE / AMBIGUOUS_REQUIRES_REVIEW as carried from Phase 1. Never write 'N/A', 'Unknown', 'None' or '-' as data, and never invent a value.",Phase 3 approval of the canonical schema for canonical_hallmark_centres,YES,1 relationships inside this cluster: COMPLEMENTARY=1
MS-06,6,canonical_hallmarking,19_HALLMARKING_ORDERS,BIS_Mandatory_Hallmarking_Orders.xlsx,1,NO_SHARED_KEY_IN_CLUSTER,NO_SHARED_KEY_DERIVE_IN_PHASE_3,14,14,14,0,0,0,NONE,source_file_id; source_filename; source_sheet; source_row_number; source_url; retrieved_at; merge_step_id; record_provenance_count,Full outer union on `NO_SHARED_KEY_IN_CLUSTER`. Every source record appears in the output exactly once per distinct entity; a record present in several files yields ONE output row whose provenance lists all contributing files and row numbers. No source record may be dropped for being 'already present' without that provenance entry.,"Where sources disagree on a shared field, write the value from the file marked canonical for that pair, keep the rejected value in CONFLICTS.csv, and set status=REQUIRES_REVIEW on the output row. Never overwrite silently and never average or concatenate disagreeing values. 0 conflicts in this cluster.","Absent values are written as NULL with missing_reason set to NULL_UNKNOWN / ASSERTED_ABSENCE / AMBIGUOUS_REQUIRES_REVIEW as carried from Phase 1. Never write 'N/A', 'Unknown', 'None' or '-' as data, and never invent a value.",Phase 3 approval of the canonical schema for canonical_hallmarking,NO,0 relationships inside this cluster: none
MS-07,7,canonical_labs,13_LAB_SERVICES; 14_LIMS_LABS,BIS_Laboratory_Scopes.xlsx; BIS_Recognized_Laboratories.xlsx; bis_laboratories.csv,3,lab_name,MEASURED_SHARED_KEY,491,489,491,58,2,8,NONE,source_file_id; source_filename; source_sheet; source_row_number; source_url; retrieved_at; merge_step_id; record_provenance_count,Full outer union on `lab_name`. Every source record appears in the output exactly once per distinct entity; a record present in several files yields ONE output row whose provenance lists all contributing files and row numbers. No source record may be dropped for being 'already present' without that provenance entry.,"Where sources disagree on a shared field, write the value from the file marked canonical for that pair, keep the rejected value in CONFLICTS.csv, and set status=REQUIRES_REVIEW on the output row. Never overwrite silently and never average or concatenate disagreeing values. 8 conflicts in this cluster.","Absent values are written as NULL with missing_reason set to NULL_UNKNOWN / ASSERTED_ABSENCE / AMBIGUOUS_REQUIRES_REVIEW as carried from Phase 1. Never write 'N/A', 'Unknown', 'None' or '-' as data, and never invent a value.",Phase 3 approval of the canonical schema for canonical_labs,YES,1 relationships inside this cluster: COMPLEMENTARY=1
MS-08,8,canonical_legal,16_ACT_RULES_REGULATIONS,BIS_Notifications_Master.xlsx; bis_circulars (1).csv; bis_gazette_notification.csv,3,NO_SHARED_KEY_IN_CLUSTER,NO_SHARED_KEY_DERIVE_IN_PHASE_3,1989,1989,1989,191,0,0,BIS_Notifications_Master.xlsx | bis_circulars (1).csv; BIS_Notifications_Master.xlsx | bis_gazette_notification.csv,source_file_id; source_filename; source_sheet; source_row_number; source_url; retrieved_at; merge_step_id; record_provenance_count,Full outer union on `NO_SHARED_KEY_IN_CLUSTER`. Every source record appears in the output exactly once per distinct entity; a record present in several files yields ONE output row whose provenance lists all contributing files and row numbers. No source record may be dropped for being 'already present' without that provenance entry.,"Where sources disagree on a shared field, write the value from the file marked canonical for that pair, keep the rejected value in CONFLICTS.csv, and set status=REQUIRES_REVIEW on the output row. Never overwrite silently and never average or concatenate disagreeing values. 0 conflicts in this cluster.","Absent values are written as NULL with missing_reason set to NULL_UNKNOWN / ASSERTED_ABSENCE / AMBIGUOUS_REQUIRES_REVIEW as carried from Phase 1. Never write 'N/A', 'Unknown', 'None' or '-' as data, and never invent a value.",Phase 3 approval of the canonical schema for canonical_legal,YES,3 relationships inside this cluster: DIFFERENT_ENTITY=2; REQUIRES_REVIEW=1
MS-09,9,canonical_products,02_PRODUCTS; 08_PRODUCT_SPECIFIC,BIS_Products_Details.xlsx; BIS_Products_Full_Information_v2.xlsx; BIS_Standards_Intelligence_Master.xlsx; BIS_Standards_Scheme_Mapping.xlsx,4,related_is_numbers,REKEY_REQUIRED_SURROGATE_NAMESPACES_DIFFER,161,140,161,95,21,414,NONE,source_file_id; source_filename; source_sheet; source_row_number; source_url; retrieved_at; merge_step_id; record_provenance_count,Full outer union on `related_is_numbers`. Every source record appears in the output exactly once per distinct entity; a record present in several files yields ONE output row whose provenance lists all contributing files and row numbers. No source record may be dropped for being 'already present' without that provenance entry.,"Where sources disagree on a shared field, write the value from the file marked canonical for that pair, keep the rejected value in CONFLICTS.csv, and set status=REQUIRES_REVIEW on the output row. Never overwrite silently and never average or concatenate disagreeing values. 414 conflicts in this cluster.","Absent values are written as NULL with missing_reason set to NULL_UNKNOWN / ASSERTED_ABSENCE / AMBIGUOUS_REQUIRES_REVIEW as carried from Phase 1. Never write 'N/A', 'Unknown', 'None' or '-' as data, and never invent a value.","Phase 3 approval of the canonical schema for canonical_products; plus an agreed re-keying rule, since identifier namespaces differ across these files",YES,5 relationships inside this cluster: COMPLEMENTARY=4; DUPLICATE_WITH_UNIQUE_DATA=1
MS-10,10,canonical_qco,03_QCO,BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records.xlsx; BIS_QCO_Master_Records_v3.xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_QCO_Summary.xlsx,6,product,REKEY_REQUIRED_SURROGATE_NAMESPACES_DIFFER,145,92,145,52,53,353,NONE,source_file_id; source_filename; source_sheet; source_row_number; source_url; retrieved_at; merge_step_id; record_provenance_count,Full outer union on `product`. Every source record appears in the output exactly once per distinct entity; a record present in several files yields ONE output row whose provenance lists all contributing files and row numbers. No source record may be dropped for being 'already present' without that provenance entry.,"Where sources disagree on a shared field, write the value from the file marked canonical for that pair, keep the rejected value in CONFLICTS.csv, and set status=REQUIRES_REVIEW on the output row. Never overwrite silently and never average or concatenate disagreeing values. 353 conflicts in this cluster.","Absent values are written as NULL with missing_reason set to NULL_UNKNOWN / ASSERTED_ABSENCE / AMBIGUOUS_REQUIRES_REVIEW as carried from Phase 1. Never write 'N/A', 'Unknown', 'None' or '-' as data, and never invent a value.","Phase 3 approval of the canonical schema for canonical_qco; plus an agreed re-keying rule, since identifier namespaces differ across these files",YES,15 relationships inside this cluster: COMPLEMENTARY=12; DUPLICATE_WITH_UNIQUE_DATA=1; LIKELY_DUPLICATE=1; REQUIRES_REVIEW=1
