file_id,original_filename,sheet_index,sheet_name,sheet_state,row_count,column_count,headers,non_empty_rows,non_empty_columns,empty_columns,null_cell_count,placeholder_null_count,unique_row_count,duplicate_row_count,merged_cells,merged_ranges,formula_cells,hyperlink_cells,hidden_rows,hidden_columns,data_types,date_columns,url_columns,is_number_columns,qco_columns,scheme_columns,laboratory_columns,multivalue_columns,content_sha256_ordered,content_sha256_rowset,structural_issue,repair_rule,notes
F001,05_scheme_ii.csv,1,05_scheme_ii,visible,78,22,scheme_record_id | scheme_id | scheme_label | table_caption | sr_no | raw_is_number | canonical_is_number | display_is_number | standard_year | title | product_name | notified_by | notification_reference | mandatory_voluntary | certification_type | source_id | source_URL | retrieval_timestamp | scraper_engine | extraction_method | record_status | missing_reason,78,22,,0,95,78,0,0,,0,0,,,scheme_record_id:string;scheme_id:string;scheme_label:string;table_caption:string;sr_no:float;raw_is_number:string;canonical_is_number:string;display_is_number:string;standard_year:int;title:string;product_name:string;notified_by:string;notification_reference:string;mandatory_voluntary:string;certification_type:string;source_id:string;source_url:url;retrieval_timestamp:date;scraper_engine:string;extraction_method:string;record_status:string;missing_reason:string,standard_year;retrieval_timestamp,source_URL,raw_is_number;canonical_is_number;display_is_number,,scheme_record_id;scheme_id;scheme_label;certification_type,,table_caption;title;notification_reference,4969bf6b48857bb17c62257e1fc19af060d7f9e209c5394a46793ea5c3b5c8a6,2844681e04721ba5b1235db3733eca31a84ca33543d5c08ba96b438ce164d716,,,sheet fully analysed
F002,06_scheme_iv.csv,1,06_scheme_iv,visible,6,23,scheme_record_id | scheme_id | scheme_label | sr_no | raw_is_number | canonical_is_number | display_is_number | standard_year | title | product_name | specific_requirement | notified_by | notification_reference | notification_document_URL | mandatory_voluntary | certification_type | source_id | source_URL | retrieval_timestamp | scraper_engine | extraction_method | record_status | missing_reason,6,23,,0,11,6,0,0,,0,0,,,scheme_record_id:string;scheme_id:string;scheme_label:string;sr_no:float;raw_is_number:string;canonical_is_number:string;display_is_number:string;standard_year:int;title:empty;product_name:string;specific_requirement:string;notified_by:string;notification_reference:string;notification_document_url:url;mandatory_voluntary:string;certification_type:string;source_id:string;source_url:url;retrieval_timestamp:date;scraper_engine:string;extraction_method:string;record_status:string;missing_reason:string,standard_year;retrieval_timestamp,notification_document_URL;source_URL,raw_is_number;canonical_is_number;display_is_number,,scheme_record_id;scheme_id;scheme_label;certification_type,,specific_requirement;notified_by;notification_reference,1a27face7cb4f4843f75494cddfa6e545f51dd99841718c402cf8ce234765fed,6fca63653f3f129e165822fd751cdeaf269a40c9574e5464bacc56955fedf418,,,sheet fully analysed
F003,07_scheme_x.csv,1,07_scheme_x,visible,52,23,scheme_record_id | scheme_id | scheme_label | sr_no | raw_is_number | canonical_is_number | display_is_number | standard_year | title | product_name | specific_requirement | notified_by | notification_reference | notification_document_URL | mandatory_voluntary | certification_type | source_id | source_URL | retrieval_timestamp | scraper_engine | extraction_method | record_status | missing_reason,52,23,,0,147,52,0,0,,0,0,,,scheme_record_id:string;scheme_id:string;scheme_label:string;sr_no:mixed(float|int|string);raw_is_number:string;canonical_is_number:string;display_is_number:string;standard_year:int;title:string;product_name:string;specific_requirement:string;notified_by:string;notification_reference:string;notification_document_url:url;mandatory_voluntary:string;certification_type:string;source_id:string;source_url:url;retrieval_timestamp:date;scraper_engine:string;extraction_method:string;record_status:string;missing_reason:string,standard_year;retrieval_timestamp,notification_document_URL;source_URL,raw_is_number;canonical_is_number;display_is_number,,scheme_record_id;scheme_id;scheme_label;certification_type,,scheme_label;title;product_name;notification_reference,4b7fb13863b9dee74416d1cbfcf3135ff72d8685cd072f42f3aea157bff368c1,853f5186cbbf3cab16e70613e1f27120368423e0212b1c75c2bdd20b300ac211,,,sheet fully analysed
F004,17_source_conflicts.csv,1,17_source_conflicts,visible,2,14,conflict_id | entity_type | entity_key | field_name | value_a | source_a_id | source_a_URL | value_b | source_b_id | source_b_URL | resolution_rule | resolved_value | detected_at | notes,2,14,,0,2,2,0,0,,0,0,,,conflict_id:string;entity_type:string;entity_key:string;field_name:string;value_a:mixed(int|string);source_a_id:string;source_a_url:url;value_b:mixed(int|string);source_b_id:string;source_b_url:url;resolution_rule:string;resolved_value:empty;detected_at:date;notes:string,detected_at,source_a_URL;source_b_URL,entity_key,,,,entity_key;notes,b33530e7f465136b36356d41ccb6c365f7a64d6456e74e4e0faec4ae6ee0675f,8b6a47317ef7d9b98a2c36a0c7267397268e825e4d58c7f4110dbd118e4db00c,,,sheet fully analysed
F005,BIS_Combined_Testing_Master.xlsx,1,Combined_Testing_Master,visible,260,12,test_id | test_name | parameter | method | method_standard | clause | sample_size | frequency | acceptance_criteria | required_equipment | remarks | source_URL,260,12,,0,0,260,0,0,,0,0,,,test_id:string;test_name:string;parameter:string;method:string;method_standard:string;clause:string;sample_size:string;frequency:string;acceptance_criteria:string;required_equipment:string;remarks:string;source_url:string,,source_URL,,,,,,16752b78272d0bdd4791c23b67465e1441b8b506342896d029bfd96beec1b8ec,c742abad741cb64ed9f6793bbba8c5c7c86f3e438888530913cd7487093381ca,,,sheet fully analysed
F006,BIS_FAQs_Master.xlsx,1,BIS_FAQs_Master,visible,98,10,faq_id | question | answer | category | related_IS | related_product | related_QCO | related_scheme | document_reference | source_URL,98,10,,0,0,98,0,0,,0,0,,,faq_id:string;question:string;answer:string;category:string;related_is:string;related_product:string;related_qco:string;related_scheme:string;document_reference:string;source_url:url,,source_URL,related_IS,related_QCO,,,answer,99736f8475cab5b56740678bb6630c94f48e07b5b6306c4196b717f556db1a2b,718c35586527524cd4cbf007a24d1c30421c7845ed0f9914f980b938eca33dd6,,,sheet fully analysed
F007,BIS_Laboratory_Scopes.xlsx,1,BIS_Laboratory_Scopes,visible,45,12,scope_id | lab_id | IS_number | product | test_name | test_method | clause | capability | scope_status | scope_validity | testing_charge | source_URL,45,12,,0,0,45,0,0,,0,0,,,scope_id:string;lab_id:string;is_number:string;product:string;test_name:string;test_method:string;clause:string;capability:string;scope_status:string;scope_validity:string;testing_charge:string;source_url:url,scope_validity,source_URL,IS_number,,,lab_id,test_name,95095f720dca4cd4a026ec123d1e0d5d490d343e58d56d3900903f9c624fed0d,43dec27b87d1a9dc1c9c2b246d4163bb0006408d5d0df37c947eca2e4bb79e82,,,sheet fully analysed
F008,BIS_Mandatory_Hallmarking_Orders.xlsx,1,Mandatory_Hallmarking_Orders,visible,14,14,order_id | order_title | order_number | metal | fineness | mandatory_status | geographical_applicability | district_phase | effective_date | amendment | exemption | supersession | document_URL | source_URL,14,14,,0,0,14,0,0,,0,0,,,order_id:string;order_title:string;order_number:string;metal:string;fineness:string;mandatory_status:string;geographical_applicability:string;district_phase:string;effective_date:string;amendment:string;exemption:string;supersession:string;document_url:string;source_url:url,effective_date,document_URL;source_URL,fineness,,,,order_title,b9a87145924649abc02134b477cf33a0c6827ef311ab3f58f9bfd3b8ebe45be3,91cce66f33a4c09f1c7285fcff053fd6a73e95892a920b0ebd96b67f38162030,,,sheet fully analysed
F009,BIS_Notifications_Master.xlsx,1,BIS_Notifications_Master,visible,31,14,notification_id | notification_number | title | type | date | effective_date | ministry | department | subject | related_QCO | related_IS | related_amendment | document_URL | source_URL,31,14,,0,0,31,0,0,,0,0,,,notification_id:string;notification_number:string;title:string;type:string;date:string;effective_date:string;ministry:string;department:string;subject:string;related_qco:string;related_is:string;related_amendment:string;document_url:string;source_url:string,date;effective_date,document_URL;source_URL,related_IS,related_QCO,,,title;ministry,7c9d9a9d9a86c75486b3816f1ff44bf9f58e66dc817bb71b2cf34eb69d938175,2acd880cad79b83de47b2f689833ef353582b78411bb956aca2a6ddc117b2c4a,,,sheet fully analysed
F010,BIS_Product_Manuals_Master.xlsx,1,BIS_Product_Manuals,visible,40,20,manual_id | IS_number | product | manual_title | version | revision_date | scheme | scope | raw_material_requirements | process_requirements | testing_requirements | sampling_guidelines | test_equipment | marking_requirements | SIT_STI | grouping_guidelines | licensing_requirements | inspection_requirements | document_URL | source_URL,40,20,,0,5,40,0,0,,0,0,,,manual_id:string;is_number:string;product:string;manual_title:string;version:mixed(int|string);revision_date:string;scheme:string;scope:string;raw_material_requirements:string;process_requirements:string;testing_requirements:string;sampling_guidelines:string;test_equipment:string;marking_requirements:string;sit_sti:string;grouping_guidelines:string;licensing_requirements:string;inspection_requirements:string;document_url:string;source_url:string,revision_date,document_URL;source_URL,IS_number,,scheme,,raw_material_requirements;process_requirements;testing_requirements,51a5031f6655a11c4bbd370386652376dbb2e3ac3f7d51d4086b2a2e66deb201,b37fdd33b5c1f766648368a03cad5c24a22c153a0aa8a8490e19dc9f8870bb6f,,,sheet fully analysed
