canonical_entity,canonical_entity_id,source_sheet,source_row,source_amendment_ids,canonical_is_number,amended_from_version,amendment_reference,amendment_date,amended_to_version,effective_date,superseded_document,superseding_document,amendment_status,source_url,document_url
STANDARD,STD-00807,BIS_Standards_Amendments,2,AM-17631-00,STD-17631,IS 17631:2022,No separately verified amendment,—,IS 17631:2022,NONE,—,—,ACTIVE,BIS Standards/Product Manual,BIS Product Manual repository
STANDARD,STD-00808,BIS_Standards_Amendments,3,AM-17632-00,STD-17632,IS 17632:2022,No separately verified amendment,—,IS 17632:2022,NONE,—,—,ACTIVE,BIS Standards/Product Manual,BIS Product Manual repository
STANDARD,STD-00809,BIS_Standards_Amendments,4,AM-17633-01,STD-17633,IS 17633:2022,Amendment No. 1,2026-01,IS 17633:2022 + Amendment 1,2026-01-09,IS 17633:2022 without amendment,IS 17633:2022 Amendment 1,OTHER,BIS implementation circular,BIS Circular — Amendment 1
STANDARD,STD-00810,BIS_Standards_Amendments,5,AM-17634-00,STD-17634,IS 17634:2022,No separately verified amendment,—,IS 17634:2022,NONE,—,—,ACTIVE,BIS Product Manual repository,BIS Product Manuals
STANDARD,STD-00811,BIS_Standards_Amendments,6,AM-17635-00,STD-17635,IS 17635:2022,No separately verified amendment,—,IS 17635:2022,NONE,—,—,ACTIVE,BIS Product Manual repository,BIS Product Manuals
STANDARD,STD-00812,BIS_Standards_Amendments,7,AM-17636-00,STD-17636,IS 17636:2022,No separately verified amendment,—,IS 17636:2022,NONE,—,—,ACTIVE,BIS Product Manual repository,BIS Product Manuals
STANDARD,STD-00982,BIS_Standards_Amendments,8,AM-2347-R,STD-2347,IS 2347:2017,Revision,2023,IS 2347:2023,NONE,IS 2347:2017,IS 2347:2023,ACTIVE,BIS Standards record,BIS Standard Details — IS 2347:2023
STANDARD,STD-00982,BIS_Standards_Amendments,9,AM-2347-01,STD-2347,IS 2347:2023,Amendment No. 1,2024,IS 2347:2023 + Amendment 1,NONE,IS 2347:2023,Amendment 1,ACTIVE,BIS Standards record,BIS amendment document
STANDARD,STD-00982,BIS_Standards_Amendments,10,AM-2347-02,STD-2347,IS 2347:2023,Amendment No. 2,2025-05,IS 2347:2023 + Amendment 2,NONE,Previous IS 2347:2023 text,Amendment 2,ACTIVE,BIS amendment PDF,BIS Amendment No.2 May 2025
STANDARD,STD-00194,BIS_Standards_Amendments,11,AM-12330-R,STD-12330,IS 12330:1988,Historical edition,—,IS 12330:1988,NONE,—,—,ACTIVE,BIS Product Manual,BIS Product Manual
