canonical_entity,canonical_entity_id,source_sheet,source_row,source_standard_ids,canonical_is_number,title,standard_year,part_section_label,revision,version,publication_date,revision_date,reaffirmation_review_date,standard_status,superseded_standard,superseding_standard,technical_committee,subcommittee,product_category,degree_of_equivalence,official_url,document_url
STANDARD,STD-00807,BIS Standards,2,IS-17631-2022,STD-17631,WORK CHAIRS - SPECIFICATION,2022,N/A,Rev 00,2022,2022-03-15,N/A,NONE,ACTIVE,None (New Standard),None,CED 35 (Furniture),CED 35:2,Office Seating/Work Chairs,Modified / Derived (ISO 21015 / EN 1335),https://standards.bis.gov.in/website,https://standards.bis.gov.in/website
STANDARD,STD-00808,BIS Standards,3,IS-17632-2022,STD-17632,GENERAL PURPOSE CHAIRS AND STOOLS - SPECIFICATION,2022,N/A,Rev 00,2022,2022-03-15,N/A,NONE,ACTIVE,None (Consolidated),None,CED 35 (Furniture),CED 35:2,Seating Furniture/Chairs & Stools,Modified (ISO 7173 / EN 16139),https://standards.bis.gov.in/website,https://standards.bis.gov.in/website
STANDARD,STD-00809,BIS Standards,4,IS-17633-2022,STD-17633,TABLES AND DESKS - SPECIFICATION,2022,N/A,Rev 00,2022,2022-03-15,N/A,NONE,ACTIVE,None (Consolidated),None,CED 35 (Furniture),CED 35:3,"Workstations, Tables & Desks",Modified (ISO 21016 / EN 527),https://standards.bis.gov.in/website,https://standards.bis.gov.in/website
STANDARD,STD-00810,BIS Standards,5,IS-17634-2022,STD-17634,STORAGE UNITS - SPECIFICATION,2022,N/A,Rev 00,2022,2022-03-15,N/A,NONE,ACTIVE,None (Consolidated),None,CED 35 (Furniture),CED 35:4,"Storage Furniture (Cabinets, Pedestals, Lockers)",Modified (ISO 7170 / EN 16121),https://standards.bis.gov.in/website,https://standards.bis.gov.in/website
STANDARD,STD-00811,BIS Standards,6,IS-17635-2022,STD-17635,BEDS - SPECIFICATION,2022,N/A,Rev 00,2022,2022-03-15,N/A,NONE,ACTIVE,None (Consolidated),None,CED 35 (Furniture),CED 35:5,Beds & Domestic Furniture,Modified (ISO / EN 1725),https://standards.bis.gov.in/website,https://standards.bis.gov.in/website
STANDARD,STD-00812,BIS Standards,7,IS-17636-2022,STD-17636,BUNK BEDS - SPECIFICATION,2022,N/A,Rev 00,2022,2022-03-15,N/A,NONE,ACTIVE,None,None,CED 35 (Furniture),CED 35:5,High & Bunk Beds,Modified (ISO 9098 / EN 747),https://standards.bis.gov.in/website,https://standards.bis.gov.in/website
STANDARD,STD-00982,BIS Standards,8,IS-2347-2023,STD-2347,DOMESTIC PRESSURE COOKER - SPECIFICATION (Seventh Revision),2023,N/A,Rev 07,2023,2023-08-10,2023-08-10,2025-11-01,ACTIVE,IS 2347:2017,None,"MED 33 (Utensils, Cutlery and Domestic Hardware)",MED 33:1,Pressure Cookers/Domestic Hardware,Indigenous,https://standards.bis.gov.in/website,https://standards.bis.gov.in/website
STANDARD,STD-00194,BIS Standards,9,BIS-IS-12330-1988,STD-12330,Sulphate Resisting Portland Cement — Specification,1988,Single Standard,First Revision,v1.2 (Includes Amd 1–6),1988-06-15,2019-10-01,2024-03-15,ACTIVE,IS 12330:1987,N/A,CED 02 (Cement and Concrete Sectional Committee),CED 02:1 (Subcommittee for Special & Chemical-Resistant Cements),Cementitious & Marine Construction Materials,Indigenous / Modified (EN 197-1),Published Standards,Switch to old portal
STANDARD,STD-00214,BIS Standards,10,BIS-IS-12600-1989,STD-12600,Low Heat Portland Cement — Specification,1989,Single Standard,First Revision,v1.2 (Includes Amd 1–5),1989-11-20,2020-04-12,2024-03-15,ACTIVE,IS 12600:1988,N/A,CED 02 (Cement and Concrete Sectional Committee),CED 02:1 (Subcommittee for Mass Concrete & Hydraulic Cements),Mass Concrete & Hydraulic Engineering Cement,Indigenous / Modified (EN 197-1),Published Standards,Switch to old portal
STANDARD,STD-00444,BIS Standards,11,BIS-IS-1489-1-2015,STD-1489-P1,Portland Pozzolana Cement — Specification (Part 1: Fly Ash Based),2015,Part 1,Third Revision,v3.1 (Includes Amd 1–4),2015-05-18,2021-08-10,2025-07-20,ACTIVE,IS 1489 (Part 1):1991,N/A,CED 02 (Cement and Concrete Sectional Committee),CED 02:2 (Subcommittee for Pozzolanic & Blended Cements),Blended Hydraulic Cements,Indigenous,Published Standards,Switch to old portal
