canonical_entity,canonical_entity_id,source_sheet,source_row,source_qco_ids,qco_name,qco_number,qco_product_text,related_is_text,notification_number,notification_date,effective_date,ministry,department,mandatory_status,qco_schemes_text,qco_scope,qco_exclusions,qco_amendments,qco_extensions,qco_deferments,qco_corrigendas,qco_supersession,qco_status,official_document_url,source_url
QCO,QCO-00052,BIS_QCO-schema_2,2,QCO-FURNITURE-2025,"Furniture (Quality Control) Order, 2025",No. t stated,Work chairs,IS 17631:2022,S.O. 801(E),2025-02-13,2026-02-14,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),MANDATORY,Scheme-I,Work chairs,Goods/articles manufactured domestically for export; exemptions/transition provisions specified in QCO,S.O. 774(E) | 13-Feb-2026 | S.O. 777(E) | S.O. 1125(E) | 02-Mar-2026,"Transition Facilitation (Quality Control) Order, 2026, S.O. 3417(E), 25-Jun-2026",Transition provisions for covered enterprises,Not separately stated,Not separately stated,ACTIVE,Furniture QCO 2025,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,3,QCO-FURNITURE-2025,"Furniture (Quality Control) Order, 2025",No. t stated,General purpose chairs and stools,IS 17632:2022,S.O. 801(E),2025-02-13,2026-02-14,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,General purpose chairs and stools,Same QCO exclusions,S.O. 774(E) | S.O. 777(E) | S.O. 1125(E),"S.O. 3417(E), 25-Jun-2026",Transition provisions,Not separately stated,Not separately stated,ACTIVE,Furniture QCO 2025,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,4,QCO-FURNITURE-2025,"Furniture (Quality Control) Order, 2025",No. t stated,Tables and desks,IS 17633:2022,S.O. 801(E),2025-02-13,2026-02-14,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Tables and desks,Same QCO exclusions,S.O. 774(E) | S.O. 777(E) | S.O. 1125(E),"S.O. 3417(E), 25-Jun-2026",Transition provisions,Not separately stated,Not separately stated,ACTIVE,Furniture QCO 2025,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,5,QCO-FURNITURE-2025,"Furniture (Quality Control) Order, 2025",No. t stated,Storage units,IS 17634:2022,S.O. 801(E),2025-02-13,2026-02-14,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Storage units,Same QCO exclusions,S.O. 774(E) | S.O. 777(E) | S.O. 1125(E),"S.O. 3417(E), 25-Jun-2026",Transition provisions,Not separately stated,Not separately stated,ACTIVE,Furniture QCO 2025,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,6,QCO-FURNITURE-2025,"Furniture (Quality Control) Order, 2025",No. t stated,Beds,IS 17635:2022,S.O. 801(E),2025-02-13,2026-02-14,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Beds,Same QCO exclusions,S.O. 774(E) | S.O. 777(E) | S.O. 1125(E),"S.O. 3417(E), 25-Jun-2026",Transition provisions,Not separately stated,Not separately stated,ACTIVE,Furniture QCO 2025,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,7,QCO-FURNITURE-2025,"Furniture (Quality Control) Order, 2025",No. t stated,Bunk beds,IS 17636:2022,S.O. 801(E),2025-02-13,2026-02-14,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Bunk beds,Same QCO exclusions,S.O. 774(E) | S.O. 777(E) | S.O. 1125(E),"S.O. 3417(E), 25-Jun-2026",Transition provisions,Not separately stated,Not separately stated,ACTIVE,Furniture QCO 2025,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,8,QCO-PRESSURE-COOKER-2020,"Domestic Pressure Cooker (Quality Control) Order, 2020",No. t stated,Domestic pressure cooker,IS 2347:2023,S.O. 294(E),2020-01-21,2020-08-01,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Domestic pressure cookers conforming to applicable IS 2347,Export and order-specific exemptions,S.O. 2019(E) | 23-Jun-2020,Not separately stated,Not separately stated,Not separately stated,Latest standard provision applies; BIS Scheme-I page currently displays IS 2347:2017,ACTIVE,Pressure Cooker QCO,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,9,QCO-CEMENT-2003,"Cement (Quality Control) Order, 2003",No. t stated,Sulphate Resisting Portland Cement,IS 12330:1998,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Cement manufactured or sold in India; BIS currently places IS 12330 under Cement QCO,Order-specific exemptions,Latest amendments/version notifications as notified by BIS,Not separately stated,Not separately stated,Not separately stated,Current Cement QCO,ACTIVE,Cement QCO source,BIS Cement mandatory standards
QCO,QCO-00052,BIS_QCO-schema_2,10,QCO-CEMENT-2003,"Cement (Quality Control) Order, 2003",No. t stated,Low heat Portland Cement,IS 12600:1989,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Low heat Portland Cement,Order-specific exemptions,Latest amendments/version notifications,Not separately stated,Not separately stated,Not separately stated,Current Cement QCO,ACTIVE,Cement QCO source,BIS Cement mandatory standards
QCO,QCO-00052,BIS_QCO-schema_2,11,QCO-CEMENT-2003,"Cement (Quality Control) Order, 2003",No. t stated,Portland Pozzolana Cement — Part 1 Fly-ash based,IS 1489 (Part 1):2015,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,PPC Part 1 Fly-ash based,Order-specific exemptions,Latest amendments/version notifications,Not separately stated,Not separately stated,Not separately stated,Current Cement QCO,ACTIVE,Cement QCO source,BIS Cement mandatory standards
