canonical_entity,canonical_entity_id,source_sheet,source_row,source_qco_ids,qco_name,qco_number,qco_product_text,related_is_text,notification_number,notification_date,effective_date,ministry,department,mandatory_status,qco_schemes_text,qco_scope,qco_exclusions,qco_amendments,qco_extensions,qco_deferments,qco_corrigendas,qco_supersession,qco_status,official_document_url,source_url
QCO,QCO-00073,QCO_Master_Records,2,QCO-FURN-01,Furniture (Quality Control) Order,S.O. 5243(E),"Work chairs, general purpose chairs and stools, tables, desks, storage units, beds, and bunk beds",IS 17631:2022,S.O. 5243(E),NONE,2026-02-14,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I (ISI Mark),"Fully assembled, fabricated, and ready-to-assemble domestic/office furniture",R&D purpose imports up to 200 items/year,Furniture Amendment Order | 2025/2026,"MSEs extended to August 14, 2026",None,N/A,Expanded via amendments,ACTIVE,BIS,Bureau of Indian Standards
QCO,QCO-00072,QCO_Master_Records,3,QCO-STEEL-02,Steel and Steel Products (Quality Control) Order,S.O. 5134(E),Stainless steel seamless and welded pipes and tubes,IS 17875:2022,S.O. 5134(E),2025-11-20,NONE,Ministry of Steel,Ministry of Steel,MANDATORY,Scheme-I (ISI Mark),Stainless steel pipes and tubes for fluid transmission and engineering,Re-export purposes under self-declaration,Steel Amendment Order | 2025,Incremental extensions,None,Periodic,Supersedes legacy steel orders,ACTIVE,BIS,Bureau of Indian Standards
QCO,QCO-00067,QCO_Master_Records,4,QCO-CEM-03,Cement (Quality Control) Order,S.O. 191(E),Sulphate Resisting Portland Cement,IS 12330:1998,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I (ISI Mark),Construction and infrastructure hydraulic cements,Institutional export manufacturing under bond,Periodically updated,Standard implementation,None,Issued for standard years,Replaces older editions,ACTIVE,S.O. No. 191(E),Bureau of Indian Standards
QCO,QCO-00067,QCO_Master_Records,5,QCO-CEM-03,Cement (Quality Control) Order,S.O. 191(E),Low heat Portland Cement,IS 12600:1989,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I (ISI Mark),Construction and infrastructure hydraulic cements,Institutional export manufacturing under bond,Periodically updated,Standard implementation,None,Issued for standard years,Replaces older editions,ACTIVE,S.O. No. 191(E),Bureau of Indian Standards
QCO,QCO-00067,QCO_Master_Records,6,QCO-CEM-03,Cement (Quality Control) Order,S.O. 191(E),Portland Pozzolana Cement - Part 1 Fly-ash based,IS 1489 (Part 1):2015,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I (ISI Mark),Construction and infrastructure hydraulic cements,Institutional export manufacturing under bond,Periodically updated,Standard implementation,None,Issued for standard years,Replaces older editions,ACTIVE,S.O. No. 191(E),Bureau of Indian Standards
QCO,QCO-00067,QCO_Master_Records,7,QCO-CEM-03,Cement (Quality Control) Order,S.O. 191(E),Portland Pozzolana Cement - Part 2 Calcined clay based,IS 1489 (Part 2):2015,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I (ISI Mark),Construction and infrastructure hydraulic cements,Institutional export manufacturing under bond,Periodically updated,Standard implementation,None,Issued for standard years,Replaces older editions,ACTIVE,S.O. No. 191(E),Bureau of Indian Standards
QCO,QCO-00067,QCO_Master_Records,8,QCO-CEM-03,Cement (Quality Control) Order,S.O. 191(E),Ordinary Portland Cement,IS 269:2015,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I (ISI Mark),Construction and infrastructure hydraulic cements,Institutional export manufacturing under bond,Periodically updated,Standard implementation,None,Issued for standard years,Replaces older editions,ACTIVE,S.O. No. 191(E),Bureau of Indian Standards
QCO,QCO-00067,QCO_Master_Records,9,QCO-CEM-03,Cement (Quality Control) Order,S.O. 191(E),Portland Slag Cement,IS 455:2015,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I (ISI Mark),Construction and infrastructure hydraulic cements,Institutional export manufacturing under bond,Periodically updated,Standard implementation,None,Issued for standard years,Replaces older editions,ACTIVE,S.O. No. 191(E),Bureau of Indian Standards
QCO,QCO-00067,QCO_Master_Records,10,QCO-CEM-03,Cement (Quality Control) Order,S.O. 191(E),Rapid hardening Portland cement,IS 8041:1990,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I (ISI Mark),Construction and infrastructure hydraulic cements,Institutional export manufacturing under bond,Periodically updated,Standard implementation,None,Issued for standard years,Replaces older editions,ACTIVE,S.O. No. 191(E),Bureau of Indian Standards
QCO,QCO-00067,QCO_Master_Records,11,QCO-CEM-03,Cement (Quality Control) Order,S.O. 191(E),White Portland Cement,IS 8042:2015,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I (ISI Mark),Construction and infrastructure hydraulic cements,Institutional export manufacturing under bond,Periodically updated,Standard implementation,None,Issued for standard years,Replaces older editions,ACTIVE,S.O. No. 191(E),Bureau of Indian Standards
QCO,QCO-00067,QCO_Master_Records,12,QCO-CEM-03,Cement (Quality Control) Order,S.O. 191(E),Hydrophobic Portland Cement,IS 8043:1991,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I (ISI Mark),Construction and infrastructure hydraulic cements,Institutional export manufacturing under bond,Periodically updated,Standard implementation,None,Issued for standard years,Replaces older editions,ACTIVE,S.O. No. 191(E),Bureau of Indian Standards
QCO,QCO-00067,QCO_Master_Records,13,QCO-CEM-03,Cement (Quality Control) Order,S.O. 191(E),Composite Cement,IS 16415:2015,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I (ISI Mark),Construction and infrastructure hydraulic cements,Institutional export manufacturing under bond,Periodically updated,Standard implementation,None,Issued for standard years,Replaces older editions,ACTIVE,S.O. No. 191(E),Bureau of Indian Standards
