canonical_entity,canonical_entity_id,source_sheet,source_row,qco_product_standard_composite,qco_name,qco_number_date_composite,ministry,qco_status,qco_scope_exclusions_amendments_composite,source_url
QCO,QCO-00045,QCO_Summary,2,"['IS 17631', 'IS 17636']","Furniture (Quality Control) Order, 2025",Notified,Ministry of Commerce & Industry (DPIIT),OTHER,Covers domestic/office furniture; Staggered MSME enforcement dates.,BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00014,QCO_Summary,3,['IS 2347'],"Domestic Pressure Cooker (Quality Control) Order, 2020",S.O. 294(E),Ministry of Commerce & Industry (DPIIT),OTHER,Household cookers (1L to 22L capacity).,BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00009,QCO_Summary,4,['IS 12330'],"Cement (Quality Control) Order, 2003",S.O. 191(E),Ministry of Commerce & Industry (DPIIT),OTHER,"Covers all varieties of cement manufactured, imported, or sold in India. No general retail exclusions.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00009,QCO_Summary,5,['IS 12600'],"Cement (Quality Control) Order, 2003",S.O. 191(E),Ministry of Commerce & Industry (DPIIT),OTHER,"Covers all varieties of cement manufactured, imported, or sold in India. No general retail exclusions.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00009,QCO_Summary,6,['IS 1489 (Part 1)'],"Cement (Quality Control) Order, 2003",S.O. 191(E),Ministry of Commerce & Industry (DPIIT),OTHER,"Covers all varieties of cement manufactured, imported, or sold in India. No general retail exclusions.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00009,QCO_Summary,7,['IS 1489 (Part 2)'],"Cement (Quality Control) Order, 2003",S.O. 191(E),Ministry of Commerce & Industry (DPIIT),OTHER,"Covers all varieties of cement manufactured, imported, or sold in India. No general retail exclusions.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00009,QCO_Summary,8,['IS 269'],"Cement (Quality Control) Order, 2003",S.O. 191(E),Ministry of Commerce & Industry (DPIIT),OTHER,"Covers all varieties of cement manufactured, imported, or sold in India. No general retail exclusions.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00009,QCO_Summary,9,['IS 455'],"Cement (Quality Control) Order, 2003",S.O. 191(E),Ministry of Commerce & Industry (DPIIT),OTHER,"Covers all varieties of cement manufactured, imported, or sold in India. No general retail exclusions.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00009,QCO_Summary,10,['IS 8041'],"Cement (Quality Control) Order, 2003",S.O. 191(E),Ministry of Commerce & Industry (DPIIT),OTHER,"Covers all varieties of cement manufactured, imported, or sold in India. No general retail exclusions.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00009,QCO_Summary,11,['IS 8042'],"Cement (Quality Control) Order, 2003",S.O. 191(E),Ministry of Commerce & Industry (DPIIT),OTHER,"Covers all varieties of cement manufactured, imported, or sold in India. No general retail exclusions.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00009,QCO_Summary,12,['IS 8043'],"Cement (Quality Control) Order, 2003",S.O. 191(E),Ministry of Commerce & Industry (DPIIT),OTHER,"Covers all varieties of cement manufactured, imported, or sold in India. No general retail exclusions.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00009,QCO_Summary,13,['IS 16415'],"Cement (Quality Control) Order, 2003",S.O. 191(E),Ministry of Commerce & Industry (DPIIT),OTHER,"Covers all varieties of cement manufactured, imported, or sold in India. No general retail exclusions.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00091,QCO_Summary,14,['IS 9873 (Part 1)'],"Toys (Quality Control) Order, 2020",S.O. 853(E),Ministry of Commerce & Industry (DPIIT),OTHER,Toys for children under 14 years.,BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00091,QCO_Summary,15,['IS 9873 (Part 2)'],"Toys (Quality Control) Order, 2020",S.O. 853(E),Ministry of Commerce & Industry (DPIIT),OTHER,Toys for children under 14 years.,BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00091,QCO_Summary,16,['IS 9873 (Part 3)'],"Toys (Quality Control) Order, 2020",S.O. 853(E),Ministry of Commerce & Industry (DPIIT),OTHER,Toys for children under 14 years.,BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00091,QCO_Summary,17,['IS 9873 (Part 4)'],"Toys (Quality Control) Order, 2020",S.O. 853(E),Ministry of Commerce & Industry (DPIIT),OTHER,Toys for children under 14 years.,BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00091,QCO_Summary,18,['IS 15644'],"Toys (Quality Control) Order, 2020",S.O. 853(E),Ministry of Commerce & Industry (DPIIT),OTHER,Battery-powered and electric toys.,BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00031,QCO_Summary,19,['IS 2835'],"Flat Transparent Sheet Glass (Quality Control) Order, 2021",S.O. 4144(E),Ministry of Commerce & Industry (DPIIT),OTHER,Architectural and industrial sheet glass.,BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00079,QCO_Summary,20,['IS 2553 (Part 1)'],"Safety Glass (Quality Control) Order, 2020",S.O. 1045(E),Ministry of Commerce & Industry (DPIIT),OTHER,Laminated/toughened glass for buildings and automotive windscreens.,BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00079,QCO_Summary,21,['IS 2553 (Part 2)'],"Safety Glass (Quality Control) Order, 2020",S.O. 1045(E),Ministry of Commerce & Industry (DPIIT),OTHER,Laminated/toughened glass for buildings and automotive windscreens.,BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00062,QCO_Summary,22,['IS 9573 (Part 1)'],"Rubber Hose for LPG (Quality Control) Order, 2020",S.O. 478(E),Ministry of Petroleum & Natural Gas/DPIIT,OTHER,Hoses used in domestic LPG cylinder connections and industrial fuel-gas transmission systems.,BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00062,QCO_Summary,23,['IS 9573 (Part 2)'],"Rubber Hose for LPG (Quality Control) Order, 2020",S.O. 478(E),Ministry of Petroleum & Natural Gas/DPIIT,OTHER,Hoses used in domestic LPG cylinder connections and industrial fuel-gas transmission systems.,BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00006,QCO_Summary,24,['IS 15392'],"Aluminium Foil (Quality Control) Order, 2020",S.O. 687(E),Ministry of Commerce & Industry (DPIIT),OTHER,Bare foil intended for direct contact food packaging.,BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00085,QCO_Summary,25,['IS 17875'],Stainless Steel Pipes and Tubes (Quality Control) Order,Notified Draft / Final Order,Ministry of Steel/DPIIT,OTHER,"Seamless and welded stainless tubes for general, fluid, and pressure services.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00085,QCO_Summary,26,['IS 17876'],Stainless Steel Pipes and Tubes (Quality Control) Order,Notified Draft / Final Order,Ministry of Steel/DPIIT,OTHER,"Seamless and welded stainless tubes for general, fluid, and pressure services.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00025,QCO_Summary,27,['IS 2083'],"Flashlights (Quality Control) Order, 2024–2025",Ministry Notification,Ministry of Electronics & IT/DPIIT,OTHER,Handheld battery and rechargeable LED torches.,BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00020,QCO_Summary,28,['IS 302 (Part 1)'],Electrical Appliances (Quality Control) Orders,S.O. 189(E),Ministry of Heavy Industries/DPIIT,OTHER,General electrical and insulation safety requirements across domestic appliances.,BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00033,QCO_Summary,29,['IS 15844 (Part 1)'],"Footwear Made from Leather & Other Materials (QCO), 2024",S.O. 1421(E),Ministry of Commerce & Industry (DPIIT),OTHER,"All casual, training, and athletic sports shoes.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00033,QCO_Summary,30,['IS 15844 (Part 2)'],"Footwear Made from Leather & Other Materials (QCO), 2024",S.O. 1421(E),Ministry of Commerce & Industry (DPIIT),OTHER,"All casual, training, and athletic sports shoes.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00033,QCO_Summary,31,['IS 15844 (Part 3)'],"Footwear Made from Leather & Other Materials (QCO), 2024",S.O. 1421(E),Ministry of Commerce & Industry (DPIIT),OTHER,"All casual, training, and athletic sports shoes.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00033,QCO_Summary,32,['IS 17012'],"Footwear Made from Leather & Other Materials (QCO), 2024",S.O. 1421(E),Ministry of Commerce & Industry (DPIIT),OTHER,"Footwear manufactured for defence, police, institutional, and general uniform use.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00033,QCO_Summary,33,['IS 17037'],"Footwear Made from Leather & Other Materials (QCO), 2024",S.O. 1421(E),Ministry of Commerce & Industry (DPIIT),OTHER,"Footwear manufactured for defence, police, institutional, and general uniform use.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00033,QCO_Summary,34,['IS 17043 (Part 1)'],"Footwear Made from Leather & Other Materials (QCO), 2024",S.O. 1421(E),Ministry of Commerce & Industry (DPIIT),OTHER,"Footwear manufactured for defence, police, institutional, and general uniform use.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00033,QCO_Summary,35,['IS 17043 (Part 2)'],"Footwear Made from Leather & Other Materials (QCO), 2024",S.O. 1421(E),Ministry of Commerce & Industry (DPIIT),OTHER,"Footwear manufactured for defence, police, institutional, and general uniform use.",BIS Compulsory Certification Scheme-I Portal
QCO,QCO-00057,QCO_Summary,36,['IS 15298 (Part 2)'],"Personal Protective Equipment – Footwear (QCO), 2020",S.O. 3857(E),Ministry of Commerce & Industry (DPIIT),OTHER,Industrial safety shoes with toe protection (impact/compression resistance).,BIS Compulsory Certification Scheme-I Portal
