canonical_entity,canonical_entity_id,source_sheet,source_row,source_scheme_record_ids,source_scheme_ids,scheme_label,source_row_label,raw_is_number_variants,canonical_is_number,display_is_number,standard_year,title,product_name,specific_requirement,ministry,notification_number,document_url,mandatory_voluntary,certification_type,source_record_id,source_url,retrieved_at,scraper_engine,extraction_method,record_status,missing_reason
STANDARD,STD-01750,,2,SCHX-0001,scheme_x,Scheme - X (Certification),1.1 (a),IS/IEC 60947: Part 2:2016,STD-IEC-60947-P2,STD-IEC-60947-P2,2016,Low - Voltage Switchgear and Controlgear: Part 2 circuit - Breakers (First Revision),"AC Circuit - Breakers (Category A)- All ratings upto 630 A, upto 440V AC",All test as per IS/IEC 60947 : Part 2 : 2016 except the test listed below in Sr. No. 1.1.(b) of this table.,Ministry of Heavy Industries,"Electrical Equipment (Quality Control) Order, 2020 - S.O. 4044(E), dated 11 No. vember 2020",https://www.bis.gov.in/wp-content/uploads/2025/05/Electrical-Equipment-Quality-Control-2020-1.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01750,,3,SCHX-0002,scheme_x,Scheme - X (Certification),1.1(b),IS/IEC 60947: Part 2:2016,STD-IEC-60947-P2,STD-IEC-60947-P2,2016,Low - Voltage Switchgear and Controlgear: Part 2 circuit - Breakers (First Revision),"AC Circuit - Breakers (Category - A)- All ratings above 630A , upto 440V AC",Electromagnetic compatibility(EMC) mentioned in Annex J and All test specified for specific application as mentioned in the Annexure(s) of the IS/IEC 60947 : Part 2:2016,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01750,,4,SCHX-0003,scheme_x,Scheme - X (Certification),1.2.(a),IS/IEC 60947: Part 2:2016,STD-IEC-60947-P2,STD-IEC-60947-P2,2016,Low - Voltage Switchgear and Controlgear: Part 2 circuit - Breakers (First Revision),"AC Circuit - Breakers (Category - A)- All ratings above 630A , upto 440V AC",All test as per IS/IEC 60947 : Part 2 : 2016 except the test listed below in Sr. No. 1.2. (b) of this table,Ministry of Heavy Industries,"Electrical Equipment (Quality Control) Second Amendment Order, 2024 - S.O. 2007(E), dated 5 May 2025",https://www.bis.gov.in/wp-content/uploads/2025/05/Extension-of-implementation-timeline-under-the-Electrical-Equipment-Quality-Control-2.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01750,,5,SCHX-0004,scheme_x,Scheme - X (Certification),1.2.(b),IS/IEC 60947: Part 2:2016,STD-IEC-60947-P2,STD-IEC-60947-P2,2016,Low - Voltage Switchgear and Controlgear: Part 2 circuit - Breakers (First Revision),"AC Circuit - Breakers (Category - A)- All ratings above 630A , upto 440V AC",Electromagnetic compatibility (EMC) mentioned in Annex J and All test specified for specific application as mentioned in the Annexure(s) of the IS/IEC 60947 : Part 2 : 2016,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01750,,6,SCHX-0005,scheme_x,Scheme - X (Certification),1.3.(a),IS/IEC 60947: Part 2:2016,STD-IEC-60947-P2,STD-IEC-60947-P2,2016,Low - Voltage Switchgear and Controlgear: Part 2 circuit - Breakers (First Revision),"AC Circuit Breakers (Category -B)- All ratings upto 2000 A, upto 440V AC",All test as per IS/IEC 60947 : Part 2 : 2016 except the test listed below in Sr. No. 1.3.(b) of this table,Ministry of Heavy Industries,"Electrical Equipment (Quality Control) Second Amendment Order, 2024 - S.O. 2007(E), dated 5 May 2025",https://www.bis.gov.in/wp-content/uploads/2025/05/Extension-of-implementation-timeline-under-the-Electrical-Equipment-Quality-Control-2.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01750,,7,SCHX-0006,scheme_x,Scheme - X (Certification),1.3.(b),IS/IEC 60947: Part 2:2016,STD-IEC-60947-P2,STD-IEC-60947-P2,2016,Low - Voltage Switchgear and Controlgear: Part 2 circuit - Breakers (First Revision),"AC Circuit - Breakers (Category B)- All rating upto 2000 A, upto 440V AC",Electromagnetic compatibility (EMC) mentioned in Annex J and All test specified for specific application as mentioned in the Annexure(s) of the IS/IEC 60947 : Part 2 : 2016,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01750,,8,SCHX-0007,scheme_x,Scheme - X (Certification),1.4,IS/IEC 60947: Part 2:2016,STD-IEC-60947-P2,STD-IEC-60947-P2,2016,Low - Voltage Switchgear and Controlgear: Part 2 circuit - Breakers (First Revision),AC Circuit - Breakers (Category A) - All rating above 440V AC,All test as per IS/IEC 60947 : Part 2 : 2016,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01750,,9,SCHX-0008,scheme_x,Scheme - X (Certification),1.5,IS/IEC 60947: Part 2:2016,STD-IEC-60947-P2,STD-IEC-60947-P2,2016,Low - Voltage Switchgear and Controlgear: Part 2 circuit - Breakers (First Revision),"AC Circuit - Breakers (Category B)- rating above 2000 A, upto 440V AC",All test as per IS/IEC 60947 : Part 2 : 2016.,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01750,,10,SCHX-0009,scheme_x,Scheme - X (Certification),1.6,IS/IEC 60947: Part 2:2016,STD-IEC-60947-P2,STD-IEC-60947-P2,2016,Low - Voltage Switchgear and Controlgear: Part 2 circuit - Breakers (First Revision),AC Circuit - Breakers (Category B)- All rating above 440V AC,All test as per IS/IEC 60947 : Part 2 : 2016.,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01750,,11,SCHX-0010,scheme_x,Scheme - X (Certification),1.7,IS/IEC 60947: Part 2:2016,STD-IEC-60947-P2,STD-IEC-60947-P2,2016,Low - Voltage Switchgear and Controlgear: Part 2 circuit - Breakers (First Revision),DC Circuit - Breaker (Category A) - All rating,All test as per IS/IEC 60947 : Part 2 : 2016.,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
