canonical_entity,canonical_entity_id,source_sheet,source_row,source_lab_ids,lab_code,lab_name,address,city,state,district,contact_person,contact_number,email,recognition_status,validity,scope_url,source_url
LABORATORY,LAB-00010,BIS_Recognized_Labs,2,LAB-9139736,9139736,Sleen India Biz venture Private Limited,"Agra, Uttar Pradesh",Agra,Uttar Pradesh,Agra,Not displayed in IS result,Not displayed,Not displayed,RECOGNIZED,Current LIMS validity,BIS LIMS Scope,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17636
LABORATORY,LAB-00008,BIS_Recognized_Labs,3,LAB-8185906,8185906,VERTEX TESTING LABORATORY PRIVATE LIMITED,"Ghaziabad, Uttar Pradesh",Ghaziabad,Uttar Pradesh,Ghaziabad,Not displayed in IS result,Not displayed,Not displayed,RECOGNIZED,23-May-2028,BIS LIMS Scope,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17636
LABORATORY,LAB-00012,BIS_Recognized_Labs,4,LAB-9164606,9164606,JBS TESTING SOLUTIONS PVT LTD,"Jalandhar, Punjab",Jalandhar,Punjab,Jalandhar,Not displayed in IS result,Not displayed,Not displayed,RECOGNIZED,10-Feb-2028,BIS LIMS Scope,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17636
LABORATORY,LAB-00011,BIS_Recognized_Labs,5,LAB-9162826,9162826,Ace Test Labs & Metrology Pvt. Ltd,"Sonipat, Haryana",Sonipat,Haryana,Sonipat,Not displayed in IS result,Not displayed,Not displayed,RECOGNIZED,19-Jul-2027,BIS LIMS Scope,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17636
LABORATORY,LAB-00013,BIS_Recognized_Labs,6,LAB-9168306,9168306,Bharat Test House Pvt. Ltd,"Sonipat, Haryana",Sonipat,Haryana,Sonipat,Not displayed in IS result,Not displayed,Not displayed,RECOGNIZED,08-May-2028,BIS LIMS Scope,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17636
LABORATORY,LAB-00002,BIS_Recognized_Labs,7,LAB-6126126,6126126,TUV Rheinland (India) Pvt. Ltd,"Bengaluru, Karnataka",Bengaluru,Karnataka,Bengaluru,Not displayed in IS result,Not displayed,Not displayed,RECOGNIZED,Current LIMS validity,BIS LIMS Scope,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17636
LABORATORY,LAB-00005,BIS_Recognized_Labs,8,LAB-8134206,8134206,Atharva Laboratories Pvt. Ltd,"Noida, Uttar Pradesh",Noida,Uttar Pradesh,Gautam Buddha Nagar,Not displayed in IS result,Not displayed,Not displayed,RECOGNIZED,Current LIMS validity,BIS LIMS Scope,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17636
LABORATORY,LAB-00004,BIS_Recognized_Labs,9,LAB-7107604,7107604,National Test House (WR) - NTH,"Mumbai, Maharashtra",Mumbai,Maharashtra,Mumbai,Not displayed in IS result,Not displayed,Not displayed,RECOGNIZED,Current LIMS validity,BIS LIMS Scope,BIS LIMS
LABORATORY,LAB-00009,BIS_Recognized_Labs,10,LAB-9102335,9102335,National Council for Cement and Building Materials (Testing Laboratories),"Faridabad, Haryana",Faridabad,Haryana,Faridabad,Not displayed in IS result,Not displayed,ncbcrt2@gmail.com,RECOGNIZED,15-May-2027,BIS LIMS Scope,BIS LIMS
LABORATORY,LAB-00007,BIS_Recognized_Labs,11,LAB-8176106,8176106,Atmy Analytical Labs Private Limited (Unit-2),"Greater Noida, Uttar Pradesh",Greater Noida,Uttar Pradesh,Gautam Buddha Nagar,Not displayed in IS result,Not displayed,Not displayed,RECOGNIZED,Current LIMS validity,BIS LIMS Scope,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=2347
LABORATORY,LAB-00003,BIS_Recognized_Labs,12,LAB-6189206,6189206,Scientific and Industrial Testing and Research Centre (SITARC),"Bengaluru, Karnataka",Bengaluru,Karnataka,Bengaluru,Not displayed in IS result,Not displayed,Not displayed,RECOGNIZED,23-May-2028,BIS LIMS Scope,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=2347
LABORATORY,LAB-00006,BIS_Recognized_Labs,13,LAB-8170106,8170106,Standard Testing Laboratory Private Limited,India,—,—,—,Not displayed in IS result,Not displayed,Not displayed,RECOGNIZED,15-Aug-2028,BIS LIMS Scope,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=2347
LABORATORY,LAB-00086,BIS_Recognized_Labs,14,LAB-BIS-GBL,—,"BIS, Guwahati Branch Laboratory (GBL)","Guwahati, Assam",Guwahati,Assam,Kamrup Metropolitan,BIS,Not displayed,Not displayed,OTHER,Current LIMS validity,BIS LIMS Scope,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=12600
LABORATORY,LAB-00085,BIS_Recognized_Labs,15,LAB-BIS-ERL,—,"BIS, Eastern Regional Laboratory (ERL)",India,—,—,—,BIS,Not displayed,Not displayed,OTHER,Current LIMS validity,BIS LIMS Scope,BIS LIMS
LABORATORY,LAB-00001,BIS_Recognized_Labs,16,LAB-NCCBM-HYD6114835,6114835,"National Council for Cement and Building Materials, Hyderabad","NCB Bhavan, Old Bombay Road, Near Raidarga Police Station, Gachibowli, Hyderabad - 500104",Hyderabad,Telangana,Ranga Reddy,—,9650466288,ncbhcrt@rediffmail.com,RECOGNIZED,Current LIMS validity,BIS LIMS Scope,https://lims.bis.gov.in/home_lab_scope/105/
