canonical_entity,canonical_entity_id,source_sheet,source_row,source_notification_ids,notification_number,title,notification_category,notification_date,effective_date,ministry,department,subject,related_qco_text,related_is_text,related_amendment_text,document_url,source_url
NOTIFICATION,NOTIF-00470,BIS_Notifications_Master,2,NOTIF-FURN-001,S.O. 801(E),"Furniture (Quality Control) Order, 2025",Original QCO,2025-02-13,NONE,Ministry of Commerce and Industry,DPIIT,Mandatory Standard Mark for furniture,Furniture QCO 2025,IS 17631,—,https://bis.gov.in/wp-content/uploads/2025/02/Furniture-QCO-17-02-2025.pdf,BIS Scheme-I
NOTIFICATION,NOTIF-00466,BIS_Notifications_Master,3,NOTIF-FURN-002,S.O. 774(E),Furniture QCO amendment,Amendment,2026-02-13,NONE,Ministry of Commerce and Industry,DPIIT,Modification of Furniture QCO provisions,Furniture QCO 2025,IS 17631,Furniture QCO amendment,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00469,BIS_Notifications_Master,4,NOTIF-FURN-003,S.O. 777(E),Furniture QCO amendment,Amendment,2026-02-13,NONE,Ministry of Commerce and Industry,DPIIT,Modification of implementation provisions,Furniture QCO 2025,IS 17631,Furniture QCO amendment,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00437,BIS_Notifications_Master,5,NOTIF-FURN-004,S.O. 1125(E),Furniture QCO amendment,Amendment,2026-03-02,NONE,Ministry of Commerce and Industry,DPIIT,Further QCO modification,Furniture QCO 2025,IS 17631,Furniture QCO amendment,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00451,BIS_Notifications_Master,6,NOTIF-FURN-005,S.O. 3417(E),"Transition Facilitation (Quality Control) Order, 2026",Transition,2026-06-25,NONE,Ministry of Commerce and Industry,DPIIT,Transition facilitation,Furniture QCO 2025,IS 17631,Transition,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00450,BIS_Notifications_Master,7,NOTIF-PC-001,S.O. 294(E),"Domestic Pressure Cooker (Quality Control) Order, 2020",Original QCO,2020-01-21,2020-08-01,Ministry of Commerce and Industry,DPIIT,Compulsory Standard Mark,Domestic Pressure Cooker QCO 2020,IS 2347,—,https://www.bis.gov.in/wp-content/uploads/2020/01/Pressure_cooker_QCO.pdf,BIS Scheme-I
NOTIFICATION,NOTIF-00444,BIS_Notifications_Master,8,NOTIF-PC-002,S.O. 2019(E),"Domestic Pressure Cooker QCO Amendment Order, 2020",Amendment,2020-06-23,NONE,Ministry of Commerce and Industry,DPIIT,Amendment to pressure-cooker QCO,Domestic Pressure Cooker QCO 2020,IS 2347,QCO amendment,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00442,BIS_Notifications_Master,9,NOTIF-CEM-001,S.O. 191(E),"Cement (Quality Control) Order, 2003",Original QCO,2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,Mandatory certification of specified cement varieties,Cement QCO 2003,IS 12330 | IS 12600 | IS 1489 | IS 269 | IS 455 | IS 8041 | IS 8042 | IS 8043 | IS 16415,—,BIS QCO,BIS Scheme-I
NOTIFICATION,NOTIF-00471,BIS_Notifications_Master,10,NOTIF-TOY-001,S.O. 853(E),"Toys (Quality Control) Order, 2020",Original QCO,2020-02-25,2020-09-01,Ministry of Commerce and Industry,DPIIT,Mandatory certification of toys,Toys QCO 2020,IS 9873 | IS 15644,—,https://www.bis.gov.in/wp-content/uploads/2020/03/Toy_QC_order.pdf,BIS Scheme-I
NOTIFICATION,NOTIF-00458,BIS_Notifications_Master,11,NOTIF-TOY-004,S.O. 4277(E),"Toys (Quality Control) Amendment Order, 2024",Amendment,2024-10-01,NONE,Ministry of Commerce and Industry,DPIIT,Latest toy-QCO amendment,Toys QCO 2020,IS 9873 | IS 15644,2024 amendment,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00451,BIS_Notifications_Master,12,NOTIF-TOY-005,S.O. 3417(E),"Transition Facilitation (Quality Control) Order, 2026",Transition,2026-06-25,NONE,Ministry of Commerce and Industry,DPIIT,Transition facilitation,Toys QCO,IS 9873 | IS 15644,Transition,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00465,BIS_Notifications_Master,13,NOTIF-GLASS-001,S.O. 738(E),"Flat Transparent Sheet Glass (Quality Control) Order, 2020",Original QCO,2020-02-14,NONE,Ministry of Commerce and Industry,DPIIT,Mandatory certification,Flat Transparent Sheet Glass QCO 2020,IS 2835,—,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00457,BIS_Notifications_Master,14,NOTIF-GLASS-003,S.O. 4144(E),"Flat Transparent Sheet Glass (Quality Control) Order, 2021",Superseding QCO,2021-10-07,2022-04-01,Ministry of Commerce and Industry,DPIIT,New QCO superseding 2020 order,Flat Transparent Sheet Glass QCO 2021,IS 2835,Supersession,https://www.bis.gov.in/wp-content/uploads/2021/10/Flat-Transparent-Sheet-Glass-Quality-Control-Order-2021.pdf,BIS Scheme-I
