canonical_entity,canonical_entity_id,source_sheet,source_row,source_legal_ids,instrument_number,title,issuing_authority,release_date,effective_date,subject,related_is_text,implementation_instructions,document_url,source_url
LEGAL,LEGAL-00064,,2,CIRC-13 Aug 2026-2315429064724185965,,Guidance on product categories under Compulsory Registration Scheme (CRS),Bureau of Indian Standards (BIS),2026-08-13,,Guidance on product categories under Compulsory Registration Scheme (CRS),,"Applications for product Wearable Glasses such as Audio Glasses, Smart Glasses, AR Glasses and MR Glasses shall be applied under the appropriate product category, sub-category and product name as indicated below: Wearable Glasses S. Applications for product Extended Reality Products (Augmented Reality, Virtual Reality, Mixed Reality Etc.) shall be applied under the appropriate sub-category and product name as indicated below: Extended Reality Products (Augmented Reality, Virtual Reality, Mixed Reality Etc.) S. Separate licences shall be granted for each product name specified in the tables at Sl.",https://www.crsbis.in/BIS/app_srv/tdc/gl/docs/Guidance_on_product_categories_under_Compulsory_Registration_Scheme_(CRS).pdf,https://www.crsbis.in/BIS/wtsnew.do
LEGAL,LEGAL-00024,,3,CIRC-05 Aug 2026-7397787046034417519,,Extension in date of implementation of IS 16102 (Part 1)2026,Bureau of Indian Standards (BIS),2026-08-05,2027-02-02,Extension in date of implementation of IS 16102 (Part 1)2026,IS 16102 (Part 1),BUREAU OF INDIAN STANDARDS Registration Department Our Ref: IS 16102 (Part 1)/02 31 July 2026 Subject: Extension in date of implementation of IS 16102 (Part 1):2026 1. This has reference to the Guidelines for implementation of IS 16102 (Part 1):2026 issued vide our circular ref IS 16102 (Part 1) dated 24 February 2026. It has now been decided to extend the last date of implementation of IS 16102 (Part 1): 2026 till 02 February 2027.,https://www.crsbis.in/BIS/app_srv/tdc/gl/docs/Extension_in_date_of_implementation_of_IS_16102_(Part_1)_2026.pdf,https://www.crsbis.in/BIS/wtsnew.do
LEGAL,LEGAL-00026,,4,CIRC-05 Aug 2026-464797863225613663,,Extension in date of implementation of Revised Standards for LED Luminaires,Bureau of Indian Standards (BIS),2026-08-05,,Extension in date of implementation of Revised Standards for LED Luminaires,IS 10322 | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5,BUREAU OF INDIAN STANDARDS Registration Department Our Ref: Reg./ IS 10322 Series /Guidelines/02 31 July 2026 Subject: Extension in date of implementation of Revised Standards for LED Luminaires 1. This has reference to the guidelines for implementation of Revised Standards for LED Luminaire issued vide our circular ref Reg./ IS 10322 Series /Guidelines/01 dated 20 March 2026.,https://www.crsbis.in/BIS/app_srv/tdc/gl/docs/Extension_in_date_of_implementation_of_Revised_Standards_for_LED_Luminaires.pdf,https://www.crsbis.in/BIS/wtsnew.do
LEGAL,LEGAL-00032,,5,CIRC-05 Aug 2026-6910452611817638314,,Extension of date of implementation of IS 18112 Digital Television Receiver for Satellite Broadcast Transmission Specification,Bureau of Indian Standards (BIS),2026-08-05,2025-04-26,Extension of date of implementation of IS 18112 Digital Television Receiver for Satellite Broadcast Transmission Specification,IS 18112,"BUREAU OF INDIAN STANDARDS (Registration Department) Our Ref: Reg/ IS 18112/Guidelines/06 31.07.2026 Subject: Extension of date of implementation of IS 18112 ‘Digital Television Receiver for Satellite Broadcast Transmission Specification’. The Ministry of Electronics and Information Technology (MeitY), vide Order dated 26 April 2023, notified Digital Television Receiver for Satellite Broadcast Transmission conforming to IS 18112 for mandatory BIS certification under the Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021, with the date of implementation as 26 April 2025. The said date of implementation was subsequently extended by MeitY. The Guidelines for Implementation of IS 18112 ‘Digital Television Receiver for Satellite Broadcast Transmission Specification’ were issued vide our circular ref Reg/ IS 18112/Guidelines/04 dated 14 October 2025. MeitY has now further extended the date of implementation of IS 18112 to 26 January 2027. Reg/IS 18112/Guidelines/04 dated 14 October 2025, shall now be read with the date of implementation as 26 January 2027. All other provisions of the aforesaid circular shall remain the same.",https://www.crsbis.in/BIS/app_srv/tdc/gl/docs/Extension_of_date_of_implementation_of_IS_18112_Digital_Television_Receiver_for_Satellite_Broadcast_Transmission_Specification.pdf,https://www.crsbis.in/BIS/wtsnew.do
LEGAL,LEGAL-00052,,6,CIRC-22 Jul 2026-8714061710756642259,,Frequently Asked Questions (FAQs) on Migration to IS/IEC 62368-1:2023,Bureau of Indian Standards (BIS),2026-07-22,,Frequently Asked Questions (FAQs) on Migration to IS/IEC 62368-1:2023,IS 13252 (Part 1) | IS 13252 (Part1) | IS 13252(Part1) | IS 616,"(R-no.) shall remain the same after successful migration to IS/IEC 62368-1:2023. A manufacturer holds separate licences under IS 13252(Part1):2010 and IS 616:2017 for different product categories. Separate Licences (R-nos.) granted for different product categories shall continue to remain valid after successful migration to IS/IEC 62368-1:2023. Accordingly, separate Licences shall continue for products such as Power Adaptors for IT Equipment and Power Adaptors for Audio, Video & Similar Electronic Apparatus. Further, migration shall be carried out separately for each Licence in accordance with the implementation guidelines. Products complying with IS/IEC 62368-1:2023 shall bear the BIS Standard Mark in accordance with Regulation 6 (Labelling and Marking Requirements) and Annexures I, II and III of Scheme II of Schedule II of the BIS Conformity Assessment Regulations, 2018. Renewal as per the old Standards IS 13252 (Part1) :2010 and IS 616:2017 shall be permitted up to 01 November 2028. i,e., the last date of concurrent running of IS 13252 (Part 1):2010 and IS 616:2017 with IS/IEC 62368-1:2023, in accordance with the implementation timeline notified by MeitY. Should all new applications be submitted under IS/IEC 62368-1:2023? Please refer to the Guidelines for Implementation of Migration to IS/IEC 62368-1:2023 dated 09 Mar 2026.",https://www.crsbis.in/BIS/app_srv/tdc/gl/docs/Frequently_Asked_Questions_(FAQs)_on_Migration_to_IS_IEC_62368-1.pdf,https://www.crsbis.in/BIS/wtsnew.do
LEGAL,LEGAL-00131,,7,CIRC-15 Jun 2026-5997257909427620528,,"Rescinded Order for Cotton Bales (Quality Control) Order, 2023",Bureau of Indian Standards (BIS),2026-06-15,,"Rescinded Order for Cotton Bales (Quality Control) Order, 2023",,,https://www.crsbis.in/BIS/app_srv/tdc/gl/docs/Rescind_Order_of_the_Cotton_Bales_Quality_Control_Order_2023.pdf,https://www.crsbis.in/BIS/wtsnew.do
LEGAL,LEGAL-00135,,8,CIRC-27 May 2026-1732659640208635762,,"Revised Provisions for Licence Validity, Renewal and Annual Fee Payment under CRS",Bureau of Indian Standards (BIS),2026-05-27,,"Revised Provisions for Licence Validity, Renewal and Annual Fee Payment under CRS",,,https://www.crsbis.in/BIS/app_srv/tdc/gl/docs/crs_5_year_validity_news.pdf,https://www.crsbis.in/BIS/wtsnew.do
LEGAL,LEGAL-00062,,9,CIRC-19 May 2026-7637533731987786059,,Gazette Notification - Standalone Hard Disk Drives (HDDs),Bureau of Indian Standards (BIS),2026-05-19,,Gazette Notification - Standalone Hard Disk Drives (HDDs),IS 13252,"50 in the Schedule of the “Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021 shall be substituted as “Standalone Hard Disk Drives” S. The requirements for USB Type External Hard Disk Drives shall continue to be governed as per the existing notified provisions. For all other standalone HDDs, the provisions of the “Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021” shall apply with effect from 5th November.",https://www.crsbis.in/BIS/app_srv/tdc/gl/docs/Gazette_Notification_Standalone_Hard_Disk_Drives_HDDs.pdf,https://www.crsbis.in/BIS/wtsnew.do
LEGAL,LEGAL-00095,,10,CIRC-20 Mar 2026-7972070967691955248,,Guidelines for Implementation of Revised Standards for LED Luminaires,Bureau of Indian Standards (BIS),2026-03-20,,Guidelines for Implementation of Revised Standards for LED Luminaires,IS 10322 | IS 10322 (Part 1) | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5 | IS 10322 (Part 5,"BUREAU OF INDIAN STANDARDS Registration Department Our Ref: Reg./ IS 10322 Series /Guidelines/01 20 March 2026 Subject: Guidelines for Implementation of Revised Standards for LED Luminaires 1. The guidelines for implementation of the Revised Standards are given below: A. All existing licensees shall implement the applicable Revised Standard listed at S.no. Beyond the last date of concurrent running, no licence shall remain operative where compliance with the Revised Standard has not been ensured by the licensee. Existing licensees shall ensure conformance to the applicable Revised Standard through submission of complete test report(s) issued by BIS recognized laboratory for all lead model(s) covered in their scope of licence which had been previously tested as per the old version of Standard. Further, the licensees shall provide an undertaking stating that requirements of the applicable Revised Standard have been implemented in other existing series model(s) which are in the scope of the licence. If the licensee fails to complete all actions by the last date of concurrent running, cancellation of the licence/ deletion of model from scope of the licence may be initiated. Processing of Applications as per old standard shall be permitted only up to the last date of concurrent running, that is, 02 August 2026. For such cases, the applicant shall give a declaration that they will implement the applicable Revised Standard by the last date of concurrent running, that is, 02 August 2026. Beyond the last date of concurrent running, no licence shall be granted as per the old Standard.",https://www.crsbis.in/BIS/app_srv/tdc/gl/docs/Guidelines_for_Implementation_of_Revised_Standards_for_LED_Luminaires.pdf,https://www.crsbis.in/BIS/wtsnew.do
LEGAL,LEGAL-00083,,11,CIRC-09 Mar 2026-5410687586485299003,,Guidelines for Implementation of Migration to IS/IEC 62368-1:2023,Bureau of Indian Standards (BIS),2026-03-09,,Guidelines for Implementation of Migration to IS/IEC 62368-1:2023,IS 13252 (Part 1) | IS 13252(Part1) | IS 16333 (Part 3) | IS 18112 | IS 616 | IS18112,"BUREAU OF INDIAN STANDARDS Registration Department Our Ref: Reg/ IS/IEC 62368-1:2023 /Guidelines/01 09 March 2026 Subject: Guidelines for Implementation of Migration to IS/IEC 62368-1:2023 pursuant to MeitY’s Notification dated 29 October 2025 under the Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021. Product Category Currently applicable ISs Superseded by ISs 1 Electronic Games (Video) IS 616:2017 IS/IEC 62368-1:2023 2 Laptops/Notebooks/Tablets IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 3 Plasma/LCD/LED Television IS 616:2017 & IS 18112:2025 IS/IEC 62368-1:2023 & IS 18112:2025 4 Optical Disc Players with built in amplifiers of input power 200W and above IS 616:2017 IS/IEC 62368-1:2023 5 Visual Display Units, Video Monitors IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 6 Printers/ Multi-Function Devices(MFD)/ Plotters IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 7 Scanners , USB driven Barcode readers, barcode scanners, Iris scanners, Optical fingerprint scanner IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 8 Wireless Keyboards IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 9 Telephone Answering Machines IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 10 Amplifiers with input power 2000W and above IS 616:2017 IS/IEC 62368-1:2023 11 Electronic Musical Systems IS 616:2017 IS/IEC 62368-1:2023 12 Set Top Boxes IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 13 Automatic Data Processing Machines IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 14 Power Adaptors for IT Equipment IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 15 Power Adaptors for Audio, Video& Similar Electronic Apparatus IS 616:2017 IS/IEC 62368-1:2023 16 Mobile Phones IS 13252 (Part 1):2010 & IS 16333 (Part 3) : 2022 IS/IEC 62368-1:2023 & IS 16333 (Part 3) : 2022 17 Cash Registers IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 18 Point of Sale Terminals IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 19 Copying Machines/Duplicators IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 20 Smart Card Readers IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 21 Mail Processing Machines/Postage Machines/ Franking Machines IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 22 Passport Readers IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 23 Power Bank for use in portable application IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 24 CCTV Cameras/CCTV Recorders IS 13252 (Part 1):2010, Essential Requirement(s) for Security of CCTV for IP based CCTV Cameras IS/IEC 62368-1:2023, Essential Requirement(s) for Security of IP based CCTV Cameras 25 Smart Watches IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 26 Keyboards IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 27 Automatic Teller Cash dispensing machines IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 28 USB Type External Hard Disk Drives IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 29 Wireless Headphones and Earphones IS 616:2017 IS/IEC 62368-1:2023 30 USB Type External Solid-State Storage Devices (above 256 GB capacity) IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 31 Standalone Switch Mode Power Supplies (SMPS) with output voltage 48 V (max) IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 32 Televisions other than Plasma/LCD/LED TVs IS 616:2017 & IS 18112:2025 IS/IEC 62368-1:2023 & IS18112:2025 33 Wireless microphones IS 616:2017 IS/IEC 62368-1:2023 34 Digital Cameras IS 13252 (Part 1):2010 IS/IEC 62368-1:2023 35 Video cameras IS 616:2017 IS/IEC 62368-1:2023 36 Webcams (Finished Product) IS 616:2017 IS/IEC 62368-1:2023 37 Smart Speakers (with and without Display) IS 616:2017 IS/IEC 62368-1:2023 38 Bluetooth speakers IS 616:2017 IS/IEC 62368-1:2023 After 01 November 2028, IS 13252 (Part 1):2010 and IS 616:2017 shall stand withdrawn for the above product categories. For the purpose of these guidelines, all licensees and applicants shall refer to the series guidelines as per IS/IEC 62368-1:2023 to be issued by MeitY. Implementation guidelines shall be as follows: A. Existing Licensees: 1) All existing licensees shall implement the IS/IEC 62368-1:2023 by the last date of concurrent running i.e. Beyond the last date of concurrent running, no licence shall be operative where compliance to IS/IEC 62368-1:2023 has not been ensured by the licensee. 2) Existing licensees shall ensure conformance to IS/IEC 62368-1:2023 through submission of complete test Report(s) issued by BIS recognized laboratory for all lead model(s) as per IS/IEC 62368-1:2023, in their scope of licence which had been previously tested as per IS 13252(Part1):2010 or IS 616:2017 by submission of the test report through Standard Revision/Amendment/ Essential Requirement provision available at their login ids. 3) Further, the licensees shall provide an undertaking stating that requirements of IS/IEC 62368- 1:2023 have been implemented in other existing series model(s) which are in the scope of the licence. In this regard, reference shall be made to the revised series guidelines to be issued by MeitY 4) If the licensee fails to complete all actions by the last date of implementation of IS/IEC 62368- 1:2023, cancellation of the licence/ deletion of model from the scope of the licence may be initiated. 5) On successful implementation of the IS/IEC 62368-1:2023, BIS shall issue a letter indicating all the model(s) for which the compliance has been successfully established.",https://www.crsbis.in/BIS/app_srv/tdc/gl/docs/Guidelines_for_Implementation_of_Migration_to_62368_1_2023.pdf,https://www.crsbis.in/BIS/wtsnew.do
