canonical_entity,canonical_entity_id,source_sheet,source_row,source_record_id,related_is_text,notification_title,title_vernacular
NOTIFICATION,NOTIF-01071,,2,1.,IS 12330,सल्फेट रोधी पोर्टलैंड सीमेंट,"1. सीमेंट (गुणवत्ता नियंत्रण) आदेश, 2003 एस.ओ. संख्या 191(E) दिनांक 17 फरवरी 2003"
NOTIFICATION,NOTIF-00566,,3,2.,IS 12600,कम ताप पोर्टलैंड सीमेंट,
NOTIFICATION,NOTIF-00833,,4,3.,IS 1489,पोर्टलैंड पोज़ोलाना सीमेंट – भाग 1 (फ्लाई ऐश आधारित),
NOTIFICATION,NOTIF-00834,,5,4.,IS 1489,पोर्टलैंड पोज़ोलाना सीमेंट – भाग 2 (कैल्साइंड क्ले आधारित),
NOTIFICATION,NOTIF-01076,,6,5.,IS 269,साधारण पोर्टलैंड सीमेंट,
NOTIFICATION,NOTIF-00938,,7,6.,IS 3466,मेसनरी सीमेंट,
NOTIFICATION,NOTIF-00835,,8,7.,IS 455,पोर्टलैंड स्लैग सीमेंट,
NOTIFICATION,NOTIF-01057,,9,8.,IS 6452,संरचनात्मक उपयोग हेतु उच्च एल्युमिना सीमेंट,
NOTIFICATION,NOTIF-01126,,10,9.,IS 6909,सुपर सल्फेटेड सीमेंट,
NOTIFICATION,NOTIF-00761,,11,10.,IS 8041,त्वरित सख्त होने वाली पोर्टलैंड सीमेंट,
NOTIFICATION,NOTIF-01067,,12,11.,IS 8042,सफेद पोर्टलैंड सीमेंट,
NOTIFICATION,NOTIF-01172,,13,12.,IS 8043,हाइड्रोफोबिक पोर्टलैंड सीमेंट,
NOTIFICATION,NOTIF-00758,,14,13.,IS 8229,तेल कुआँ सीमेंट,
NOTIFICATION,NOTIF-01055,,15,14.,IS 16415 : 2015,संयुक्त सीमेंट – विनिर्देश,
NOTIFICATION,NOTIF-00928,,16,15.,IS 16993 : 2018,माइक्रोफाइन साधारण पोर्टलैंड सीमेंट – विनिर्देश,
NOTIFICATION,NOTIF-00497,,17,16.,IS 15895 : 2018,उच्च एल्युमिना अपवर्तक सीमेंट,
NOTIFICATION,NOTIF-00215,,18,घरेलू विद्युत उपकरण,,,
NOTIFICATION,NOTIF-00483,,19,17.,IS 12640,अवशिष्ट धारा संचालित सर्किट ब्रेकर (घरेलू एवं समान उपयोग हेतु) – भाग 1 : बिना अंतर्निहित ओवरकरंट सुरक्षा वाले सर्किट ब्रेकर (RCCB),"2. विद्युत तार, केबल, उपकरण एवं सुरक्षा यंत्र और सहायक उपकरण (गुणवत्ता नियंत्रण) आदेश, 2003 एस.ओ. 189(E) दिनांक 17 फरवरी 2003 अनुवर्ती संशोधन : एस.ओ. 165(E) दिनांक 5 फरवरी 2004, एस.ओ. 1172(E) दिनांक 22 अगस्त 2005, एस.ओ. 512(E) दिनांक 19 फरवरी 2009, एस.ओ. 2058(E) दिनांक 7 अगस्त 2009 एवं एस.ओ. 2604(E) दिनांक 19 अक्टूबर 2010"
NOTIFICATION,NOTIF-00484,,20,18.,IS 12640,अवशिष्ट धारा संचालित सर्किट ब्रेकर – भाग 2 : अंतर्निहित ओवरकरंट सुरक्षा सहित सर्किट ब्रेकर (RCVO),
NOTIFICATION,NOTIF-00533,,21,19.,IS 13010,"एसी वाट-आवर मीटर, वर्ग 0.5, 1 एवं 2",
NOTIFICATION,NOTIF-00535,,22,20.,IS 13779,"एसी स्थैतिक वाट-आवर मीटर, वर्ग 1 एवं 2",
NOTIFICATION,NOTIF-00534,,23,21.,IS 14697,"एसी स्थैतिक ट्रांसफॉर्मर संचालित वाट-आवर एवं VAR-आवर मीटर, वर्ग 0.2S एवं 0.5S",
NOTIFICATION,NOTIF-01101,,24,22.,IS 15111,सामान्य प्रकाश सेवा हेतु स्व-बैलास्टेड लैम्प – भाग 1 : सुरक्षा आवश्यकताएँ भाग 2 : कार्य निष्पादन आवश्यकताएँ,
NOTIFICATION,NOTIF-00651,,25,23.,IS 302,घरेलू एवं समान विद्युत उपकरणों की सुरक्षा – विद्युत इस्त्री,
NOTIFICATION,NOTIF-00650,,26,24.,IS 302,घरेलू एवं समान विद्युत उपकरणों की सुरक्षा – विद्युत इमर्शन जल हीटर,
NOTIFICATION,NOTIF-00652,,27,25.,IS 302,घरेलू एवं समान विद्युत उपकरणों की सुरक्षा – विद्युत स्टोव,
NOTIFICATION,NOTIF-00649,,28,26.,IS 302,घरेलू एवं समान विद्युत उपकरणों की सुरक्षा – कमरे के हीटर,
NOTIFICATION,NOTIF-00648,,29,27.,IS 3854,घरेलू एवं समान प्रयोजनों हेतु स्विच,
NOTIFICATION,NOTIF-00701,,30,28.,IS 418,टंग्स्टन फिलामेंट सामान्य सेवा विद्युत लैम्प (100 वाट तक),
NOTIFICATION,NOTIF-00004,,31,29.,IS 694,1100 वोल्ट तक एवं सम्मिलित कार्य वोल्टेज हेतु पीवीसी इन्सुलेटेड केबल,
NOTIFICATION,NOTIF-01021,,32,30.,IS 8828,विद्युत सहायक उपकरण – घरेलू एवं समान प्रतिष्ठानों में ओवरकरंट सुरक्षा हेतु सर्किट ब्रेकर,
