canonical_entity,canonical_entity_id,source_sheet,source_row,source_centre_ids,centre_name,centre_code,address,city,district,state,pin,recognition_status,recognition_status_raw,validity,hallmarking_scope,services,source_url
HALLMARKING,HM-00001,,2,AHC-CRO-RAHC-R-110002,M/s Jalan Hallmarking Centre,CRO/RAHC/R-110002,"II-C/16 Lajpat Nagar Central Market New Delhi, SOUTH DELHI, LAJPAT NAGAR (SOUTH DELHI), DELHI ,110025",LAJPAT NAGAR (SOUTH DELHI),SOUTH DELHI,DELHI,110025,ACTIVE,Operative,31/07/2028,"Yellow Gold,Silver Hallmarking",Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00002,,3,AHC-CRO-RAHC-R-110006,SHRI SALASAR BALAJI HALLMARKING CENTRE,CRO/RAHC/R-110006,"1189 JORAWAR BHAWAN,2nd FLOOR PARTANIO KA RASTAJOHARI BAZAR, JAIPUR, JAIPUR CITY, RAJASTHAN ,302003",JAIPUR CITY,JAIPUR,RAJASTHAN,302003,ACTIVE,Operative,21/01/2028,Gold & Silver Both Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00003,,4,AHC-CRO-RAHC-R-110017,City Hallmarking Centre,CRO/RAHC/R-110017,"2780/20, 1st Floor, Beadon Pura,Karol Bagh, New Delhi, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,ACTIVE,Operative,10/04/2029,Gold & Silver Both Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00004,,5,AHC-CRO-RAHC-R-110031,SIDDHNATH ASSAYING & HALLMARKING CENTRE,CRO/RAHC/R-110031,"137 S/F, Moti Bazar, Chandni ChowkDelhi, NORTH DELHI, CHANDNI CHOWK, DELHI ,110006",CHANDNI CHOWK,NORTH DELHI,DELHI,110006,ACTIVE,Operative,14/06/2027,Yellow Gold Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00005,,6,AHC-CRO-RAHC-R-110033,SAVITREE HALLMARKING & REFINERY,CRO/RAHC/R-110033,"2165-2166,4th FLOOR, CHAKSU KA CHOWKHALDIYON KA RASTA, JOHARI BAZAR JAIPUR, JAIPUR, JAIPUR CITY, RAJASTHAN ,302003",JAIPUR CITY,JAIPUR,RAJASTHAN,302003,ACTIVE,Operative,11/02/2028,Gold & Silver Both Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00007,,7,AHC-CRO-RAHC-R-110041,LAWAT HALLMARKING CENTER PRIVATE LIMITED,CRO/RAHC/R-110041,"1733, Jat Ke Kue Ka Rasta,Chandpole Bazar,, JAIPUR, JAIPUR, RAJASTHAN ,302001",JAIPUR,JAIPUR,RAJASTHAN,302001,ACTIVE,Operative,26/11/2027,Yellow Gold Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00008,,8,AHC-CRO-RAHC-R-110042,SAMRIDDHI ASSAYING & HALLMARKING CENTRE,CRO/RAHC/R-110042,"1170, 4th Floor, Kucha Mahajani,Chandni Chowk, Delhi, NORTH DELHI, CHANDNI CHOWK, DELHI ,110006",CHANDNI CHOWK,NORTH DELHI,DELHI,110006,ACTIVE,Operative,06/12/2027,Yellow Gold Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00011,,9,AHC-CRO-RAHC-R-110045,Prince Hallmarking and Refinery Private Limited,CRO/RAHC/R-110045,"Shri Balaji Complex, Shop No G -2Ground Floor No 68, BADA SARAFA, INDORE, INDORE CLOTH MARKET, MADHYA PRADESH ,452002",INDORE CLOTH MARKET,INDORE,MADHYA PRADESH,452002,ACTIVE,Operative,27/07/2028,Gold & Silver Both Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00012,,10,AHC-CRO-RAHC-R-110046,M/s Shree Katyayani Enterprises,CRO/RAHC/R-110046,"Prop No. 1072, 3rd Floor, Kucha Natwan,Chandni Chowk Area, New Delhi, Central Delhi – 110 006, NORTH DELHI, CHANDNI CHOWK, DELHI ,110006",CHANDNI CHOWK,NORTH DELHI,DELHI,110006,SUSPENDED,Under Suspension,01/05/2028,"Yellow Gold,Silver Hallmarking",Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00014,,11,AHC-CRO-RAHC-R-110049,HRDK HALLMARKING CENTRE,CRO/RAHC/R-110049,"NEAR JULAHO KI MASJID, BAIJI KA TALAB, JODHPUR, JODHPUR CITY, RAJASTHAN ,342001",JODHPUR CITY,JODHPUR,RAJASTHAN,342001,ACTIVE,Operative,08/02/2029,Gold & Silver Both Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00015,,12,AHC-CRO-RAHC-R-110051,SRI GANGANAGAR HALLMARKING CENTRE,CRO/RAHC/R-110051,"SHOP NO.-59 FIRST FLOOR OLD DHAN MANDISRI GANGANAGAR, GANGANAGAR, SRIGANGANAGAR, RAJASTHAN ,335001",SRIGANGANAGAR,GANGANAGAR,RAJASTHAN,335001,ACTIVE,Operative,02/02/2029,Gold Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00016,,13,AHC-CRO-RAHC-R-110053,Ms Swarn Assaying & Hallmarking Centre,CRO/RAHC/R-110053,"B-1/17 krishna nagarDelhi-110051, EAST DELHI, KRISHNA NAGAR, DELHI ,110051",KRISHNA NAGAR,EAST DELHI,DELHI,110051,ACTIVE,Operative,09/01/2029,Yellow Gold Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00017,,14,AHC-CRO-RAHC-R-110056,Shri Salasar Balaji Hallmarking Centre,CRO/RAHC/R-110056,"G 1-5 & 6, EPIPSitapura IndustrialArea, Tonk Road, JAIPUR, SITAPURA INDUSTRIAL AREA, RAJASTHAN ,302022",SITAPURA INDUSTRIAL AREA,JAIPUR,RAJASTHAN,302022,ACTIVE,Operative,15/06/2029,Yellow Gold Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00019,,15,AHC-CRO-RAHC-R-110058,M/s Mahalaxmi Hallmarking Centre,CRO/RAHC/R-110058,"WZ-142C, IInd & IIIrd floor Shriram ComplexArya Samaj Road, Uttam Nagar, Delhi, WEST DELHI, UTTAM NAGAR, DELHI ,110059",UTTAM NAGAR,WEST DELHI,DELHI,110059,SUSPENDED,Under Suspension,29/10/2026,Yellow Gold Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00020,,16,AHC-CRO-RAHC-R-110059,DELHI HALLMARKING CENTRE,CRO/RAHC/R-110059,"2782/20-21, 1st floor Beadon puraKarol Bagh Delhi, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,ACTIVE,Operative,30/09/2026,"Yellow Gold,Silver Hallmarking",Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00022,,17,AHC-CRO-RAHC-R-110062,P S HALLMARKING CENTRE,CRO/RAHC/R-110062,"29/3A 4A 5A 6A 7A 8A,SARRAFA BAZARKUCHA NEEL,MEERUT, MEERUT, MEERUT CITY, UTTAR PRADESH ,250002",MEERUT CITY,MEERUT,UTTAR PRADESH,250002,ACTIVE,Operative,17/11/2026,Yellow Gold Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00025,,18,AHC-CRO-RAHC-R-110068,S R ASSAYING AND HALLMARKING CENTRE,CRO/RAHC/R-110068,"23/20-B, First FloolTilak Nagar, New Delhi, WEST DELHI, TILAK NAGAR (WEST DELHI), DELHI ,110018",TILAK NAGAR (WEST DELHI),WEST DELHI,DELHI,110018,ACTIVE,Operative,16/03/2027,Yellow Gold Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00026,,19,AHC-CRO-RAHC-R-110070,Krishna Hallmarking Centre,CRO/RAHC/R-110070,"A-7/29, Frist Floor, Krishna NagarNew delhi, NEW DELHI, NEW DELHI G.P.O., DELHI ,110051",NEW DELHI G.P.O,NEW DELHI,DELHI,110051,ACTIVE,Operative,06/09/2027,"Yellow Gold,Silver Hallmarking",Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00028,,20,AHC-CRO-RAHC-R-110072,SHRI BALAJI HALLMARKING CENTRE,CRO/RAHC/R-110072,"WARD NO 16, NAYA SHAHAR, NEAR DUJOD GATESIKAR , RAJASTHAN, SIKAR, SIKAR, RAJASTHAN ,332001",SIKAR,SIKAR,RAJASTHAN,332001,ACTIVE,Operative,20/05/2027,Yellow Gold Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00029,,21,AHC-CRO-RAHC-R-110075,IDGL Hallmarking Centre,CRO/RAHC/R-110075,"91-A, Block-A, First Floor, Central MarketLajpat Nagar-ll , New Delhi, SOUTH DELHI, LAJPAT NAGAR (SOUTH DELHI), DELHI ,110024",LAJPAT NAGAR (SOUTH DELHI),SOUTH DELHI,DELHI,110024,ACTIVE,Operative,22/09/2027,"Yellow Gold,Silver Hallmarking",Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00031,,22,AHC-CRO-RAHC-R-110077,CHETNA ASSAYING AND HALLMARKING CENTRE,CRO/RAHC/R-110077,"1164, 4th Floor, Kuchamahajani,Chadni Chowk, Delhi, NORTH DELHI, CHANDNI CHOWK, DELHI ,110006",CHANDNI CHOWK,NORTH DELHI,DELHI,110006,SUSPENDED,Under Suspension(Gold Only),18/10/2027,"Yellow Gold,Silver Hallmarking",Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00032,,23,AHC-CRO-RAHC-R-110078,SHREE KALYAN HALLMARKING CENTRE,CRO/RAHC/R-110078,"13/301 OPPOSITE MAHILA SIKSHA SADANNAYA BAZAR, AJMER, AJMER, AJMER, RAJASTHAN ,305001",AJMER,AJMER,RAJASTHAN,305001,ACTIVE,Operative,13/01/2028,Gold Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00033,,24,AHC-CRO-RAHC-R-110079,M/s Lalji Assaying and Hallmarking Centre,CRO/RAHC/R-110079,"201-202, IInd floor, Kohinoor plazaBldg. no. 2581-82, Gali no. 5-6, Beadonpura Karol Bagh, New Delhi, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,ACTIVE,Operative,07/01/2028,"Yellow Gold,Silver Hallmarking",Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00035,,25,AHC-CRO-RAHC-R-110082,J P Testing and gold hallmarking Centre,CRO/RAHC/R-110082,"Ward no 7, Holi darwaja , Dulhe Singh RastaChomu , Distt Jaipur Rural, JAIPUR, JAIPUR, RAJASTHAN ,303702",JAIPUR,JAIPUR,RAJASTHAN,303702,SUSPENDED,Under Suspension,08/03/2028,Yellow Gold Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00036,,26,AHC-CRO-RAHC-R-110083,M/s Gehna Hallmarking Centre,CRO/RAHC/R-110083,"3533, Ground Floor, Gali No-6-7 RegharpuraKarol Bagh, New Delhi, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,ACTIVE,Operative,24/04/2028,Yellow Gold Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00038,,27,AHC-CRO-RAHC-R-110085,M/s National Hallmarking Centre,CRO/RAHC/R-110085,"1170/1240, 5th Floor Kucha MahajaniChandni Chowk, Delhi, NORTH DELHI, CHANDNI CHOWK, DELHI ,110006",CHANDNI CHOWK,NORTH DELHI,DELHI,110006,SUSPENDED,Under Suspension,27/04/2022,Yellow Gold Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00040,,28,AHC-CRO-RAHC-R-110087,IDGL GOLD HALLMARKING CENTRE,CRO/RAHC/R-110087,"301-302,3rd floor, 2142-44, Vishnu Kiran Chamber, Gurudwara Road,Karol Bagh, New Delhi, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,ACTIVE,Operative,01/05/2028,Yellow Gold Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
HALLMARKING,HM-00041,,29,AHC-CRO-RAHC-R-110089,S.P. Assayers and Hallmarking,CRO/RAHC/R-110089,"2654, 3rd Floor, Chawla tower, Bank StreetKarol Bagh, New Delhi, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,ACTIVE,Operative,28/04/2028,Yellow Gold Hallmarking,Assaying & Hallmarking,https://www.manakonline.in/MANAK/AHCListForWebsite
