canonical_entity,canonical_entity_id,source_sheet,source_row,canonical_is_number,related_product_text,scheme_code,scheme_name,scheme_type,certification_type,mandatory_voluntary,certification_scope,certification_requirements,related_qco_text,related_product_manual_text,related_sit_text,source_url
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,2,STD-17631,Work Chairs,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,3,STD-17632,General Purpose Chairs and Stools,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,4,STD-17633,Tables and Desks,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,5,STD-17634,Storage Units,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,6,STD-17635,Beds,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,7,STD-17636,Bunk Beds,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,8,STD-2347,Domestic Pressure Cookers,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,9,STD-12330,Sulphate Resisting Portland Cement,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,10,STD-12600,Low heat Portland Cement,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,11,STD-1489-P1,Portland Pozzolana Cement (Fly-ash based),Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
