canonical_entity,canonical_entity_id,source_sheet,source_row,source_row_ordinal,cml_licence_no,manufacturer_name_address_composite,licence_validity_date,licensed_is_text,licence_status,variety_brand,source_url,retrieved_at
FMCS,FMCS-02535,,2,1,CM/L-4100295185,Meyer Aluminium (Thailand) Co. Ltd.,NONE,IS 21 : 1992,OTHER,a. Name of Product: Wrought Aluminium and Aluminium Alloys for Manufacture of Utensils Designation: :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02899,,3,2,CM/L-4100331668,"Korea Zinc Co., Ltd. Onsan Complex",NONE,IS 27:2023,OTHER,Name of the product: Primary Lead Grade: Pb99.995 :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00021,,4,3,CM/L-4006840,Crown Cement PLC,NONE,IS 269 : 2015,OTHER,Ordinary Portland Cement - 53 Grade and 43 Grade :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00023,,5,4,CM/L-4007842,D.G. Khan Cement Company Ltd.,NONE,IS 269 : 2015,OTHER,Ordinary Portland Cement - 43 Grade and 53 Grade :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00025,,6,5,CM/L-4008945,Power Cement Ltd.,NONE,IS 269 : 2015,OTHER,Ordinary Portland Cement - 43 Grade :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00039,,7,6,CM/L-4013736,Unique Cement Industries Ltd.,NONE,IS 269 : 2015,OTHER,Ordinary Portland Cement - 43 Grade(without any performance improvers) :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00077,,8,7,CM/L-4022434,Gharibwal Cement Ltd,NONE,IS 269 : 2015,OTHER,"Ordinary Portland Cement,43 GRADE(with 5% limestone as performance improver) :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00095,,9,8,CM/L-4027343,Premier Cement Mills PLC,NONE,IS 269 : 2015,OTHER,"Ordinary Portland Cement, 43 Grade (without any Performance Improvers) :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00096,,10,9,CM/L-4027444,Seven Circle(bangladesh) Ltd,NONE,IS 269 : 2015,OTHER,43 Grade OPC :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00098,,11,10,CM/L-4028143,Sharjah Cement Factory,NONE,IS 269 : 2015,OTHER,53 Grade and 43 Grade ordinary Portland Cement without any Performance Improvers :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00144,,12,11,CM/L-4040739,Attock Cement Pakistan Limited,NONE,IS 269 : 2015,OTHER,"Ordinary Portland Cement, 43 Grade and 53 Grade (without performance improvers and not meant for use :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00179,,13,12,CM/L-4048654,Dungsam Cement Corporation Limited,NONE,IS 269 : 2015,OTHER,"Product: Ordinary Portland Cement, 43 Grade (without addition of performance improvers and not meant : Dragon Cement - DCCL CEMENT",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00551,,14,13,CM/L-4100065067,D.G Khan Cement Company Limited,NONE,IS 269 : 2015,OTHER,53 grade (without any performance improvers and without the requirement of tranverse strength test) :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00537,,15,14,CM/L-4100063366,Union Cement Company,NONE,IS 269 : 2015,OTHER,53 grade and 53S grade (without any performance improvers) :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00756,,16,15,CM/L-4100097181,Palpa Cement Industries Ltd.,NONE,IS 269 : 2015,OTHER,"Ordinary Portland Cement, Grade- OPC 53, without optional requirement of Transverse strength test Ordinary :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00797,,17,16,CM/L-4100103756,Arghakhanchi Cement Ltd,NONE,IS 269 : 2015,OTHER,"Ordinary Portland Cement, Grade -OPC 43, without optional requirement of transverse strength Ordinary : ACC - ACC SURAKSHA POWER PLUS - ACC SURAKSHA POWER - AMBUJA CEMENT - AMBUJA BUILDCHEM - AMBUJA POWERCEM",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00925,,18,17,CM/L-4100119367,JEBEL ALI CEMENT FACTORY,NONE,IS 269 : 2015,OTHER,"Ordinary Portland Cement 1) Ordinary Portland Cement, Grade - OPC 43, without optional requirement of :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00917,,19,18,CM/L-4100118163,SAMRAT CEMENT COMPANY PVT LTD.,NONE,IS 269 : 2015,OTHER,"Ordinary Portland Cement 1) Ordinary Portland Cement, Grade - OPC 43, without optional requirement of :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00893,,20,19,CM/L-4100114660,FUJAIRAH CEMENT INDUSTRIES (PJSC),NONE,IS 269 : 2015,OTHER,"Ordinary Portland Cement 1. Ordinary Portland Cement, Grade -OPC 43, without optional requirement of :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00877,,21,20,CM/L-4100112959,Lafarge Emirates Cement LLC,NONE,IS 269 : 2015,OTHER,"Ordinary Portland Cement 1. Ordinary Portland Cement, Grade-OPC 53, without optional requirement of : CLASSIC",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00874,,22,21,CM/L-4100112656,SARBOTTAM CEMENT LIMITED,NONE,IS 269 : 2015,OTHER,"Ordinary Portland Cement 1. Ordinary Portland Cement, Grade-OPC 43, without optional requirement of :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-01115,,23,22,CM/L-4100141562,"RIDDHI SIDDHI CEMENT PVT, LTD.",NONE,IS 269 : 2015,OTHER,"(1) Ordinary Portland Cement, Grade- OPC 43, without optional requirement of transverse strength. (2) Ordinary :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-01129,,24,23,CM/L-4100143162,GHORAHI CEMENT INDUSTRY LIMITED,NONE,IS 269 : 2015,OTHER,"(1) Ordinary Portland Cement, Grade- OPC 43, without optional requirement of transverse strength. (2) Ordinary :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-01269,,25,24,CM/L-4100159480,Posco Co. Ltd,NONE,IS 277:2018,OTHER,1. Name of the Product Galvanized Steel Strips (Plain) Grade Structural Steel Grade 450 Designation GP450 Class :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-01328,,26,25,CM/L-4100166780,HYUNDAI STEEL COMPANY,NONE,IS 277:2018,OTHER,Name of the product: Galvanized Steel Strips (Plain) Grade: Ordinary Drawing (Lock forming) Deep drawing Extra :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-01122,,27,26,CM/L-4100142463,NARAYANI STRIPS PVT LTD.,NONE,IS 277:2018,OTHER,Name of the product Galvanized steel strips and sheets (Plain & Corrugated) Grade Ordinary Ordinary Corrugated :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-01087,,28,27,CM/L-4100138573,Posco Coated Steel Thailand Company Limited,NONE,IS 277:2018,OTHER,Name of the Product Galvanized Steel Strips and Sheets (Plain and Corrugated) Grade GP GPL GPD GPED Designation Ordinary Drawing :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00451,,29,28,CM/L-4100048269,Abul Khair Limited,NONE,IS 277:2018,OTHER,Designation Name Grade of Zn coating (g/m2) Sizes GP Ordinary Upto & including 220 Thickness upto :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00463,,30,29,CM/L-4100050458,Angang Steel Company Limited,NONE,IS 277:2018,OTHER,Designation Name Grade of Zn coating (g/m2) Thickness Width GP Ordinary From 80 to upto & including :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00775,,31,30,CM/L-4100100043,"Hoa Phat Steel Pipe Co., Ltd.",NONE,IS 277:2018,OTHER,Name of the Product Galvanized Steel Strips (Plain) Grade Structural steel grade 230 Structural steel :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00734,,32,31,CM/L-4100093577,"Jiangsu Shagang Group Co., Ltd",NONE,IS 277:2018,OTHER,7 RECOMMENDATIONS / REMARKS FOR GRANT OF LICENCE : GOL may be considered for Galvanized Steel Sheet & :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00534,,33,32,CM/L-4100063063,VINA ONE STEEL MANUFACTURING CORPORATION,NONE,IS 277:2018,OTHER,Designation Grade Grade of Zinc Coating(g/m2) Thickness Width GP Ordinary From 80 to upto &including :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00572,,34,33,CM/L-4100070363,HOA SEN GROUP JOINT STOCK COMPANY,NONE,IS 277:2018,OTHER,Designation Class of Coating Thickness Width Sheet Length GP350 Class - 2 From 80 to upto &including :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00712,,35,34,CM/L-4100090066,AL Ghurair Iron & Steel LLC,NONE,IS 277:2018,OTHER,"Designation GP, GPH, GPL, GP-350(Class-1), GP450, Thickness upto & including 2.5mm, width upto & including :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00149,,36,35,CM/L-4041236,Baoshan Iron & Steel Co. Ltd.,NONE,IS 277:2018,OTHER,"Product: Galvanised Steel Sheets, Plain in coil form; for designation GPL, thickness from 0.30 to 2.30 :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00120,,37,36,CM/L-4035544,POSCO Co. Ltd.,NONE,IS 277:2018,OTHER,"Galvanized Steel Sheets, plain in the form of coil, for grade GPL, GPD, GPED for thickness 0.20 to 2.3 :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00007,,38,37,CM/L-4001729,Aarti Strips (P) Ltd,NONE,IS 277:2018,OTHER,Galvanized Steel Sheets(Plain and Corrugated) :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00012,,39,38,CM/L-4002630,Hulas Steel Industries Pvt Ltd.,NONE,IS 277:2018,OTHER,Galvanized Steel Sheets (Plain and Corrugated) :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00313,,40,39,CM/L-4100019464,Zhejiang Huada New Materials co. Ltd,NONE,IS 277:2018,OTHER,Designation Name Size Grade of Zn Coating GP Ordinary Thickness from 0.16mm to upto & including :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00231,,41,40,CM/L-4100003954,Rajesh Metal Crafts Ltd,NONE,IS 277:2018,OTHER,Galvanized Steel Sheet (Plain and Corrugated) :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00468,,42,41,CM/L-4100051359,China Steel Sumikin Vietnam Joint Stock Company,NONE,IS 277:2018,OTHER,Designation Name Grade of Zinc Coating (g/m2) Thickness Width GP Ordinary Upto & including 220 Upto :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00401,,43,42,CM/L-4100039975,Dongkuk Coated Metal Co. Ltd,NONE,IS 277:2018,OTHER,Designation Name Grade of Zn coating (g/m2) Sizes GPD Deep Drawing Upto & including 180 Thickness from :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00509,,44,43,CM/L-4100059173,Hyundai Steel Company,NONE,IS 277:2018,OTHER,Designation Name Grade of Zinc Coating(g/m2) Thickness Width GPL Drawing Upto & including 275mm Upto :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02815,,45,44,CM/L-4100323265,TVP Steel Joint Stock Company,NONE,IS 277:2018,OTHER,Name of the product - Galvanized Steel Strips and Sheets (Plain) Grade- Drawing (Lock forming) Designation- :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02833,,46,45,CM/L-4100325067,"Aju Steel Co., Ltd.",NONE,IS 277:2018,OTHER,Name of the product Galvanized Steel Strips and Sheets (Plain) Grade Ordinary Structural steel grade :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02617,,47,46,CM/L-4100303360,KG Dongbu Steel Co. Ltd.,NONE,IS 277:2018,OTHER,Galvanized Steel Strips and Sheets (Plain) Ordinary GP upto 275 E CO Coil Thickness: - 0.30 to 1.20 :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02938,,48,47,CM/L-4100335575,KG DONGBU STEEL CO. LTD.,NONE,IS 277:2018,OTHER,Name of the product Galvanized Steel Strips and Sheets (Plain) Grade Ordinary Drawing (Lock forming) Designation GP GPL Class :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02036,,49,48,CM/L-4100244572,Tay Nam Steel Manufacturing & Trading Co. Ltd.,NONE,IS 277:2018,OTHER,"Galvanized Steel Strips & Sheets Grade:- Ordinary & Structural Steel Grade 550, Designation:- GP & :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02082,,50,49,CM/L-4100249178,Nam Kim Steel Joint Stock Company,NONE,IS 277:2018,OTHER,"Name of the product:- Galvanized Steel Strips and Sheets (Plain) Grade:- Ordinary, Ordinary-Hard, & :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-01787,,51,50,CM/L-4100218975,Essen Steel Industry LLC,NONE,IS 280 : 2006,OTHER,Name of the product Mild Steel Wire for General engineering Purposes Size 0.90 mm to upto and including :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-01422,,52,51,CM/L-4100178282,"SUGITA WIRE, LTD.",NONE,IS 280 : 2006,OTHER,Name of the product Mild Steel Wire for General engineering Purposes Size 12.5mm Diameter Condition ¼ :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-03120,,53,52,CM/L-4100353880,Hulas Iron Industries Ltd.,NONE,IS 280 : 2006,OTHER,Name of the product Mild Steel Wire for General Engineering Purposes Size Diameter from 1.6 mm up to :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02642,,54,53,CM/L-4100305869,TSN Wires Co. Ltd.,NONE,IS 280 : 2006,OTHER,Name of the product Mild Steel Wire for General Engineering Purposes Size Diameter from 2.00 mm to upto :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02366,,55,54,CM/L-4100278185,Jaya Bajarang Plywood Industries Pvt. Ltd.,NONE,IS 303 : 1989,OTHER,:,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00376,,56,55,CM/L-4100035159,Chin Herr Industries (M) SDN.BHD),NONE,IS 280 : 2006,OTHER,"Condition Finish Size Annealed, Soft Drawn Galvanized (Light, Medium, Heavy) Diameter from 1.60mm :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00234,,57,56,CM/L-4100004451,Jagdamba Steels Limited,NONE,IS 280 : 2006,OTHER,"Mild Steel Wire for General Engineering Purposes, annealed, Galvanized/black, Coating :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00157,,58,57,CM/L-4043442,Hulas Wire Inds. Ltd,NONE,IS 280 : 2006,OTHER,Name of the product Mild Steel Wire for General Engineering Purposes Size Nominal Diameter from 2.00 :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00664,,59,58,CM/L-4100082774,Lanka Special Steels Limited,NONE,IS 280 : 2006,OTHER,Name of the product Mild Steel Wire for General Engineering Purposes Size Nominal Diameter from 1.57 :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
