canonical_entity,canonical_entity_id,source_sheet,source_row,country,manufacturer_count,licence_count
FMCS_COUNTRY_COVERAGE,,,2,Albania,2,2
FMCS_COUNTRY_COVERAGE,,,3,Australia,1,1
FMCS_COUNTRY_COVERAGE,,,4,Austria,20,23
FMCS_COUNTRY_COVERAGE,,,5,Bahrain,7,11
FMCS_COUNTRY_COVERAGE,,,6,Bangladesh,77,112
FMCS_COUNTRY_COVERAGE,,,7,Belgium,15,18
FMCS_COUNTRY_COVERAGE,,,8,Bhutan,28,41
FMCS_COUNTRY_COVERAGE,,,9,Brazil,14,15
FMCS_COUNTRY_COVERAGE,,,10,Bulgaria,3,3
FMCS_COUNTRY_COVERAGE,,,11,Cambodia,22,26
FMCS_COUNTRY_COVERAGE,,,12,Canada,2,2
FMCS_COUNTRY_COVERAGE,,,13,China,204,258
FMCS_COUNTRY_COVERAGE,,,14,Colombia,1,1
FMCS_COUNTRY_COVERAGE,,,15,Croatia,1,1
FMCS_COUNTRY_COVERAGE,,,16,Czech Republic,18,21
FMCS_COUNTRY_COVERAGE,,,17,Denmark,4,6
FMCS_COUNTRY_COVERAGE,,,18,Egypt,3,3
FMCS_COUNTRY_COVERAGE,,,19,Finland,5,5
FMCS_COUNTRY_COVERAGE,,,20,France,38,47
FMCS_COUNTRY_COVERAGE,,,21,Germany,84,112
FMCS_COUNTRY_COVERAGE,,,22,Greece,1,1
FMCS_COUNTRY_COVERAGE,,,23,Hungary,10,11
FMCS_COUNTRY_COVERAGE,,,24,Iceland,1,1
FMCS_COUNTRY_COVERAGE,,,25,Indonesia,123,169
FMCS_COUNTRY_COVERAGE,,,26,Iran,22,25
FMCS_COUNTRY_COVERAGE,,,27,Italy,114,151
FMCS_COUNTRY_COVERAGE,,,28,Japan,107,215
FMCS_COUNTRY_COVERAGE,,,29,Jordan,1,1
FMCS_COUNTRY_COVERAGE,,,30,Kazakhstan,3,3
FMCS_COUNTRY_COVERAGE,,,31,Kuwait,6,6
FMCS_COUNTRY_COVERAGE,,,32,Laos,5,7
FMCS_COUNTRY_COVERAGE,,,33,Luxembourg,3,3
FMCS_COUNTRY_COVERAGE,,,34,Malaysia,97,117
FMCS_COUNTRY_COVERAGE,,,35,Mexico,14,16
FMCS_COUNTRY_COVERAGE,,,36,Monaco,1,1
FMCS_COUNTRY_COVERAGE,,,37,Morocco,1,1
FMCS_COUNTRY_COVERAGE,,,38,Mozambique,1,1
FMCS_COUNTRY_COVERAGE,,,39,Myanmar,10,12
FMCS_COUNTRY_COVERAGE,,,40,Nepal,178,259
FMCS_COUNTRY_COVERAGE,,,41,Netherlands,8,8
FMCS_COUNTRY_COVERAGE,,,42,New Caledonia,1,1
FMCS_COUNTRY_COVERAGE,,,43,New Zealand,2,2
FMCS_COUNTRY_COVERAGE,,,44,Norway,2,2
FMCS_COUNTRY_COVERAGE,,,45,Oman,11,13
FMCS_COUNTRY_COVERAGE,,,46,Pakistan,5,5
FMCS_COUNTRY_COVERAGE,,,47,Philippines,7,7
FMCS_COUNTRY_COVERAGE,,,48,Poland,19,22
FMCS_COUNTRY_COVERAGE,,,49,Portugal,4,6
FMCS_COUNTRY_COVERAGE,,,50,Qatar,11,12
FMCS_COUNTRY_COVERAGE,,,51,Romania,9,10
FMCS_COUNTRY_COVERAGE,,,52,Russia,38,62
FMCS_COUNTRY_COVERAGE,,,53,Saudi Arabia,33,43
FMCS_COUNTRY_COVERAGE,,,54,Serbia and Montenegro,1,1
FMCS_COUNTRY_COVERAGE,,,55,Singapore,16,22
FMCS_COUNTRY_COVERAGE,,,56,Slovakia,3,3
FMCS_COUNTRY_COVERAGE,,,57,Slovenia,5,5
FMCS_COUNTRY_COVERAGE,,,58,South Africa,4,6
FMCS_COUNTRY_COVERAGE,,,59,South Korea,198,319
FMCS_COUNTRY_COVERAGE,,,60,Spain,22,25
FMCS_COUNTRY_COVERAGE,,,61,Sri Lanka,10,14
FMCS_COUNTRY_COVERAGE,,,62,Sweden,16,17
FMCS_COUNTRY_COVERAGE,,,63,Switzerland,10,13
FMCS_COUNTRY_COVERAGE,,,64,Taiwan,92,120
FMCS_COUNTRY_COVERAGE,,,65,Taiwan (R.O.C),1,1
FMCS_COUNTRY_COVERAGE,,,66,Thailand,167,202
FMCS_COUNTRY_COVERAGE,,,67,Togo,1,1
FMCS_COUNTRY_COVERAGE,,,68,Turkey,37,45
FMCS_COUNTRY_COVERAGE,,,69,United Arab Emirates,52,69
FMCS_COUNTRY_COVERAGE,,,70,United Kingdom,5,5
FMCS_COUNTRY_COVERAGE,,,71,United States,41,46
FMCS_COUNTRY_COVERAGE,,,72,Uzbekistan,1,1
FMCS_COUNTRY_COVERAGE,,,73,Vietnam,234,315
FMCS_COUNTRY_COVERAGE,,,74,West Africa,2,2
FMCS_COUNTRY_COVERAGE,,,75,Zambia,1,2
