canonical_entity,canonical_entity_id,source_sheet,source_row,canonical_is_number,manufacturer_count,licence_count
FMCS_IS_COVERAGE,,,2,STD-10116,1,1
FMCS_IS_COVERAGE,,,3,STD-10151,2,2
FMCS_IS_COVERAGE,,,4,STD-10325,4,4
FMCS_IS_COVERAGE,,,5,STD-10613,3,3
FMCS_IS_COVERAGE,,,6,STD-10613,1,1
FMCS_IS_COVERAGE,,,7,STD-10617,24,24
FMCS_IS_COVERAGE,,,8,STD-10617,16,16
FMCS_IS_COVERAGE,,,9,STD-10702,6,6
FMCS_IS_COVERAGE,,,10,STD-10748,19,22
FMCS_IS_COVERAGE,,,11,STD-10773,9,9
FMCS_IS_COVERAGE,,,12,STD-10773,5,5
FMCS_IS_COVERAGE,,,13,STD-1079,18,20
FMCS_IS_COVERAGE,,,14,STD-10910,1,1
FMCS_IS_COVERAGE,,,15,STD-10931,1,1
FMCS_IS_COVERAGE,,,16,STD-10931,11,11
FMCS_IS_COVERAGE,,,17,STD-10951,53,57
FMCS_IS_COVERAGE,,,18,STD-1110,28,28
FMCS_IS_COVERAGE,,,19,STD-11169-P2,1,1
FMCS_IS_COVERAGE,,,20,STD-11169,20,20
FMCS_IS_COVERAGE,,,21,STD-11329,16,18
FMCS_IS_COVERAGE,,,22,STD-11356-P1,1,1
FMCS_IS_COVERAGE,,,23,STD-11356-P2,3,3
FMCS_IS_COVERAGE,,,24,STD-11513,19,21
FMCS_IS_COVERAGE,,,25,STD-1161,7,7
FMCS_IS_COVERAGE,,,26,STD-11657,1,1
FMCS_IS_COVERAGE,,,27,STD-1170,2,2
FMCS_IS_COVERAGE,,,28,STD-1170,6,6
FMCS_IS_COVERAGE,,,29,STD-1171,1,1
FMCS_IS_COVERAGE,,,30,STD-11890,2,2
FMCS_IS_COVERAGE,,,31,STD-11946,1,1
FMCS_IS_COVERAGE,,,32,STD-12029,13,13
FMCS_IS_COVERAGE,,,33,STD-12045,1,1
FMCS_IS_COVERAGE,,,34,STD-12067,1,2
FMCS_IS_COVERAGE,,,35,STD-12069,2,2
FMCS_IS_COVERAGE,,,36,STD-12084,1,1
FMCS_IS_COVERAGE,,,37,STD-12145,2,2
FMCS_IS_COVERAGE,,,38,STD-12146,8,8
FMCS_IS_COVERAGE,,,39,STD-12254,1,1
FMCS_IS_COVERAGE,,,40,STD-12345,2,2
FMCS_IS_COVERAGE,,,41,STD-12345,1,1
FMCS_IS_COVERAGE,,,42,STD-1239,7,7
FMCS_IS_COVERAGE,,,43,STD-12406,2,2
FMCS_IS_COVERAGE,,,44,STD-12406,11,11
FMCS_IS_COVERAGE,,,45,STD-12444,8,8
FMCS_IS_COVERAGE,,,46,STD-12540,3,3
FMCS_IS_COVERAGE,,,47,STD-12591,1,1
FMCS_IS_COVERAGE,,,48,STD-12591,2,2
FMCS_IS_COVERAGE,,,49,STD-12615,17,18
FMCS_IS_COVERAGE,,,50,STD-12640,4,4
FMCS_IS_COVERAGE,,,51,STD-12640,2,2
FMCS_IS_COVERAGE,,,52,STD-1269,1,1
FMCS_IS_COVERAGE,,,53,STD-12795,2,2
FMCS_IS_COVERAGE,,,54,STD-12795,5,5
FMCS_IS_COVERAGE,,,55,STD-12818,1,1
FMCS_IS_COVERAGE,,,56,STD-12823,6,6
FMCS_IS_COVERAGE,,,57,STD-1285,12,12
FMCS_IS_COVERAGE,,,58,STD-1293,31,31
FMCS_IS_COVERAGE,,,59,STD-1293,10,10
FMCS_IS_COVERAGE,,,60,STD-13095,4,4
FMCS_IS_COVERAGE,,,61,STD-13098,2,2
FMCS_IS_COVERAGE,,,62,STD-13164,2,2
FMCS_IS_COVERAGE,,,63,STD-13340,1,1
FMCS_IS_COVERAGE,,,64,STD-13340,3,3
FMCS_IS_COVERAGE,,,65,STD-13387,1,1
FMCS_IS_COVERAGE,,,66,STD-13428,1,1
FMCS_IS_COVERAGE,,,67,STD-13428,7,7
FMCS_IS_COVERAGE,,,68,STD-13592,2,2
FMCS_IS_COVERAGE,,,69,STD-13601,3,3
FMCS_IS_COVERAGE,,,70,STD-1363-P3,1,1
FMCS_IS_COVERAGE,,,71,STD-1364-P1,4,4
FMCS_IS_COVERAGE,,,72,STD-1364-P2,4,4
FMCS_IS_COVERAGE,,,73,STD-1364-P2,2,2
FMCS_IS_COVERAGE,,,74,STD-13774,1,1
FMCS_IS_COVERAGE,,,75,STD-13893,1,1
FMCS_IS_COVERAGE,,,76,STD-1391-P2,7,8
FMCS_IS_COVERAGE,,,77,STD-1391,2,2
FMCS_IS_COVERAGE,,,78,STD-13983,2,2
FMCS_IS_COVERAGE,,,79,STD-14246,9,9
FMCS_IS_COVERAGE,,,80,STD-14246,18,18
FMCS_IS_COVERAGE,,,81,STD-14255,1,1
FMCS_IS_COVERAGE,,,82,STD-14261,2,2
FMCS_IS_COVERAGE,,,83,STD-14268,3,3
FMCS_IS_COVERAGE,,,84,STD-14399,1,1
FMCS_IS_COVERAGE,,,85,STD-14407,8,8
FMCS_IS_COVERAGE,,,86,STD-14433,2,2
FMCS_IS_COVERAGE,,,87,STD-14434,19,20
FMCS_IS_COVERAGE,,,88,STD-14490,1,1
FMCS_IS_COVERAGE,,,89,STD-14490,5,5
FMCS_IS_COVERAGE,,,90,STD-14543,1,1
FMCS_IS_COVERAGE,,,91,STD-14625,12,12
FMCS_IS_COVERAGE,,,92,STD-14650,34,37
FMCS_IS_COVERAGE,,,93,STD-1466,3,3
FMCS_IS_COVERAGE,,,94,STD-1470,1,1
FMCS_IS_COVERAGE,,,95,STD-14707,4,4
FMCS_IS_COVERAGE,,,96,STD-14708,4,4
FMCS_IS_COVERAGE,,,97,STD-14708,1,1
FMCS_IS_COVERAGE,,,98,STD-14709,7,7
FMCS_IS_COVERAGE,,,99,STD-14709,2,2
FMCS_IS_COVERAGE,,,100,STD-1470,1,1
FMCS_IS_COVERAGE,,,101,STD-14735,1,1
FMCS_IS_COVERAGE,,,102,STD-14756,1,1
FMCS_IS_COVERAGE,,,103,STD-14756,14,14
FMCS_IS_COVERAGE,,,104,STD-14772,1,1
FMCS_IS_COVERAGE,,,105,STD-14862,3,3
FMCS_IS_COVERAGE,,,106,STD-1489,26,26
FMCS_IS_COVERAGE,,,107,STD-14900,14,14
FMCS_IS_COVERAGE,,,108,STD-14912,5,5
FMCS_IS_COVERAGE,,,109,STD-15030,2,2
FMCS_IS_COVERAGE,,,110,STD-15030,11,12
FMCS_IS_COVERAGE,,,111,STD-15354-P1,1,1
FMCS_IS_COVERAGE,,,112,STD-15391,1,1
FMCS_IS_COVERAGE,,,113,STD-15392,3,3
FMCS_IS_COVERAGE,,,114,STD-1545,2,2
FMCS_IS_COVERAGE,,,115,STD-1554,4,4
FMCS_IS_COVERAGE,,,116,STD-15623,2,2
FMCS_IS_COVERAGE,,,117,STD-15627,7,7
FMCS_IS_COVERAGE,,,118,STD-15627,5,5
FMCS_IS_COVERAGE,,,119,STD-15633,45,48
FMCS_IS_COVERAGE,,,120,STD-15633,29,32
FMCS_IS_COVERAGE,,,121,STD-15636,11,11
FMCS_IS_COVERAGE,,,122,STD-15636,13,13
FMCS_IS_COVERAGE,,,123,STD-15644,15,15
FMCS_IS_COVERAGE,,,124,STD-15658,1,1
FMCS_IS_COVERAGE,,,125,STD-15768,1,1
FMCS_IS_COVERAGE,,,126,STD-15769,8,8
FMCS_IS_COVERAGE,,,127,STD-15778,2,2
FMCS_IS_COVERAGE,,,128,STD-15787,1,1
FMCS_IS_COVERAGE,,,129,STD-15844-P1,190,194
FMCS_IS_COVERAGE,,,130,STD-15844-P2,59,59
FMCS_IS_COVERAGE,,,131,STD-15844-P3,27,27
FMCS_IS_COVERAGE,,,132,STD-15844,2,2
FMCS_IS_COVERAGE,,,133,STD-15895,2,2
