canonical_entity,canonical_entity_id,source_sheet,source_row,source_document_ids,title,document_type,canonical_is_number,product_name,related_scheme_text,related_qco_text,version,notification_date,effective_date,source_url,download_url,local_path,sha256,page_count,access_type,license_access_restriction
DOCUMENT,DOC-00015,,2,DOC-FMCS-FORM-V-APPLICATION,Application for grant of licence (Form V),Application Form,NULL,NULL,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",NULL,NULL,NULL,NULL,https://www.bis.gov.in/fmcs/forms-and-formats/?lang=en,https://www.bis.gov.in/wp-content/uploads/2019/04/Application-Form-V.pdf,NULL,3d15850b2863091ffe20a18183ca33332ded340c30fe3b6b57c3cf5a499c69a7,2,ACCESSIBLE_NOT_DOWNLOADED,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DOCUMENT,DOC-00006,,3,DOC-FMCS-FORM-VI-AIR-NOMINATION,Nomination of Authorized Indian Representative (AIR) - Form VI,FMCS Form,NULL,NULL,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",NULL,NULL,NULL,NULL,https://www.bis.gov.in/fmcs/certification-process/nomination-of-air/?lang=en,https://www.bis.gov.in/wp-content/uploads/2019/04/AIR1-Form-VI.pdf,NULL,9a54cdabe41f30ce52859eaa7b65f41bb6c62031bc60abd8153bc0356523a221,1,ACCESSIBLE_NOT_DOWNLOADED,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DOCUMENT,DOC-00015,,4,DOC-FMCS-NOMINATION-FORM,Form for Nomination,FMCS Form,NULL,NULL,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",NULL,NULL,NULL,NULL,https://www.bis.gov.in/fmcs/forms-and-formats/?lang=en,https://www.bis.gov.in/wp-content/uploads/2018/11/FormforNomination.pdf,NULL,4cd322f2e886902d822522de29fb3e39184f0d8c8f6e5e3c225c19fb67065563,1,ACCESSIBLE_NOT_DOWNLOADED,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DOCUMENT,DOC-00015,,5,DOC-FMCS-FORM-IX-AGREEMENT,Agreement (Form IX),Official licence-related document,NULL,NULL,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",NULL,NULL,NULL,NULL,https://www.bis.gov.in/fmcs/forms-and-formats/?lang=en,https://www.bis.gov.in/wp-content/uploads/2018/11/agreementFormIX.pdf,NULL,1651189cd163e28516db421eee856d7b84004ee1628a4f6c007c8f47dbc592b2,6,ACCESSIBLE_NOT_DOWNLOADED,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DOCUMENT,DOC-00015,,6,DOC-FMCS-FORM-X-INDEMNITY-BOND,Indemnity Bond (Form X),Official licence-related document,NULL,NULL,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",NULL,NULL,NULL,NULL,https://www.bis.gov.in/fmcs/forms-and-formats/?lang=en,https://www.bis.gov.in/wp-content/uploads/2018/11/IndemnityBondformX-1.pdf,NULL,f4f1557c84c35a10cf2e698bd752dbd49e9cba4efdb81ac45c7f88b6f2913412,1,ACCESSIBLE_NOT_DOWNLOADED,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DOCUMENT,DOC-00015,,7,DOC-FMCS-FORM-XI-PBG,Performance Bank Guarantee (PBG) - Form XI,Official licence-related document,NULL,NULL,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",NULL,NULL,NULL,NULL,https://www.bis.gov.in/fmcs/forms-and-formats/?lang=en,https://www.bis.gov.in/wp-content/uploads/2018/11/PerformanceBankGuaranteePBGFormXI-1.pdf,NULL,02970432149692f63050af12627b71b3161dac648fd536220d8dbfddfe81f9d6,2,ACCESSIBLE_NOT_DOWNLOADED,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DOCUMENT,DOC-00018,,8,DOC-FMCS-FORM-XII-RENEWAL,Renewal Application (Form XII),FMCS Form,NULL,NULL,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",NULL,NULL,NULL,NULL,https://www.bis.gov.in/fmcs/renewal-of-licence/?lang=en,https://www.bis.gov.in/wp-content/uploads/2019/03/Renewal-application-Form-XII.pdf,NULL,7ddb94bdcce7515ef880142aad0cbe49278475042136a13291e12e17783865d0,2,ACCESSIBLE_NOT_DOWNLOADED,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DOCUMENT,DOC-00015,,9,DOC-FMCS-FORM-I-MANUFACTURING-MACHINERY,Manufacturing Machinery (Form I),FMCS Form,NULL,NULL,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",NULL,NULL,NULL,NULL,https://www.bis.gov.in/fmcs/forms-and-formats/?lang=en,https://www.bis.gov.in/wp-content/uploads/2018/11/ManufactureMachineryFormI.pdf,NULL,9ba2e3b36448f2e90cef901a5e31ec53fc092870397b217332500b319389a805,2,ACCESSIBLE_NOT_DOWNLOADED,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DOCUMENT,DOC-00015,,10,DOC-FMCS-FORM-II-TEST-EQUIPMENT,Test Equipments (Form II),FMCS Form,NULL,NULL,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",NULL,NULL,NULL,NULL,https://www.bis.gov.in/fmcs/forms-and-formats/?lang=en,https://www.bis.gov.in/wp-content/uploads/2018/11/TestEquipmentsFormII.pdf,NULL,d2b6c830baef3ad8a2685e0fb3046b8c69cf89762c09ad42edd8c578ff6addda,3,ACCESSIBLE_NOT_DOWNLOADED,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DOCUMENT,DOC-00015,,11,DOC-FMCS-FORM-IV-TEST-REPORT-FORMAT,Format for Test Report (Form IV),FMCS Form,NULL,NULL,"FMCS - Scheme-I (BIS (Conformity Assessment) Regulations, 2018)",NULL,NULL,NULL,NULL,https://www.bis.gov.in/fmcs/forms-and-formats/?lang=en,https://www.bis.gov.in/wp-content/uploads/2018/11/FormatForTestReportFormIV.pdf,NULL,1decda622048d7d9849b4a754f3423a3b6ea379b69ba3151b2268d23dfc8bc40,1,ACCESSIBLE_NOT_DOWNLOADED,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
