canonical_entity,canonical_entity_id,source_sheet,source_row,source_url,document_type,title,http_status,content_type,bytes,last_modified,sha256,dedup_status,source_document_ids,retrieved_at,notes
DOCUMENT,DOC-00045,,2,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,OFFICIAL_DATABASE,All FMCS list,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,Client-side jQuery DataTable; entire result set (3135 rows) delivered in one HTML response; BIS banner states Total Number of Records : 3135
DOCUMENT,DOC-00001,,3,https://www.bis.gov.in/fmcs/?lang=en,OFFICIAL_WEBPAGE,FMCS landing page,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,Root of the FMCS section; ?lang=en required because /fmcs/ redirects to ?lang=hi
DOCUMENT,DOC-00014,,4,https://www.bis.gov.in/fmcs/fmcs-overview/?lang=en,OFFICIAL_WEBPAGE,Overview - FMCS,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,NULL
DOCUMENT,DOC-00002,,5,https://www.bis.gov.in/fmcs/certification-process/aboutfmcs/?lang=en,OFFICIAL_WEBPAGE,About FMCS,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,NULL
DOCUMENT,DOC-00008,,6,https://www.bis.gov.in/fmcs/certification-process/products-under-fmcs/?lang=en,OFFICIAL_WEBPAGE,Products under FMCS,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,"States licence can be granted for all products for which an Indian Standard exists and is amenable to certification, except Electronics & IT products notified under CRS. Last Updated on November 21, 2025"
DOCUMENT,DOC-00003,,7,https://www.bis.gov.in/fmcs/certification-process/bis-standard-mark/?lang=en,OFFICIAL_WEBPAGE,BIS Standard Mark,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,NULL
DOCUMENT,DOC-00009,,8,https://www.bis.gov.in/fmcs/certification-process/who-can-apply/?lang=en,OFFICIAL_WEBPAGE,Who can apply,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,"Source of eligibility, machinery_requirements, testing_facilities, competent_personnel. Last Updated on December 23, 2025"
DOCUMENT,DOC-00005,,9,https://www.bis.gov.in/fmcs/certification-process/how-to-apply/?lang=en,OFFICIAL_WEBPAGE,How to apply,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,"Source of application_requirements. Last Updated on May 12, 2026"
DOCUMENT,DOC-00006,,10,https://www.bis.gov.in/fmcs/certification-process/nomination-of-air/?lang=en,OFFICIAL_WEBPAGE,Nomination of AIR,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,Source of AIR field; contains lettered clauses a) to e)
DOCUMENT,DOC-00004,,11,https://www.bis.gov.in/fmcs/certification-process/grant-of-licence/?lang=en,OFFICIAL_WEBPAGE,Grant of Licence,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,"Source of fees field and licence duration statement. Last Updated on January 14, 2021"
DOCUMENT,DOC-00007,,12,https://www.bis.gov.in/fmcs/certification-process/operation-of-licence/?lang=en,OFFICIAL_WEBPAGE,Operation of Licence,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,"Retrieved on retry attempt 1 after one transient Failed to fetch. Last Updated on January 14, 2021"
DOCUMENT,DOC-00016,,13,https://www.bis.gov.in/fmcs/inclusion-of-new-varieties/?lang=en,OFFICIAL_WEBPAGE,Inclusion of new varieties,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,NULL
DOCUMENT,DOC-00018,,14,https://www.bis.gov.in/fmcs/renewal-of-licence/?lang=en,OFFICIAL_WEBPAGE,Renewal of Licence,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,NULL
DOCUMENT,DOC-00015,,15,https://www.bis.gov.in/fmcs/forms-and-formats/?lang=en,OFFICIAL_WEBPAGE,Forms & Formats,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,Principal index of FMCS forms
DOCUMENT,DOC-00013,,16,https://www.bis.gov.in/fmcs/fmcs-laboratories/?lang=en,OFFICIAL_WEBPAGE,FMCS Laboratories,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,NULL
DOCUMENT,DOC-00017,,17,https://www.bis.gov.in/fmcs/licensee/?lang=en,OFFICIAL_WEBPAGE,Licensee,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,Links to the All FMCS list database
DOCUMENT,DOC-00012,,18,https://www.bis.gov.in/fmcs/fmcs-fee/?lang=en,OFFICIAL_WEBPAGE,Fee - FMCS,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,"States: For details of Fee Structure, Click here (size - 129 KB). 129 KB corroborates LIST-OF-FEE-3.pdf at 131900 bytes. Last Updated on November 21, 2025"
DOCUMENT,DOC-00011,,19,https://www.bis.gov.in/fmcs/fmcs-faqs/?lang=en,OFFICIAL_WEBPAGE,FMCS FAQ,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,NULL
DOCUMENT,DOC-00010,,20,https://www.bis.gov.in/fmcs/fmcs-contact-us/?lang=en,OFFICIAL_WEBPAGE,Contact us - FMCS,200,text/html,NULL,NULL,NULL,PRIMARY,NULL,2026-08-31,NULL
DOCUMENT,DOC-00039,,21,https://www.bis.gov.in/wp-content/uploads/2019/04/Application-Form-V.pdf,OFFICIAL_DOCUMENT,Application for grant of licence (Form V),200,application/pdf,910009,"Mon, 29 Jun 2026 12:27:55 GMT",3d15850b2863091ffe20a18183ca33332ded340c30fe3b6b57c3cf5a499c69a7,CANONICAL,DOC-FMCS-FORM-V-APPLICATION,2026-08-31,"PDF 1.7, 2 pages"
DOCUMENT,DOC-00023,,22,https://www.bis.gov.in/wp-content/uploads/2018/11/ApplicationFormV.pdf,OFFICIAL_DOCUMENT,Application Form V (duplicate URL),200,application/pdf,910009,"Mon, 29 Jun 2026 12:27:55 GMT",3d15850b2863091ffe20a18183ca33332ded340c30fe3b6b57c3cf5a499c69a7,DUPLICATE_BYTE_IDENTICAL,DOC-FMCS-FORM-V-APPLICATION,2026-08-31,"Retrieved on attempt 2. Byte-identical to 2019/04/Application-Form-V.pdf - proven by SHA-256, not by filename"
DOCUMENT,DOC-00038,,23,https://www.bis.gov.in/wp-content/uploads/2019/04/AIR1-Form-VI.pdf,OFFICIAL_DOCUMENT,Nomination of AIR - Form VI,200,application/pdf,8754,"Mon, 29 Jun 2026 12:27:55 GMT",9a54cdabe41f30ce52859eaa7b65f41bb6c62031bc60abd8153bc0356523a221,CANONICAL,DOC-FMCS-FORM-VI-AIR-NOMINATION,2026-08-31,"PDF 1.5, 1 page"
