relationship_id,is_id,canonical_is_number,entity_type,entity_id,entity_label,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-IS_ENT-0000001,STD-00553,IS 15820,FAQ,FAQ-00101,What is hallmarking?,REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,49,1.00,
REL-IS_ENT-0000002,STD-00349,IS 1417,FAQ,FAQ-00121,Which precious metals are currently covered by hallmarking in India?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,50,1.00,
REL-IS_ENT-0000003,STD-00960,IS 2112,FAQ,FAQ-00121,Which precious metals are currently covered by hallmarking in India?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,50,1.00,
REL-IS_ENT-0000004,STD-00349,IS 1417,FAQ,FAQ-00119,Which Indian Standards apply to hallmarking?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,51,1.00,
REL-IS_ENT-0000005,STD-00960,IS 2112,FAQ,FAQ-00119,Which Indian Standards apply to hallmarking?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,51,1.00,
REL-IS_ENT-0000006,STD-00553,IS 15820,FAQ,FAQ-00119,Which Indian Standards apply to hallmarking?,REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,51,1.00,
REL-IS_ENT-0000007,STD-00350,IS 1418,FAQ,FAQ-00119,Which Indian Standards apply to hallmarking?,REFERENCED_BY,related_is_text,related_is_text,IS 1418,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,51,1.00,
REL-IS_ENT-0000008,STD-00961,IS 2113,FAQ,FAQ-00119,Which Indian Standards apply to hallmarking?,REFERENCED_BY,related_is_text,related_is_text,IS 2113,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,51,1.00,
REL-IS_ENT-0000009,STD-00753,IS 17278,FAQ,FAQ-00119,Which Indian Standards apply to hallmarking?,REFERENCED_BY,related_is_text,related_is_text,IS 17278,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,51,1.00,
REL-IS_ENT-0000010,STD-00349,IS 1417,FAQ,FAQ-00118,Which gold grades can be hallmarked?,REFERENCED_BY,related_is_text,related_is_text,IS 1417:2016,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,52,1.00,
REL-IS_ENT-0000011,STD-00960,IS 2112,FAQ,FAQ-00122,Which silver grades can be hallmarked?,REFERENCED_BY,related_is_text,related_is_text,IS 2112:2014,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,53,1.00,
REL-IS_ENT-0000012,STD-00349,IS 1417,FAQ,FAQ-00084,What benefit does hallmarked jewellery provide to a customer?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,55,1.00,
REL-IS_ENT-0000013,STD-00960,IS 2112,FAQ,FAQ-00084,What benefit does hallmarked jewellery provide to a customer?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,55,1.00,
REL-IS_ENT-0000014,STD-00349,IS 1417,FAQ,FAQ-00036,How does BIS registration/certification benefit a jeweller?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,56,1.00,
REL-IS_ENT-0000015,STD-00960,IS 2112,FAQ,FAQ-00036,How does BIS registration/certification benefit a jeweller?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,56,1.00,
REL-IS_ENT-0000016,STD-00349,IS 1417,FAQ,FAQ-00102,What is HUID?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,57,1.00,
REL-IS_ENT-0000017,STD-00349,IS 1417,FAQ,FAQ-00090,What does a hallmark on gold jewellery consist of?,REFERENCED_BY,related_is_text,related_is_text,IS 1417:2016,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,58,1.00,
REL-IS_ENT-0000018,STD-00553,IS 15820,FAQ,FAQ-00125,Who operates India's Hallmarking Scheme?,REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,59,1.00,
REL-IS_ENT-0000019,STD-00349,IS 1417,FAQ,FAQ-00079,What are the current hallmarking charges for gold?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,60,1.00,
REL-IS_ENT-0000020,STD-00960,IS 2112,FAQ,FAQ-00080,What are the current hallmarking charges for silver?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,61,1.00,
REL-IS_ENT-0000021,STD-00349,IS 1417,FAQ,FAQ-00025,Do hallmarking charges include making charges or wastage?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,62,1.00,
REL-IS_ENT-0000022,STD-00960,IS 2112,FAQ,FAQ-00025,Do hallmarking charges include making charges or wastage?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,62,1.00,
REL-IS_ENT-0000023,STD-00349,IS 1417,FAQ,FAQ-00001,Are hallmarking charges based on jewellery weight?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,63,1.00,
REL-IS_ENT-0000024,STD-00960,IS 2112,FAQ,FAQ-00001,Are hallmarking charges based on jewellery weight?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,63,1.00,
REL-IS_ENT-0000025,STD-00349,IS 1417,FAQ,FAQ-00078,Should a customer take an authentic bill/invoice for hallmarked jewellery?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,64,1.00,
REL-IS_ENT-0000026,STD-00960,IS 2112,FAQ,FAQ-00078,Should a customer take an authentic bill/invoice for hallmarked jewellery?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,64,1.00,
REL-IS_ENT-0000027,STD-00349,IS 1417,FAQ,FAQ-00088,What details should be included in the jewellery bill?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,65,1.00,
REL-IS_ENT-0000028,STD-00960,IS 2112,FAQ,FAQ-00088,What details should be included in the jewellery bill?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,65,1.00,
REL-IS_ENT-0000029,STD-00349,IS 1417,FAQ,FAQ-00107,What should a customer look for at a jewellery shop?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,66,1.00,
REL-IS_ENT-0000030,STD-00960,IS 2112,FAQ,FAQ-00107,What should a customer look for at a jewellery shop?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,66,1.00,
REL-IS_ENT-0000031,STD-00553,IS 15820,FAQ,FAQ-00087,What control does BIS exercise over jewellers and A&H Centres?,REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,67,1.00,
REL-IS_ENT-0000032,STD-00349,IS 1417,FAQ,FAQ-00091,What hallmark sizes are permitted?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,68,1.00,
REL-IS_ENT-0000033,STD-00960,IS 2112,FAQ,FAQ-00091,What hallmark sizes are permitted?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,68,1.00,
REL-IS_ENT-0000034,STD-00349,IS 1417,FAQ,FAQ-00048,Must both articles in a pair be hallmarked?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,69,1.00,
REL-IS_ENT-0000035,STD-00960,IS 2112,FAQ,FAQ-00048,Must both articles in a pair be hallmarked?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,69,1.00,
REL-IS_ENT-0000036,STD-00349,IS 1417,FAQ,FAQ-00049,Must detachable parts of jewellery be hallmarked?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,70,1.00,
REL-IS_ENT-0000037,STD-00960,IS 2112,FAQ,FAQ-00049,Must detachable parts of jewellery be hallmarked?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,70,1.00,
