relationship_id,is_id,canonical_is_number,fmcs_id,cml_licence_no,manufacturer_name,country,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-IS_FMC-0000001,STD-00957,IS 21,FMCS-02535,,Meyer Aluminium (Thailand) Co. Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 21 : 1992,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,2,1.00,
REL-IS_FMC-0000002,STD-01043,IS 27,FMCS-02899,,"Korea Zinc Co., Ltd. Onsan Complex",,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 27:2023,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,3,1.00,
REL-IS_FMC-0000003,STD-01041,IS 269,FMCS-00021,,Crown Cement PLC,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,4,1.00,
REL-IS_FMC-0000004,STD-01041,IS 269,FMCS-00023,,D.G. Khan Cement Company Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,5,1.00,
REL-IS_FMC-0000005,STD-01041,IS 269,FMCS-00025,,Power Cement Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,6,1.00,
REL-IS_FMC-0000006,STD-01041,IS 269,FMCS-00039,,Unique Cement Industries Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,7,1.00,
REL-IS_FMC-0000007,STD-01041,IS 269,FMCS-00077,,Gharibwal Cement Ltd,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,8,1.00,
REL-IS_FMC-0000008,STD-01041,IS 269,FMCS-00095,,Premier Cement Mills PLC,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,9,1.00,
REL-IS_FMC-0000009,STD-01041,IS 269,FMCS-00096,,Seven Circle(bangladesh) Ltd,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,10,1.00,
REL-IS_FMC-0000010,STD-01041,IS 269,FMCS-00098,,Sharjah Cement Factory,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,11,1.00,
REL-IS_FMC-0000011,STD-01041,IS 269,FMCS-00144,,Attock Cement Pakistan Limited,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,12,1.00,
REL-IS_FMC-0000012,STD-01041,IS 269,FMCS-00179,,Dungsam Cement Corporation Limited,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,13,1.00,
REL-IS_FMC-0000013,STD-01041,IS 269,FMCS-00551,,D.G Khan Cement Company Limited,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,14,1.00,
REL-IS_FMC-0000014,STD-01041,IS 269,FMCS-00537,,Union Cement Company,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,15,1.00,
REL-IS_FMC-0000015,STD-01041,IS 269,FMCS-00756,,Palpa Cement Industries Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,16,1.00,
REL-IS_FMC-0000016,STD-01041,IS 269,FMCS-00797,,Arghakhanchi Cement Ltd,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,17,1.00,
REL-IS_FMC-0000017,STD-01041,IS 269,FMCS-00925,,JEBEL ALI CEMENT FACTORY,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,18,1.00,
