relationship_id,is_id,canonical_is_number,manual_id,manual_title,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-IS_PRO-0000001,STD-00807,IS 17631,PM-00016,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 17631,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,2,1.00,
REL-IS_PRO-0000002,STD-00808,IS 17632,PM-00017,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 17632,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,3,1.00,
REL-IS_PRO-0000003,STD-00809,IS 17633,PM-00018,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 17633,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,4,1.00,
REL-IS_PRO-0000004,STD-00810,IS 17634,PM-00019,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 17634,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,5,1.00,
REL-IS_PRO-0000005,STD-00811,IS 17635,PM-00020,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 17635,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,6,1.00,
REL-IS_PRO-0000006,STD-00812,IS 17636,PM-00021,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 17636,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,7,1.00,
REL-IS_PRO-0000007,STD-00982,IS 2347,PM-00025,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 2347,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,8,1.00,
REL-IS_PRO-0000008,STD-00194,IS 12330,PM-00001,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 12330,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,9,1.00,
REL-IS_PRO-0000009,STD-00214,IS 12600,PM-00002,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 12600,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,10,1.00,
REL-IS_PRO-0000010,STD-00444,IS 1489 (Part 1),PM-00003,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 1489 (Part 1),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,11,1.00,
