relationship_id,is_id,canonical_is_number,product_id,product_name,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-IS_PRO-0000001,STD-01756,IS/IEC 62368 (Part 1),PROD-00091,Electronic Games (Video),COVERS,product_name,product_name,Electronic Games (Video),,F001,05_scheme_ii.csv,,2,1.00,
REL-IS_PRO-0000002,STD-01756,IS/IEC 62368 (Part 1),PROD-00115,Laptop/Notebook/Tablets,COVERS,product_name,product_name,Laptop/Notebook/Tablets,,F001,05_scheme_ii.csv,,3,1.00,
REL-IS_PRO-0000003,STD-01756,IS/IEC 62368 (Part 1),PROD-00143,Plasma/LCD/LED Televisions of screen size 32″ & above,COVERS,product_name,product_name,Plasma/LCD/LED Televisions of screen size 32″ & above,,F001,05_scheme_ii.csv,,4,1.00,
REL-IS_PRO-0000004,STD-01756,IS/IEC 62368 (Part 1),PROD-00130,Optical Disc Players with built in amplifiers of input power 200W and above,COVERS,product_name,product_name,Optical Disc Players with built in amplifiers of input power 200W and above,,F001,05_scheme_ii.csv,,5,1.00,
REL-IS_PRO-0000005,STD-01091,IS 302 (Part 2),PROD-00127,Microwave Ovens,COVERS,product_name,product_name,Microwave Ovens,,F001,05_scheme_ii.csv,,6,1.00,
REL-IS_PRO-0000006,STD-01756,IS/IEC 62368 (Part 1),PROD-00300,"Visual Display Units, Video Monitors of screen size 32″ & above",COVERS,product_name,product_name,"Visual Display Units, Video Monitors of screen size 32″ & above",,F001,05_scheme_ii.csv,,7,1.00,
REL-IS_PRO-0000007,STD-01756,IS/IEC 62368 (Part 1),PROD-00164,"Printers, Plotters",COVERS,product_name,product_name,"Printers, Plotters",,F001,05_scheme_ii.csv,,8,1.00,
REL-IS_PRO-0000008,STD-01756,IS/IEC 62368 (Part 1),PROD-00229,Scanners,COVERS,product_name,product_name,Scanners,,F001,05_scheme_ii.csv,,9,1.00,
REL-IS_PRO-0000009,STD-01756,IS/IEC 62368 (Part 1),PROD-00308,Wireless Keyboards,COVERS,product_name,product_name,Wireless Keyboards,,F001,05_scheme_ii.csv,,10,1.00,
REL-IS_PRO-0000010,STD-01756,IS/IEC 62368 (Part 1),PROD-00288,Telephone Answering Machines,COVERS,product_name,product_name,Telephone Answering Machines,,F001,05_scheme_ii.csv,,11,1.00,
