relationship_id,is_id,canonical_is_number,qco_id,qco_number,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-IS_QCO-0000001,STD-00807,IS 17631,QCO-00052,No. t stated,MANDATES,related_is_text,related_is_text,IS 17631:2022,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,2,1.00,
REL-IS_QCO-0000002,STD-00808,IS 17632,QCO-00052,No. t stated,MANDATES,related_is_text,related_is_text,IS 17632:2022,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,3,1.00,
REL-IS_QCO-0000003,STD-00809,IS 17633,QCO-00052,No. t stated,MANDATES,related_is_text,related_is_text,IS 17633:2022,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,4,1.00,
REL-IS_QCO-0000004,STD-00810,IS 17634,QCO-00052,No. t stated,MANDATES,related_is_text,related_is_text,IS 17634:2022,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,5,1.00,
REL-IS_QCO-0000005,STD-00811,IS 17635,QCO-00052,No. t stated,MANDATES,related_is_text,related_is_text,IS 17635:2022,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,6,1.00,
REL-IS_QCO-0000006,STD-00812,IS 17636,QCO-00052,No. t stated,MANDATES,related_is_text,related_is_text,IS 17636:2022,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,7,1.00,
REL-IS_QCO-0000007,STD-00982,IS 2347,QCO-00052,No. t stated,MANDATES,related_is_text,related_is_text,IS 2347:2023,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,8,1.00,
REL-IS_QCO-0000008,STD-00194,IS 12330,QCO-00052,No. t stated,MANDATES,related_is_text,related_is_text,IS 12330:1998,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,9,1.00,
REL-IS_QCO-0000009,STD-00214,IS 12600,QCO-00052,No. t stated,MANDATES,related_is_text,related_is_text,IS 12600:1989,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,10,1.00,
REL-IS_QCO-0000010,STD-00444,IS 1489 (Part 1),QCO-00052,No. t stated,MANDATES,related_is_text,related_is_text,IS 1489 (Part 1):2015,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,11,1.00,
REL-IS_QCO-0000011,STD-00445,IS 1489 (Part 2),QCO-00052,No. t stated,MANDATES,related_is_text,related_is_text,IS 1489 (Part 2):2015,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,12,1.00,
REL-IS_QCO-0000012,STD-01041,IS 269,QCO-00052,No. t stated,MANDATES,related_is_text,related_is_text,IS 269:2015,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,13,1.00,
REL-IS_QCO-0000013,STD-01273,IS 455,QCO-00052,No. t stated,MANDATES,related_is_text,related_is_text,IS 455:2015,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,14,1.00,
