relationship_id,is_id,canonical_is_number,related_is_id,related_canonical_is_number,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-IS_REL-0000046,STD-00982,IS 2347,STD-00982,IS 2347,SUPERSEDES,superseded_standard,superseded_standard,IS 2347:2017,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,8,1.00,
REL-IS_REL-0000047,STD-00194,IS 12330,STD-00194,IS 12330,SUPERSEDES,superseded_standard,superseded_standard,IS 12330:1987,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,9,1.00,
REL-IS_REL-0000048,STD-00214,IS 12600,STD-00214,IS 12600,SUPERSEDES,superseded_standard,superseded_standard,IS 12600:1988,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,10,1.00,
REL-IS_REL-0000049,STD-00444,IS 1489 (Part 1),STD-00444,IS 1489 (Part 1),SUPERSEDES,superseded_standard,superseded_standard,IS 1489 (Part 1):1991,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,11,1.00,
REL-IS_REL-0000050,STD-00445,IS 1489 (Part 2),STD-00445,IS 1489 (Part 2),SUPERSEDES,superseded_standard,superseded_standard,IS 1489 (Part 2):1991,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,12,1.00,
REL-IS_REL-0000051,STD-01041,IS 269,STD-01041,IS 269,SUPERSEDES,superseded_standard,superseded_standard,IS 269:1989,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,13,1.00,
REL-IS_REL-0000052,STD-01041,IS 269,STD-01580,IS 8112,SUPERSEDES,superseded_standard,superseded_standard,IS 8112:1989,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,13,1.00,
REL-IS_REL-0000053,STD-01041,IS 269,STD-00192,IS 12269,SUPERSEDES,superseded_standard,superseded_standard,IS 12269:1987,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,13,1.00,
REL-IS_REL-0000054,STD-01273,IS 455,STD-01273,IS 455,SUPERSEDES,superseded_standard,superseded_standard,IS 455:1989,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,14,1.00,
REL-IS_REL-0000055,STD-01569,IS 8041,STD-01569,IS 8041,SUPERSEDES,superseded_standard,superseded_standard,IS 8041:1978,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,15,1.00,
REL-IS_REL-0000056,STD-01570,IS 8042,STD-01570,IS 8042,SUPERSEDES,superseded_standard,superseded_standard,IS 8042:1989,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,16,1.00,
REL-IS_REL-0000057,STD-01571,IS 8043,STD-01571,IS 8043,SUPERSEDES,superseded_standard,superseded_standard,IS 8043:1978,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,17,1.00,
REL-IS_REL-0000058,STD-01730,IS 9873 (Part 1),STD-01730,IS 9873 (Part 1),SUPERSEDES,superseded_standard,superseded_standard,IS 9873 (Part 1):2012,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,19,1.00,
REL-IS_REL-0000059,STD-01731,IS 9873 (Part 2),STD-01731,IS 9873 (Part 2),SUPERSEDES,superseded_standard,superseded_standard,IS 9873 (Part 2):2012,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,20,1.00,
REL-IS_REL-0000060,STD-01732,IS 9873 (Part 3),STD-01732,IS 9873 (Part 3),SUPERSEDES,superseded_standard,superseded_standard,IS 9873 (Part 3):2012,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,21,1.00,
REL-IS_REL-0000061,STD-01069,IS 2835,STD-01069,IS 2835,SUPERSEDES,superseded_standard,superseded_standard,IS 2835:1977,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,24,1.00,
REL-IS_REL-0000062,STD-01015,IS 2553 (Part 1),STD-01015,IS 2553 (Part 1),SUPERSEDES,superseded_standard,superseded_standard,IS 2553 (Part 1):1990,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,25,1.00,
REL-IS_REL-0000063,STD-01016,IS 2553 (Part 2),STD-01016,IS 2553 (Part 2),SUPERSEDES,superseded_standard,superseded_standard,IS 2553 (Part 2):1992,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,26,1.00,
REL-IS_REL-0000064,STD-01707,IS 9573 (Part 1),STD-01706,IS 9573,SUPERSEDES,superseded_standard,superseded_standard,IS 9573:1998,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,27,1.00,
REL-IS_REL-0000065,STD-01708,IS 9573 (Part 2),STD-01706,IS 9573,SUPERSEDES,superseded_standard,superseded_standard,IS 9573:1998,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,28,1.00,
REL-IS_REL-0000066,STD-00947,IS 2083,STD-00947,IS 2083,SUPERSEDES,superseded_standard,superseded_standard,IS 2083:1991,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,32,1.00,
REL-IS_REL-0000067,STD-01090,IS 302 (Part 1),STD-01090,IS 302 (Part 1),SUPERSEDES,superseded_standard,superseded_standard,IS 302 (Part 1):2008,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,33,1.00,
REL-IS_REL-0000068,STD-00558,IS 15844 (Part 1),STD-00557,IS 15844,SUPERSEDES,superseded_standard,superseded_standard,IS 15844:2010,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,34,1.00,
REL-IS_REL-0000069,STD-00559,IS 15844 (Part 2),STD-00557,IS 15844,SUPERSEDES,superseded_standard,superseded_standard,IS 15844:2010,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,35,1.00,
REL-IS_REL-0000070,STD-00560,IS 15844 (Part 3),STD-00557,IS 15844,SUPERSEDES,superseded_standard,superseded_standard,IS 15844:2010,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,36,1.00,
REL-IS_REL-0000071,STD-00725,IS 17043 (Part 1),STD-00724,IS 17043,SUPERSEDES,superseded_standard,superseded_standard,IS 17043:2018,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,39,1.00,
REL-IS_REL-0000072,STD-00726,IS 17043 (Part 2),STD-00724,IS 17043,SUPERSEDES,superseded_standard,superseded_standard,IS 17043:2018,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,40,1.00,
REL-IS_REL-0000073,STD-00481,IS 15298 (Part 2),STD-00481,IS 15298 (Part 2),SUPERSEDES,superseded_standard,superseded_standard,IS 15298 (Part 2):2011,,F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,41,1.00,
REL-IS_REL-0000074,STD-00982,IS 2347,STD-00982,IS 2347,SUPERSEDES,superseded_standard,superseded_standard,IS 2347:2017,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,8,1.00,
REL-IS_REL-0000075,STD-00194,IS 12330,STD-00194,IS 12330,SUPERSEDES,superseded_standard,superseded_standard,IS 12330:1987,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,9,1.00,
REL-IS_REL-0000076,STD-00214,IS 12600,STD-00214,IS 12600,SUPERSEDES,superseded_standard,superseded_standard,IS 12600:1988,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,10,1.00,
REL-IS_REL-0000077,STD-00444,IS 1489 (Part 1),STD-00444,IS 1489 (Part 1),SUPERSEDES,superseded_standard,superseded_standard,IS 1489 (Part 1):1991,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,11,1.00,
REL-IS_REL-0000078,STD-00445,IS 1489 (Part 2),STD-00445,IS 1489 (Part 2),SUPERSEDES,superseded_standard,superseded_standard,IS 1489 (Part 2):1991,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,12,1.00,
REL-IS_REL-0000079,STD-01041,IS 269,STD-01041,IS 269,SUPERSEDES,superseded_standard,superseded_standard,IS 269:1989,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,13,1.00,
REL-IS_REL-0000080,STD-01041,IS 269,STD-01580,IS 8112,SUPERSEDES,superseded_standard,superseded_standard,IS 8112:1989,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,13,1.00,
REL-IS_REL-0000081,STD-01041,IS 269,STD-00192,IS 12269,SUPERSEDES,superseded_standard,superseded_standard,IS 12269:1987,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,13,1.00,
REL-IS_REL-0000082,STD-01273,IS 455,STD-01273,IS 455,SUPERSEDES,superseded_standard,superseded_standard,IS 455:1989,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,14,1.00,
REL-IS_REL-0000083,STD-01569,IS 8041,STD-01569,IS 8041,SUPERSEDES,superseded_standard,superseded_standard,IS 8041:1978,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,15,1.00,
REL-IS_REL-0000084,STD-01570,IS 8042,STD-01570,IS 8042,SUPERSEDES,superseded_standard,superseded_standard,IS 8042:1989,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,16,1.00,
REL-IS_REL-0000085,STD-01571,IS 8043,STD-01571,IS 8043,SUPERSEDES,superseded_standard,superseded_standard,IS 8043:1978,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,17,1.00,
REL-IS_REL-0000086,STD-01730,IS 9873 (Part 1),STD-01730,IS 9873 (Part 1),SUPERSEDES,superseded_standard,superseded_standard,IS 9873 (Part 1):2012,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,19,1.00,
REL-IS_REL-0000087,STD-01731,IS 9873 (Part 2),STD-01731,IS 9873 (Part 2),SUPERSEDES,superseded_standard,superseded_standard,IS 9873 (Part 2):2012,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,20,1.00,
REL-IS_REL-0000088,STD-01732,IS 9873 (Part 3),STD-01732,IS 9873 (Part 3),SUPERSEDES,superseded_standard,superseded_standard,IS 9873 (Part 3):2012,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,21,1.00,
REL-IS_REL-0000089,STD-01069,IS 2835,STD-01069,IS 2835,SUPERSEDES,superseded_standard,superseded_standard,IS 2835:1977,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,24,1.00,
REL-IS_REL-0000090,STD-01015,IS 2553 (Part 1),STD-01015,IS 2553 (Part 1),SUPERSEDES,superseded_standard,superseded_standard,IS 2553 (Part 1):1990,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,25,1.00,
REL-IS_REL-0000091,STD-01016,IS 2553 (Part 2),STD-01016,IS 2553 (Part 2),SUPERSEDES,superseded_standard,superseded_standard,IS 2553 (Part 2):1992,,F028,BIS_Standards_Details_v2.xlsx,BIS Standards,26,1.00,
