relationship_id,is_id,canonical_is_number,scheme_id,scheme_name,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-IS_SCH-0000001,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,2,1.00,
REL-IS_SCH-0000002,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,3,1.00,
REL-IS_SCH-0000003,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,4,1.00,
REL-IS_SCH-0000004,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,5,1.00,
REL-IS_SCH-0000005,STD-01091,IS 302 (Part 2),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,6,1.00,
REL-IS_SCH-0000006,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,7,1.00,
REL-IS_SCH-0000007,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,8,1.00,
REL-IS_SCH-0000008,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,9,1.00,
REL-IS_SCH-0000009,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,10,1.00,
REL-IS_SCH-0000010,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,11,1.00,
REL-IS_SCH-0000011,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,12,1.00,
REL-IS_SCH-0000012,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,13,1.00,
REL-IS_SCH-0000013,STD-01091,IS 302 (Part 2),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,14,1.00,
REL-IS_SCH-0000014,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,15,1.00,
REL-IS_SCH-0000015,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,16,1.00,
REL-IS_SCH-0000016,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,17,1.00,
REL-IS_SCH-0000017,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,18,1.00,
REL-IS_SCH-0000018,STD-00636,IS 16242 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,19,1.00,
REL-IS_SCH-0000019,STD-00568,IS 15885 (Part 2),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,20,1.00,
REL-IS_SCH-0000020,STD-00593,IS 16046,SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,21,1.00,
REL-IS_SCH-0000021,STD-00610,IS 16102 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,22,1.00,
REL-IS_SCH-0000022,STD-00050,IS 10322 (Part 5),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,23,1.00,
REL-IS_SCH-0000023,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,24,1.00,
REL-IS_SCH-0000024,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,25,1.00,
REL-IS_SCH-0000025,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,26,1.00,
REL-IS_SCH-0000026,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,27,1.00,
REL-IS_SCH-0000027,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,28,1.00,
REL-IS_SCH-0000028,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,29,1.00,
REL-IS_SCH-0000029,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,30,1.00,
REL-IS_SCH-0000030,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,31,1.00,
REL-IS_SCH-0000031,STD-00644,IS 16333 (Part 3),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,32,1.00,
