relationship_id,qco_id,qco_number,product_id,product_name,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-QCO_PR-0000001,QCO-00043,Furniture (Quality Control) Order,PROD-00310,Work Chairs,COVERED_BY,related_qco_text,related_qco_text,Furniture (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,2,1.00,
REL-QCO_PR-0000002,QCO-00043,Furniture (Quality Control) Order,PROD-00106,General Purpose Chairs and Stools,COVERED_BY,related_qco_text,related_qco_text,Furniture (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,3,1.00,
REL-QCO_PR-0000003,QCO-00043,Furniture (Quality Control) Order,PROD-00285,Tables and Desks,COVERED_BY,related_qco_text,related_qco_text,Furniture (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,4,1.00,
REL-QCO_PR-0000004,QCO-00043,Furniture (Quality Control) Order,PROD-00274,Storage Units,COVERED_BY,related_qco_text,related_qco_text,Furniture (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,5,1.00,
REL-QCO_PR-0000005,QCO-00043,Furniture (Quality Control) Order,PROD-00051,Beds,COVERED_BY,related_qco_text,related_qco_text,Furniture (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,6,1.00,
REL-QCO_PR-0000006,QCO-00043,Furniture (Quality Control) Order,PROD-00056,Bunk Beds and High Beds,COVERED_BY,related_qco_text,related_qco_text,Furniture (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,7,1.00,
REL-QCO_PR-0000007,QCO-00013,Domestic Pressure Cooker (Quality Control) Order,PROD-00085,Domestic Pressure Cookers,COVERED_BY,related_qco_text,related_qco_text,Domestic Pressure Cooker (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,8,1.00,
REL-QCO_PR-0000008,QCO-00008,Cement (Quality Control) Order,PROD-00276,Sulfate Resisting Portland Cement,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,9,1.00,
REL-QCO_PR-0000009,QCO-00008,Cement (Quality Control) Order,PROD-00123,Low Heat Portland Cement,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,10,1.00,
REL-QCO_PR-0000010,QCO-00008,Cement (Quality Control) Order,PROD-00150,Portland Pozzolana Cement (Part 1 - Flyash Based),COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,11,1.00,
REL-QCO_PR-0000011,QCO-00008,Cement (Quality Control) Order,PROD-00151,Portland Pozzolana Cement (Part 2 - Calcined Clay Based),COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,12,1.00,
REL-QCO_PR-0000012,QCO-00008,Cement (Quality Control) Order,PROD-00131,Ordinary Portland Cement,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,13,1.00,
REL-QCO_PR-0000013,QCO-00008,Cement (Quality Control) Order,PROD-00158,Portland Slag Cement,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,14,1.00,
REL-QCO_PR-0000014,QCO-00008,Cement (Quality Control) Order,PROD-00168,Rapid Hardening Portland Cement,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,15,1.00,
REL-QCO_PR-0000015,QCO-00008,Cement (Quality Control) Order,PROD-00305,White Portland Cement,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F011,BIS_Products_Details.xlsx,Products_Details,16,1.00,
