relationship_id,qco_id,qco_number,scheme_id,scheme_name,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-QCO_SC-0000001,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,2,1.00,
REL-QCO_SC-0000002,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,3,1.00,
REL-QCO_SC-0000003,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,4,1.00,
REL-QCO_SC-0000004,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,5,1.00,
REL-QCO_SC-0000005,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,6,1.00,
REL-QCO_SC-0000006,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,7,1.00,
REL-QCO_SC-0000007,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,8,1.00,
REL-QCO_SC-0000008,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,9,1.00,
REL-QCO_SC-0000009,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,10,1.00,
REL-QCO_SC-0000010,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,11,1.00,
REL-QCO_SC-0000011,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,12,1.00,
REL-QCO_SC-0000012,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,13,1.00,
REL-QCO_SC-0000013,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,14,1.00,
REL-QCO_SC-0000014,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,15,1.00,
REL-QCO_SC-0000015,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,16,1.00,
REL-QCO_SC-0000016,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,17,1.00,
REL-QCO_SC-0000017,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,18,1.00,
REL-QCO_SC-0000018,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,19,1.00,
REL-QCO_SC-0000019,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,20,1.00,
REL-QCO_SC-0000020,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,21,1.00,
REL-QCO_SC-0000021,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,22,1.00,
REL-QCO_SC-0000022,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,23,1.00,
REL-QCO_SC-0000023,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,24,1.00,
REL-QCO_SC-0000024,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,25,1.00,
REL-QCO_SC-0000025,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,26,1.00,
REL-QCO_SC-0000026,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,27,1.00,
REL-QCO_SC-0000027,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,28,1.00,
REL-QCO_SC-0000028,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,29,1.00,
REL-QCO_SC-0000029,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,30,1.00,
REL-QCO_SC-0000030,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,31,1.00,
REL-QCO_SC-0000031,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,32,1.00,
REL-QCO_SC-0000032,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,33,1.00,
REL-QCO_SC-0000033,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,34,1.00,
REL-QCO_SC-0000034,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,35,1.00,
REL-QCO_SC-0000035,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,36,1.00,
REL-QCO_SC-0000036,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,37,1.00,
REL-QCO_SC-0000037,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,38,1.00,
REL-QCO_SC-0000038,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,39,1.00,
REL-QCO_SC-0000039,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,40,1.00,
REL-QCO_SC-0000040,QCO-00052,No. t stated,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I,,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,41,1.00,
REL-QCO_SC-0000041,QCO-00053,No. tified 13 Feb 2025,SCH-00015,Scheme-I (ISI Mark),ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I (ISI Mark),,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,2,1.00,
REL-QCO_SC-0000042,QCO-00068,S.O. 294(E),SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I,,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,3,1.00,
REL-QCO_SC-0000043,QCO-00067,S.O. 191(E),SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I,,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,4,1.00,
