relationship_id,scheme_id,scheme_name,product_id,product_name,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-SCHEME-0000001,SCH-00015,Scheme-I (ISI Mark),PROD-00310,Work Chairs,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,2,1.00,
REL-SCHEME-0000002,SCH-00015,Scheme-I (ISI Mark),PROD-00106,General Purpose Chairs and Stools,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,3,1.00,
REL-SCHEME-0000003,SCH-00015,Scheme-I (ISI Mark),PROD-00285,Tables and Desks,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,4,1.00,
REL-SCHEME-0000004,SCH-00015,Scheme-I (ISI Mark),PROD-00274,Storage Units,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,5,1.00,
REL-SCHEME-0000005,SCH-00015,Scheme-I (ISI Mark),PROD-00051,Beds,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,6,1.00,
REL-SCHEME-0000006,SCH-00015,Scheme-I (ISI Mark),PROD-00056,Bunk Beds and High Beds,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,7,1.00,
REL-SCHEME-0000007,SCH-00015,Scheme-I (ISI Mark),PROD-00085,Domestic Pressure Cookers,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,8,1.00,
REL-SCHEME-0000008,SCH-00015,Scheme-I (ISI Mark),PROD-00276,Sulfate Resisting Portland Cement,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,9,1.00,
REL-SCHEME-0000009,SCH-00015,Scheme-I (ISI Mark),PROD-00123,Low Heat Portland Cement,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,10,1.00,
REL-SCHEME-0000010,SCH-00015,Scheme-I (ISI Mark),PROD-00150,Portland Pozzolana Cement (Part 1 - Flyash Based),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,11,1.00,
REL-SCHEME-0000011,SCH-00015,Scheme-I (ISI Mark),PROD-00151,Portland Pozzolana Cement (Part 2 - Calcined Clay Based),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,12,1.00,
REL-SCHEME-0000012,SCH-00015,Scheme-I (ISI Mark),PROD-00131,Ordinary Portland Cement,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,13,1.00,
REL-SCHEME-0000013,SCH-00015,Scheme-I (ISI Mark),PROD-00158,Portland Slag Cement,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,14,1.00,
REL-SCHEME-0000014,SCH-00015,Scheme-I (ISI Mark),PROD-00168,Rapid Hardening Portland Cement,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,15,1.00,
