document_provenance_id,document_id,document_type,title,is_id,canonical_is_number,source_url,download_url,local_path,sha256,page_count,http_status,content_type,bytes,last_modified,access_type,parser_status,dedup_status,retrieved_at,chunk_count,evidence_row_count,source_file_id,source_file,source_sheet,source_row,notes
DPR-00001,DOC-00001,OFFICIAL_WEBPAGE,FMCS landing page,,,https://www.bis.gov.in/fmcs/?lang=en,,,,,200,text/html,,,,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:3,
DPR-00002,DOC-00002,OFFICIAL_WEBPAGE,About FMCS,,,https://www.bis.gov.in/fmcs/certification-process/aboutfmcs/?lang=en,,,,,200,text/html,,,,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:5,
DPR-00003,DOC-00003,OFFICIAL_WEBPAGE,Dimensions of ISI Mark,,,https://www.bis.gov.in/fmcs/certification-process/bis-standard-mark/?lang=en,https://www.bis.gov.in/wp-content/uploads/2018/08/Diamensions_of_ISI.pdf,,b1ed9c84b17f41df1fb4ed9ae1040a10b740a1ab3b894fa5d2add3e2beaf8af5,1,200,text/html,,,ACCESSIBLE_NOT_DOWNLOADED,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:7,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DPR-00004,DOC-00004,OFFICIAL_WEBPAGE,Conditions of Licence,,,https://www.bis.gov.in/fmcs/certification-process/grant-of-licence/?lang=en,https://www.bis.gov.in/wp-content/uploads/2018/11/ConditionofLicence.pdf,,6c1c378454232566cac08bc2edebb7ea54a87d9f7c79952e90b46e79372d8dce,1,200,text/html,,,ACCESSIBLE_NOT_DOWNLOADED,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:11,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DPR-00005,DOC-00005,OFFICIAL_WEBPAGE,FMCS Application Submission User Manual,,,https://www.bis.gov.in/fmcs/certification-process/how-to-apply/?lang=en,https://www.bis.gov.in/wp-content/uploads/2018/08/FM_CHECKLIST.pdf,,c24d715422211e0043134a43c2c12568061f2cbd0858660f39e9d3d004289d9f,4,200,text/html,,,ACCESSIBLE_NOT_DOWNLOADED,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:9,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DPR-00006,DOC-00006,OFFICIAL_WEBPAGE,Nomination of Authorized Indian Representative (AIR) - Form VI,,,https://www.bis.gov.in/fmcs/certification-process/nomination-of-air/?lang=en,https://www.bis.gov.in/wp-content/uploads/2019/04/AIR1-Form-VI.pdf,,9a54cdabe41f30ce52859eaa7b65f41bb6c62031bc60abd8153bc0356523a221,1,200,text/html,,,ACCESSIBLE_NOT_DOWNLOADED,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:10,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DPR-00007,DOC-00007,OFFICIAL_WEBPAGE,Operation of Licence,,,https://www.bis.gov.in/fmcs/certification-process/operation-of-licence/?lang=en,,,,,200,text/html,,,,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:12,
DPR-00008,DOC-00008,OFFICIAL_WEBPAGE,Products under FMCS,,,https://www.bis.gov.in/fmcs/certification-process/products-under-fmcs/?lang=en,,,,,200,text/html,,,,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:6,
DPR-00009,DOC-00009,OFFICIAL_WEBPAGE,Who can apply,,,https://www.bis.gov.in/fmcs/certification-process/who-can-apply/?lang=en,,,,,200,text/html,,,,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:8,
DPR-00010,DOC-00010,OFFICIAL_WEBPAGE,Contact us - FMCS,,,https://www.bis.gov.in/fmcs/fmcs-contact-us/?lang=en,,,,,200,text/html,,,,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:20,
DPR-00011,DOC-00011,OFFICIAL_WEBPAGE,FMCS FAQ,,,https://www.bis.gov.in/fmcs/fmcs-faqs/?lang=en,,,,,200,text/html,,,,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:19,
DPR-00012,DOC-00012,OFFICIAL_WEBPAGE,List of Fee (FMCS Fee Structure),,,https://www.bis.gov.in/fmcs/fmcs-fee/?lang=en,https://www.bis.gov.in/wp-content/uploads/2021/06/LIST-OF-FEE-3.pdf,,d44dbe9a38c5c148bca75f1f6935aa7c95fe5b5a3a65582f2fe16bc2b551c19e,2,200,text/html,,,ACCESSIBLE_NOT_DOWNLOADED,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:18,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DPR-00013,DOC-00013,OFFICIAL_WEBPAGE,FMCS Laboratories,,,https://www.bis.gov.in/fmcs/fmcs-laboratories/?lang=en,,,,,200,text/html,,,,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:16,
DPR-00014,DOC-00014,OFFICIAL_WEBPAGE,Overview - FMCS,,,https://www.bis.gov.in/fmcs/fmcs-overview/?lang=en,,,,,200,text/html,,,,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:4,
DPR-00015,DOC-00015,OFFICIAL_WEBPAGE,"Performance Bank Guarantee (PBG) - Form XI - alternate BIS URL, document not served",,,https://www.bis.gov.in/fmcs/forms-and-formats/?lang=en,https://www.bis.gov.in/wp-content/uploads/2019/04/Application-Form-V.pdf,,3d15850b2863091ffe20a18183ca33332ded340c30fe3b6b57c3cf5a499c69a7,2,200,text/html,,,ACCESSIBLE_NOT_DOWNLOADED,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:15,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DPR-00016,DOC-00016,OFFICIAL_WEBPAGE,Prescribed formats for inclusion of new varieties,,,https://www.bis.gov.in/fmcs/inclusion-of-new-varieties/?lang=en,https://www.bis.gov.in/wp-content/uploads/2019/03/Prescribed-formats-for-inclusion-of-new-varieties.pdf,,8a1b663f0c0d52fe0db3ea4ed7b6df184bf4feca76f26009a0abdff207cc14e3,6,200,text/html,,,ACCESSIBLE_NOT_DOWNLOADED,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:13,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DPR-00017,DOC-00017,OFFICIAL_WEBPAGE,Licensee,,,https://www.bis.gov.in/fmcs/licensee/?lang=en,,,,,200,text/html,,,,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:17,
DPR-00018,DOC-00018,OFFICIAL_WEBPAGE,Renewal Application (Form XII),,,https://www.bis.gov.in/fmcs/renewal-of-licence/?lang=en,https://www.bis.gov.in/wp-content/uploads/2019/03/Renewal-application-Form-XII.pdf,,7ddb94bdcce7515ef880142aad0cbe49278475042136a13291e12e17783865d0,2,200,text/html,,,ACCESSIBLE_NOT_DOWNLOADED,,PRIMARY,,,,F044,output__source_inventory.csv,,F044:-:14,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document
DPR-00019,DOC-00019,OFFICIAL_DOCUMENT,Checklist for Application,,,https://www.bis.gov.in/wp-content/uploads/2018/08/Checklist_for_Application.pdf,,,b0b16b0a4142fe538a2b142a6752c202b97f1ac4def0ca211024138f442ee104,,200,application/pdf,104088,"Mon, 29 Jun 2026 12:27:55 GMT",,,CANONICAL,,,,F044,output__source_inventory.csv,,F044:-:40,
DPR-00020,DOC-00020,OFFICIAL_DOCUMENT,Dimensions of ISI Mark,,,https://www.bis.gov.in/wp-content/uploads/2018/08/Diamensions_of_ISI.pdf,,,b1ed9c84b17f41df1fb4ed9ae1040a10b740a1ab3b894fa5d2add3e2beaf8af5,,200,application/pdf,199393,"Mon, 29 Jun 2026 12:27:55 GMT",,,CANONICAL,,,,F044,output__source_inventory.csv,,F044:-:42,
