source_file_id,original_filename,extension,exact_path,source_location,sha256,file_size_bytes,encoding,sheet_name,sheet_count,total_data_rows,total_columns,canonical_target,canonical_dataset,candidate_topic,rows_read,cells_projected,records_canonical,records_merged,records_conflict_preserved,records_requires_review,records_not_applicable,records_accounted,retention_decision,archive_path,structural_issue,analysis_status,modified_time_utc,notes
F001,05_scheme_ii.csv,csv,/sessions/optimistic-gallant-gauss/mnt/SIH-DATASETS-EXCEL-SHEET/05_scheme_ii.csv,workspace,a1d7f20c596ef1b7b7e0b98b964dc617c009a486d632f74aa996568cba6944d8,64256,utf-8,05_SCHEME_II_CRS,1,78,22,STANDARD,MS-11,SCHEME_II_CRS_STANDARD_LISTING,78,1716,26,90,40,0,0,156,KEEP_DISTINCT_ENTITY,,,ANALYZED,2026-09-01T07:01:52Z,"Checked against 06_scheme_iv.csv; 07_scheme_x.csv; BIS_Schemes_Master_Scheme_2.xlsx and cleared as a false duplicate: same keys, different entity identity. Both files are required. | attributes 468, relationships 172, provenance 2195, chunks 0"
F002,06_scheme_iv.csv,csv,/sessions/optimistic-gallant-gauss/mnt/SIH-DATASETS-EXCEL-SHEET/06_scheme_iv.csv,workspace,fbd15b6affd5cab1d45dd9b5618254cb4e07a44a053d3fc60c3a3d30f8c671e4,5817,ascii,06_SCHEME_IV_COC,1,6,23,STANDARD,MS-11,SCHEME_IV_COC_STANDARD_LISTING,6,138,0,4,8,0,0,12,KEEP_DISTINCT_ENTITY,,,ANALYZED,2026-09-01T06:49:03Z,"Checked against 05_scheme_ii.csv; 07_scheme_x.csv and cleared as a false duplicate: same keys, different entity identity. Both files are required. | attributes 42, relationships 18, provenance 138, chunks 0"
F003,07_scheme_x.csv,csv,/sessions/optimistic-gallant-gauss/mnt/SIH-DATASETS-EXCEL-SHEET/07_scheme_x.csv,workspace,2f6ea9b562c7ec4e1420a638f5b6957d7941d6b3360b3c96ecc218798b87e1db,44876,ascii,07_SCHEME_X,1,52,23,STANDARD,MS-11,SCHEME_X_STANDARD_LISTING,52,1196,2,0,64,38,0,104,KEEP_DISTINCT_ENTITY,,,ANALYZED,2026-09-01T06:42:29Z,"Checked against 05_scheme_ii.csv; 06_scheme_iv.csv and cleared as a false duplicate: same keys, different entity identity. Both files are required. | attributes 306, relationships 156, provenance 1260, chunks 0"
F004,17_source_conflicts.csv,csv,/sessions/optimistic-gallant-gauss/mnt/SIH-DATASETS-EXCEL-SHEET/17_source_conflicts.csv,workspace,5a57bdf14dfc54c94a87e04cf6697fc3688ddff392855cc8a58fc11bb6e5df67,1601,ascii,OTHER_RELEVANT,1,2,14,CONFLICT_REGISTER,MS-14,PRE_EXISTING_SOURCE_CONFLICT_LOG,2,28,0,0,2,0,0,2,KEEP_AS_CANONICAL_UNIQUE,,,ANALYZED,2026-09-01T06:49:18Z,"No content link to any other file passed the deep-compare gate: this dataset is unique in the corpus. | attributes 0, relationships 0, provenance 0, chunks 0"
F005,BIS_Combined_Testing_Master.xlsx,xlsx,/sessions/optimistic-gallant-gauss/mnt/SIH-DATASETS-EXCEL-SHEET/BIS_Combined_Testing_Master.xlsx,workspace,35529a83d202de5f76dde2b045b4ba477744e9ba435225b7e5c01ced80fead6a,26235,xlsx,10_TESTING,1,260,12,TEST,MS-13,TEST_METHOD_MASTER,260,3120,380,12,120,8,0,520,KEEP_PENDING_REVIEW,,,ANALYZED,2026-09-01T12:26:42Z,"Participates in 17 compared pairs with no relationship strong enough to establish coverage. Kept until Phase 3 review. | attributes 0, relationships 261, provenance 2860, chunks 0"
F006,BIS_FAQs_Master.xlsx,xlsx,/sessions/optimistic-gallant-gauss/mnt/SIH-DATASETS-EXCEL-SHEET/BIS_FAQs_Master.xlsx,workspace,82543bd4b195d979594e0a9e90ecbeee729ed07d15533a2dfe6a59e8e1c522c9,18951,xlsx,12_CERTIFICATION_FAQ,1,98,10,FAQ,MS-03,GENERAL_FAQ,98,980,196,0,0,0,0,196,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,,,ANALYZED,2026-09-01T12:27:14Z,"Overlaps other files but holds up to 98 records they do not (bis_product_certification_faq (1).csv). Every one of those records must survive the merge. | attributes 390, relationships 72, provenance 499, chunks 0"
F007,BIS_Laboratory_Scopes.xlsx,xlsx,/sessions/optimistic-gallant-gauss/mnt/SIH-DATASETS-EXCEL-SHEET/BIS_Laboratory_Scopes.xlsx,workspace,7ea7a62fc35932480a0d6fb591df99fcdc0d18033a289eb093a7825d92dc7467,11082,xlsx,13_LAB_SERVICES,1,45,12,LAB_SCOPE,MS-07,LAB_TESTING_SCOPE,45,540,45,0,0,0,0,45,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,,,ANALYZED,2026-09-01T12:26:50Z,"Overlaps other files but holds up to 43 records they do not (BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Scheme_1.xlsx …(+7)). Every one of those records must survive the merge. | attributes 0, relationships 105, provenance 0, chunks 0"
F008,BIS_Mandatory_Hallmarking_Orders.xlsx,xlsx,/sessions/optimistic-gallant-gauss/mnt/SIH-DATASETS-EXCEL-SHEET/BIS_Mandatory_Hallmarking_Orders.xlsx,workspace,14adbee3f5abde3945bca4027c2fb91cedbebcc47d12bf84fd3b489c3968d080,8242,xlsx,19_HALLMARKING_ORDERS,1,14,14,LEGAL,MS-06,MANDATORY_HALLMARKING_ORDER,14,196,28,0,0,0,0,28,KEEP_AS_CANONICAL_UNIQUE,,,ANALYZED,2026-09-01T12:27:16Z,"No content link to any other file passed the deep-compare gate: this dataset is unique in the corpus. | attributes 42, relationships 0, provenance 193, chunks 0"
F009,BIS_Notifications_Master.xlsx,xlsx,/sessions/optimistic-gallant-gauss/mnt/SIH-DATASETS-EXCEL-SHEET/BIS_Notifications_Master.xlsx,workspace,bbfe04d01949a678cbc94e430d54df5adaa43393ca4c90492911c0f483ba6c9f,9031,xlsx,16_ACT_RULES_REGULATIONS,1,31,14,NOTIFICATION,MS-08,BIS_NOTIFICATION_MASTER,31,434,56,6,0,0,0,62,KEEP_DISTINCT_ENTITY,,,ANALYZED,2026-09-01T12:27:09Z,"Checked against bis_circulars (1).csv; bis_gazette_notification.csv and cleared as a false duplicate: same keys, different entity identity. Both files are required. | attributes 124, relationships 95, provenance 331, chunks 0"
F010,BIS_Product_Manuals_Master.xlsx,xlsx,/sessions/optimistic-gallant-gauss/mnt/SIH-DATASETS-EXCEL-SHEET/BIS_Product_Manuals_Master.xlsx,workspace,a20efa5909c7bb9f5221f33b0eae4ef1aa7472b7cd2a8e0c6e939b0815c7ee07,13777,xlsx,09_PRODUCT_MANUALS,1,40,20,PRODUCT_MANUAL,MS-02,PRODUCT_MANUAL_MASTER,40,800,80,0,0,0,0,80,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,,,ANALYZED,2026-09-01T12:26:35Z,"Overlaps other files but holds up to 36 records they do not (BIS_Laboratory_Scopes.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records_v3.xlsx …(+10)). Every one of those records must survive the merge. | attributes 541, relationships 80, provenance 345, chunks 133"
