table_name,csv_path,column_count,primary_key,foreign_keys,integer_columns,numeric_columns
is_master,00_MASTER/IS_MASTER.csv,49,is_id,,standard_year;source_file_count;conflict_count;populated_field_count,completeness_pct
product_master,00_MASTER/PRODUCT_MASTER.csv,24,product_id,,source_file_count;conflict_count;populated_field_count,completeness_pct
qco_master,00_MASTER/QCO_MASTER.csv,43,qco_id,,source_file_count;conflict_count;populated_field_count,completeness_pct
scheme_master,00_MASTER/SCHEME_MASTER.csv,33,scheme_id,,source_file_count;conflict_count;populated_field_count,completeness_pct
product_manual_master,00_MASTER/PRODUCT_MANUAL_MASTER.csv,28,pm_id,,source_file_count;conflict_count;populated_field_count,completeness_pct
test_master,00_MASTER/TEST_MASTER.csv,32,test_id,,source_file_count;conflict_count;populated_field_count,completeness_pct
lab_master,00_MASTER/LAB_MASTER.csv,34,lab_id,,source_file_count;conflict_count;populated_field_count,completeness_pct
document_master,00_MASTER/DOCUMENT_MASTER.csv,39,document_id,,page_count;bytes;source_file_count;conflict_count;populated_field_count,completeness_pct
faq_master,00_MASTER/FAQ_MASTER.csv,24,faq_id,,source_file_count;conflict_count;populated_field_count,completeness_pct
notification_master,00_MASTER/NOTIFICATION_MASTER.csv,31,notification_id,,source_file_count;conflict_count;populated_field_count,completeness_pct
legal_master,00_MASTER/LEGAL_MASTER.csv,37,legal_id,,source_file_count;conflict_count;populated_field_count,completeness_pct
hallmarking_master,00_MASTER/HALLMARKING_MASTER.csv,34,hm_id,,source_file_count;conflict_count;populated_field_count,completeness_pct
fmcs_master,00_MASTER/FMCS_MASTER.csv,37,fmcs_id,,source_file_count;conflict_count;populated_field_count,completeness_pct
is_product_mapping,90_RELATIONSHIPS/IS_PRODUCT_MAPPING.csv,16,relationship_id,is_id->is_master;product_id->product_master,,confidence
is_qco_mapping,90_RELATIONSHIPS/IS_QCO_MAPPING.csv,16,relationship_id,is_id->is_master;qco_id->qco_master,,confidence
is_scheme_mapping,90_RELATIONSHIPS/IS_SCHEME_MAPPING.csv,16,relationship_id,is_id->is_master;scheme_id->scheme_master,,confidence
is_document_mapping,90_RELATIONSHIPS/IS_DOCUMENT_MAPPING.csv,17,relationship_id,is_id->is_master;document_id->document_master,,confidence
is_test_mapping,90_RELATIONSHIPS/IS_TEST_MAPPING.csv,17,relationship_id,is_id->is_master;test_id->test_master,,confidence
is_lab_test_mapping,90_RELATIONSHIPS/IS_LAB_TEST_MAPPING.csv,20,relationship_id,is_id->is_master;lab_id->lab_master;test_id->test_master,,confidence
is_related_is,90_RELATIONSHIPS/IS_RELATED_IS.csv,16,relationship_id,is_id->is_master;related_is_id->is_master,,confidence
qco_scheme_mapping,90_RELATIONSHIPS/QCO_SCHEME_MAPPING.csv,16,relationship_id,qco_id->qco_master;scheme_id->scheme_master,,confidence
product_document_mapping,90_RELATIONSHIPS/PRODUCT_DOCUMENT_MAPPING.csv,17,relationship_id,product_id->product_master;document_id->document_master,,confidence
test_lab_mapping,90_RELATIONSHIPS/TEST_LAB_MAPPING.csv,18,relationship_id,test_id->test_master;lab_id->lab_master,,confidence
notification_entity_mapping,90_RELATIONSHIPS/NOTIFICATION_ENTITY_MAPPING.csv,17,relationship_id,notification_id->notification_master,,confidence
is_amendments,90_RELATIONSHIPS/IS_AMENDMENTS.csv,22,relationship_id,is_id->is_master;document_id->document_master,,confidence
is_product_manual_mapping,90_RELATIONSHIPS/IS_PRODUCT_MANUAL_MAPPING.csv,16,relationship_id,is_id->is_master;manual_id->product_manual_master,,confidence
is_fmcs_mapping,90_RELATIONSHIPS/IS_FMCS_MAPPING.csv,18,relationship_id,is_id->is_master;fmcs_id->fmcs_master,,confidence
entity_document_mapping,90_RELATIONSHIPS/ENTITY_DOCUMENT_MAPPING.csv,19,relationship_id,document_id->document_master,,confidence
scheme_product_mapping,90_RELATIONSHIPS/SCHEME_PRODUCT_MAPPING.csv,16,relationship_id,scheme_id->scheme_master;product_id->product_master,,confidence
hallmarking_centre_scope,90_RELATIONSHIPS/HALLMARKING_CENTRE_SCOPE.csv,18,relationship_id,centre_id->hallmarking_master,,confidence
is_entity_mapping,90_RELATIONSHIPS/IS_ENTITY_MAPPING.csv,17,relationship_id,is_id->is_master,,confidence
qco_product_mapping,90_RELATIONSHIPS/QCO_PRODUCT_MAPPING.csv,16,relationship_id,qco_id->qco_master;product_id->product_master,,confidence
product_manual_infrastructure,00_MASTER/PRODUCT_MANUAL_INFRASTRUCTURE.csv,19,pm_section_id,pm_id->product_manual_master,text_length;source_row,
product_manual_marking,00_MASTER/PRODUCT_MANUAL_MARKING.csv,19,pm_section_id,pm_id->product_manual_master,text_length;source_row,
product_manual_requirements,00_MASTER/PRODUCT_MANUAL_REQUIREMENTS.csv,19,pm_section_id,pm_id->product_manual_master,text_length;source_row,
product_manual_sampling,00_MASTER/PRODUCT_MANUAL_SAMPLING.csv,19,pm_section_id,pm_id->product_manual_master,text_length;source_row,
product_manual_testing,00_MASTER/PRODUCT_MANUAL_TESTING.csv,19,pm_section_id,pm_id->product_manual_master,text_length;source_row,
entity_attributes,00_MASTER/ENTITY_ATTRIBUTES.csv,22,attribute_id,,value_length;source_row,
record_provenance,91_PROVENANCE/RECORD_PROVENANCE.csv,34,provenance_id,,source_row;page,confidence
source_file_provenance,91_PROVENANCE/SOURCE_FILE_PROVENANCE.csv,29,source_file_id,,file_size_bytes;sheet_count;total_data_rows;total_columns;rows_read;cells_projected;records_canonical;records_merged;records_conflict_preserved;records_requires_review;records_not_applicable;records_accounted,
document_provenance,91_PROVENANCE/DOCUMENT_PROVENANCE.csv,26,document_provenance_id,,page_count;bytes;chunk_count;evidence_row_count;source_row,
conflict_status,92_VALIDATION/CONFLICT_STATUS.csv,21,conflict_id,,source_row_a;source_row_b,confidence
requires_review,92_VALIDATION/REQUIRES_REVIEW.csv,16,review_id,,source_row,
data_loss_audit,92_VALIDATION/DATA_LOSS_AUDIT.csv,15,,,source_row;fields_projected;fields_populated;attributes_written;relationships_written;provenance_rows,
orphan_records,92_VALIDATION/ORPHAN_RECORDS.csv,11,,,source_row,
extraction_log,93_OPERATIONAL/EXTRACTION_LOG.csv,11,,,source_row,
fmcs_country_coverage,00_MASTER/FMCS_COUNTRY_COVERAGE.csv,8,,,source_row,
fmcs_is_coverage,00_MASTER/FMCS_IS_COVERAGE.csv,9,,,source_row,
lab_scope,00_MASTER/LAB_SCOPE.csv,20,,,source_row,
unresolved_relationship_references,93_OPERATIONAL/UNRESOLVED_RELATIONSHIP_REFERENCES.csv,18,quarantine_id,,,
