id,related_IS,title
1.,IS 12330,सल्फेट रोधी पोर्टलैंड सीमेंट,"1. सीमेंट (गुणवत्ता नियंत्रण) आदेश, 2003
एस.ओ. संख्या 191(E) दिनांक 17 फरवरी 2003"
2.,IS 12600,कम ताप पोर्टलैंड सीमेंट
3.,IS 1489 (भाग 1),पोर्टलैंड पोज़ोलाना सीमेंट – भाग 1 (फ्लाई ऐश आधारित)
4.,IS 1489 (भाग 2),पोर्टलैंड पोज़ोलाना सीमेंट – भाग 2 (कैल्साइंड क्ले आधारित)
5.,IS 269,साधारण पोर्टलैंड सीमेंट
6.,IS 3466,मेसनरी सीमेंट
7.,IS 455,पोर्टलैंड स्लैग सीमेंट
8.,IS 6452,संरचनात्मक उपयोग हेतु उच्च एल्युमिना सीमेंट
9.,IS 6909,सुपर सल्फेटेड सीमेंट
10.,IS 8041,त्वरित सख्त होने वाली पोर्टलैंड सीमेंट
11.,IS 8042,सफेद पोर्टलैंड सीमेंट
12.,IS 8043,हाइड्रोफोबिक पोर्टलैंड सीमेंट
13.,IS 8229,तेल कुआँ सीमेंट
14.,IS 16415 : 2015,संयुक्त सीमेंट – विनिर्देश
15.,IS 16993 : 2018,माइक्रोफाइन साधारण पोर्टलैंड सीमेंट – विनिर्देश
16.,IS 15895 : 2018,उच्च एल्युमिना अपवर्तक सीमेंट
घरेलू विद्युत उपकरण
17.,IS 12640 (भाग 1),"अवशिष्ट धारा संचालित सर्किट ब्रेकर (घरेलू एवं समान उपयोग हेतु) –
भाग 1 : बिना अंतर्निहित ओवरकरंट सुरक्षा वाले सर्किट ब्रेकर (RCCB)","2. विद्युत तार, केबल, उपकरण एवं सुरक्षा यंत्र और सहायक उपकरण
(गुणवत्ता नियंत्रण) आदेश, 2003
एस.ओ. 189(E) दिनांक 17 फरवरी 2003
अनुवर्ती संशोधन :
एस.ओ. 165(E) दिनांक 5 फरवरी 2004,
एस.ओ. 1172(E) दिनांक 22 अगस्त 2005,
एस.ओ. 512(E) दिनांक 19 फरवरी 2009,
एस.ओ. 2058(E) दिनांक 7 अगस्त 2009 एवं
एस.ओ. 2604(E) दिनांक 19 अक्टूबर 2010"
18.,IS 12640 (भाग 2),"अवशिष्ट धारा संचालित सर्किट ब्रेकर –
भाग 2 : अंतर्निहित ओवरकरंट सुरक्षा सहित सर्किट ब्रेकर (RCVO)"
19.,IS 13010,"एसी वाट-आवर मीटर, वर्ग 0.5, 1 एवं 2"
20.,IS 13779,"एसी स्थैतिक वाट-आवर मीटर, वर्ग 1 एवं 2"
21.,IS 14697,"एसी स्थैतिक ट्रांसफॉर्मर संचालित वाट-आवर एवं
VAR-आवर मीटर, वर्ग 0.2S एवं 0.5S"
22.,IS 15111 (भाग 1 एवं 2),"सामान्य प्रकाश सेवा हेतु स्व-बैलास्टेड लैम्प –
भाग 1 : सुरक्षा आवश्यकताएँ
भाग 2 : कार्य निष्पादन आवश्यकताएँ"
23.,IS 302 (भाग 2/अनुभाग 3),घरेलू एवं समान विद्युत उपकरणों की सुरक्षा – विद्युत इस्त्री
24.,IS 302 (भाग 2/अनुभाग 201),घरेलू एवं समान विद्युत उपकरणों की सुरक्षा – विद्युत इमर्शन जल हीटर
25.,IS 302 (भाग 2/अनुभाग 202),घरेलू एवं समान विद्युत उपकरणों की सुरक्षा – विद्युत स्टोव
26.,IS 302 (भाग 2/अनुभाग 30),घरेलू एवं समान विद्युत उपकरणों की सुरक्षा – कमरे के हीटर
27.,IS 3854,घरेलू एवं समान प्रयोजनों हेतु स्विच
28.,IS 418,टंग्स्टन फिलामेंट सामान्य सेवा विद्युत लैम्प (100 वाट तक)
29.,IS 694,1100 वोल्ट तक एवं सम्मिलित कार्य वोल्टेज हेतु पीवीसी इन्सुलेटेड केबल
30.,IS 8828 *,विद्युत सहायक उपकरण – घरेलू एवं समान प्रतिष्ठानों में ओवरकरंट सुरक्षा हेतु सर्किट ब्रेकर
31.,IS 9968 (भाग 1),इलास्टोमर इन्सुलेटेड केबल (भाग 1): 1100 वोल्ट तक एवं सम्मिलित कार्य वोल्टेज हेतु
* संशोधित होकर IS/IEC 60898 के रूप में लागू
बैटरियाँ
32,IS 8144,बहुउद्देशीय शुष्क बैटरियाँ,"3.
एस.ओ. 516(E), दिनांक 25 मई 1987"
"खाद्य एवं संबंधित उत्पाद
   अनिवार्य BIS प्रमाणन से विमुक्त"
