s_no,cml_no_raw,name_address_raw,validity_date_raw,standard_no_raw,status_raw,variety_brand_raw,source_URL,retrieved_at
"1","4100295185","Meyer Aluminium (Thailand) Co. Ltd., | Address : 38/32 Moo 5, Laem Chabang Industrial Estate, Sriracha, Chonburi | City : - | Country : Thailand","05-FEB-27 00:00:00","IS 21 : 1992","Operative","a. Name of Product: Wrought Aluminium and Aluminium Alloys for Manufacture of Utensils Designation: :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"2","4100331668","Korea Zinc Co., Ltd. Onsan Complex | Address : 139, Ljin-ro, Onsan-eup, Ulju-gun, Ulsan | City : - | Country : South Korea","21-APR-27 00:00:00","IS 27:2023","Operative","Name of the product: Primary Lead Grade: Pb99.995 :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"3","4006840","Crown Cement PLC | Address : West Mukterpur | Munshigonj | Bangladesh- | City : Dhaka | Country : Bangladesh","31-JUL-27 00:00:00","IS 269 : 2015","Operative","Ordinary Portland Cement - 53 Grade and 43 Grade :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"4","4007842","D.G. Khan Cement Company Ltd. | Address : Nishat House | 53-A, Lawrence Road | Lahore | PakistanLahore | City : Lahore | Country : Pakistan","31-AUG-24 00:00:00","IS 269 : 2015","Deferred","Ordinary Portland Cement - 43 Grade and 53 Grade :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"5","4008945","Power Cement Ltd. | Address : Nooriabad Industrial Area | Kalo Kohar Distt. Dadu | Sindh | PakistanNooriabad | City : Karachi | Country : Pakistan","30-SEP-24 00:00:00","IS 269 : 2015","Operative","Ordinary Portland Cement - 43 Grade :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"6","4013736","Unique Cement Industries Ltd. | Address : Fresh Vila, | House No. 15, Road No. 34 | Gulshan - 1 | City : Dhaka | Country : Bangladesh","30-APR-27 00:00:00","IS 269 : 2015","Operative","Ordinary Portland Cement - 43 Grade(without any performance improvers) :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"7","4022434","Gharibwal Cement Ltd | Address : District Chakwal | Ismailwal | City : Chakwal | Country : Pakistan","31-MAY-25 00:00:00","IS 269 : 2015","Deferred","Ordinary Portland Cement,43 GRADE(with 5% limestone as performance improver) :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"8","4027343","Premier Cement Mills PLC | Address : T K Bhaban (4th floor) | 13 Kawran Bazar | Dhaka - 1215 | City : Dhaka | Country : Bangladesh","31-DEC-27 00:00:00","IS 269 : 2015","Operative","Ordinary Portland Cement, 43 Grade (without any Performance Improvers) :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"9","4027444","Seven Circle(bangladesh) Ltd | Address : Land view, 7th floor,28 Gulshan North C/A | Gulshan 2Dhaka | City : Avenue | Country : Bangladesh","31-JAN-24 00:00:00","IS 269 : 2015","Deferred","43 Grade OPC :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"10","4028143","Sharjah Cement Factory | Address : P.O.Box 5419, Sharjah | City : AbuDhabi | Country : United Arab Emirates","28-FEB-26 00:00:00","IS 269 : 2015","Deferred","53 Grade and 43 Grade ordinary Portland Cement without any Performance Improvers :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"11","4040739","Attock Cement Pakistan Limited | Address : HUB Chowki Lasbela Baluchistan | City : Baluchistan | Country : Pakistan","31-AUG-24 00:00:00","IS 269 : 2015","Deferred","Ordinary Portland Cement, 43 Grade and 53 Grade (without performance improvers and not meant for use :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"12","4048654","Dungsam Cement Corporation Limited | Address : Nganglam, Pemagatshel Bhutan 44102 | City : Bhutan | Country : Bhutan","28-FEB-27 00:00:00","IS 269 : 2015","Operative","Product: Ordinary Portland Cement, 43 Grade (without addition of performance improvers and not meant : Dragon Cement - DCCL CEMENT","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"13","4100065067","D.G Khan Cement Company Limited | Address : 44 KM RCD Highway, ChichaiHub | City : Lasbella | Country : Pakistan","15-MAY-25 00:00:00","IS 269 : 2015","Deferred","53 grade (without any performance improvers and without the requirement of tranverse strength test) :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"14","4100063366","Union Cement Company | Address : PO Box 170, Ras Al Khaimah, Khor Khwair Area | City : AbuDhabi | Country : United Arab Emirates","30-APR-27 00:00:00","IS 269 : 2015","Operative","53 grade and 53S grade (without any performance improvers) :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"15","4100097181","Palpa Cement Industries Ltd. | Address : 5th Floor, Central Business Park, Thapathali, Kathmandu, Nepal. | City : Nepal | Country : Nepal","15-JUN-27 00:00:00","IS 269 : 2015","Operative","Ordinary Portland Cement, Grade- OPC 53, without optional requirement of Transverse strength test Ordinary :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"16","4100103756","Arghakhanchi Cement Ltd | Address : Thapathali | City : - | Country : Nepal","25-SEP-26 00:00:00","IS 269 : 2015","Operative","Ordinary Portland Cement, Grade -OPC 43, without optional requirement of transverse strength Ordinary : ACC - ACC SURAKSHA POWER PLUS - ACC SURAKSHA POWER - AMBUJA CEMENT - AMBUJA BUILDCHEM - AMBUJA POWERCEM","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"17","4100119367","JEBEL ALI CEMENT FACTORY | Address : JEBEL ALE INDUSTRIAL AREA -2, P. O. BOX 52985, PLOT NO 599-745 DUBAI, | UNITED ARAB EMIRATES | City : AbuDhabi | Country : United Arab Emirates","06-FEB-27 00:00:00","IS 269 : 2015","Operative","Ordinary Portland Cement 1) Ordinary Portland Cement, Grade - OPC 43, without optional requirement of :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"18","4100118163","SAMRAT CEMENT COMPANY PVT LTD. | Address : LAMHI-7, DANG, NEPAL | City : - | Country : Nepal","30-JAN-27 00:00:00","IS 269 : 2015","Operative","Ordinary Portland Cement 1) Ordinary Portland Cement, Grade - OPC 43, without optional requirement of :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"19","4100114660","FUJAIRAH CEMENT INDUSTRIES (PJSC) | Address : Fujairah Cement Industries P.O. Box No. -11477 Dibba, Fujairah U.A.E | City : AbuDhabi | Country : United Arab Emirates","12-JAN-27 00:00:00","IS 269 : 2015","Operative","Ordinary Portland Cement 1. Ordinary Portland Cement, Grade -OPC 43, without optional requirement of :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"20","4100112959","Lafarge Emirates Cement LLC | Address : U Bora Business tower, FI. 23-office 2304, Business Bay, Dubai - UAE | City : AbuDhabi | Country : United Arab Emirates","10-JAN-27 00:00:00","IS 269 : 2015","Operative","Ordinary Portland Cement 1. Ordinary Portland Cement, Grade-OPC 53, without optional requirement of : CLASSIC","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"21","4100112656","SARBOTTAM CEMENT LIMITED | Address : SUNWAL MUNICIPALITY-11SUNWAL MUNICIPALITY | City : - | Country : Nepal","08-JAN-27 00:00:00","IS 269 : 2015","Operative","Ordinary Portland Cement 1. Ordinary Portland Cement, Grade-OPC 43, without optional requirement of :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
