country,manufacturer_count,licence_count
"Albania",2,2
"Australia",1,1
"Austria",20,23
"Bahrain",7,11
"Bangladesh",77,112
"Belgium",15,18
"Bhutan",28,41
"Brazil",14,15
"Bulgaria",3,3
"Cambodia",22,26
"Canada",2,2
"China",204,258
"Colombia",1,1
"Croatia",1,1
"Czech Republic",18,21
"Denmark",4,6
"Egypt",3,3
"Finland",5,5
"France",38,47
"Germany",84,112
"Greece",1,1
"Hungary",10,11
"Iceland",1,1
"Indonesia",123,169
"Iran",22,25
"Italy",114,151
"Japan",107,215
"Jordan",1,1
"Kazakhstan",3,3
"Kuwait",6,6
"Laos",5,7
"Luxembourg",3,3
"Malaysia",97,117
"Mexico",14,16
"Monaco",1,1
"Morocco",1,1
"Mozambique",1,1
"Myanmar",10,12
"Nepal",178,259
"Netherlands",8,8
"New Caledonia",1,1
"New Zealand",2,2
"Norway",2,2
"Oman",11,13
"Pakistan",5,5
"Philippines",7,7
"Poland",19,22
"Portugal",4,6
"Qatar",11,12
"Romania",9,10
"Russia",38,62
"Saudi Arabia",33,43
"Serbia and Montenegro",1,1
"Singapore",16,22
"Slovakia",3,3
"Slovenia",5,5
"South Africa",4,6
"South Korea",198,319
"Spain",22,25
"Sri Lanka",10,14
"Sweden",16,17
"Switzerland",10,13
"Taiwan",92,120
"Taiwan (R.O.C)",1,1
"Thailand",167,202
"Togo",1,1
"Turkey",37,45
"United Arab Emirates",52,69
"United Kingdom",5,5
"United States",41,46
"Uzbekistan",1,1
"Vietnam",234,315
"West Africa",2,2
"Zambia",1,2
