IS_number,manufacturer_count,licence_count
"IS 10116 : 2015",1,1
"IS 10151 : 1982",2,2
"IS 10325 : 2000",4,4
"IS 10613 : 2014",3,3
"IS 10613 : 2023",1,1
"IS 10617 : 2018",24,24
"IS 10617 : Part 1 : 2013",16,16
"IS 10702 : 2023",6,6
"IS 10748 : 2004",19,22
"IS 10773 : 1995",9,9
"IS 10773:2025",5,5
"IS 1079 : 2017",18,20
"IS 10910 : 1984",1,1
"IS 10931 : 1984",1,1
"IS 10931 : 2023",11,11
"IS 10951 : 2020",53,57
"IS 1110 : 2023",28,28
"IS 11169 (Part 2) : 2023",1,1
"IS 11169 : Part 1 : 2022",20,20
"IS 11329 : 2018",16,18
"IS 11356 (Part 1) : 2023",1,1
"IS 11356 (Part 2) : 2023",3,3
"IS 11513 : 2017",19,21
"IS 1161 : 2014",7,7
"IS 11657 : 2020",1,1
"IS 1170 : 1992",2,2
"IS 1170:2026",6,6
"IS 1171 : 2011",1,1
"IS 11890 : 1987",2,2
"IS 11946 : 1987",1,1
"IS 12029 : 2023",13,13
"IS 12045 : 1987",1,1
"IS 12067 : 2023",1,2
"IS 12069 : 2023",2,2
"IS 12084 : 2018",1,1
"IS 12145 : 1987",2,2
"IS 12146 : 1987",8,8
"IS 12254 : 2021",1,1
"IS 12345 : 1988",2,2
"IS 12345:2024",1,1
"IS 1239 : Part 1 : 2004",7,7
"IS 12406 : 2003",2,2
"IS 12406 : 2021",11,11
"IS 12444 : 2020",8,8
"IS 12540 : 2023",3,3
"IS 12591 : 2006",1,1
"IS 12591 : 2018",2,2
"IS 12615 : 2018",17,18
"IS 12640 : Part 1 : 2016",4,4
"IS 12640 : Part 2 : 2016",2,2
"IS 1269 : Part 2 : 1997",1,1
"IS 12795 : 1989",2,2
"IS 12795 : 2020",5,5
"IS 12818 : 2010",1,1
"IS 12823 : 2015",6,6
"IS 1285 : 2023",12,12
"IS 1293 : 2005",31,31
"IS 1293 : 2019",10,10
"IS 13095 : 2020",4,4
"IS 13098 : 2012",2,2
"IS 13164 : 1991",2,2
"IS 13340 : 1993",1,1
"IS 13340 : Part 1 : 2012",3,3
"IS 13387 : 1992",1,1
"IS 13428 : 2005",1,1
"IS 13428 : 2024",7,7
"IS 13592 : 2013",2,2
"IS 13601 : 1993",3,3
"IS 1363 (Part 3) : 2018",1,1
"IS 1364 (Part 1) : 2023",4,4
"IS 1364 (Part 2) : 2018",4,4
"IS 1364 (Part 2) : 2023",2,2
"IS 13774 : 2021",1,1
"IS 13893 : 1994",1,1
"IS 1391 (Part 2) : 2023",7,8
"IS 1391 : Part 2 : 2018",2,2
"IS 13983 : 1994",2,2
"IS 14246 : 2013",9,9
"IS 14246 : 2024",18,18
"IS 14255 : 1995",1,1
"IS 14261 : 1995",2,2
"IS 14268 : 2017",3,3
"IS 14399 : Parts 1 and 2 : 1996",1,1
"IS 14407 : 2023",8,8
"IS 14433 : 2022",2,2
"IS 14434 : 2023",19,20
"IS 14490 : 1997",1,1
"IS 14490 : 2024",5,5
"IS 14543 : 2024",1,1
"IS 14625 : 2015",12,12
"IS 14650 : 2023",34,37
"IS 1466 : 1985",3,3
"IS 1470 : 2013",1,1
"IS 14707 : 1999",4,4
"IS 14708 : 1999",4,4
"IS 14708:2025",1,1
"IS 14709 : 1999",7,7
"IS 14709:2025",2,2
"IS 1470:2025",1,1
"IS 14735 : 1999",1,1
"IS 14756 : 2017",1,1
"IS 14756 : 2024",14,14
"IS 14772 : 2020",1,1
"IS 14862 : 2000",3,3
"IS 1489 : Part 1 : 2015",26,26
"IS 14900 : 2018",14,14
"IS 14912 : 2001",5,5
"IS 15030 : 2001",2,2
"IS 15030 : 2022",11,12
"IS 15354 (Part 1) : 2018",1,1
"IS 15391 : 2003",1,1
"IS 15392 : 2003",3,3
"IS 1545 : 1994",2,2
"IS 1554 : Part 1 : 1988",4,4
"IS 15623 : 2005",2,2
"IS 15627 : 2005",7,7
"IS 15627 : 2022",5,5
"IS 15633 : 2005",45,48
"IS 15633 : 2022",29,32
"IS 15636 : 2012",11,11
"IS 15636 : 2022",13,13
"IS 15644 : 2006",15,15
"IS 15658:2021",1,1
"IS 15768 : 2008",1,1
"IS 15769 : 2008",8,8
"IS 15778 : 2007",2,2
"IS 15787 : 2008",1,1
"IS 15844 (Part 1) : 2023",190,194
"IS 15844 (Part 2) : 2023",59,59
"IS 15844 (Part 3) : 2024",27,27
"IS 15844:2010",2,2
"IS 15895 : 2018",2,2
"IS 15961 : 2012",15,15
"IS 15965 : 2012",13,13
"IS 15997 : 2012",2,2
"IS 16011 : 2012",1,1
"IS 16014 : 2024",1,1
"IS 16090 : 2013",2,2
"IS 16098 : Part 2 : 2013",1,1
"IS 16113 : 2013",1,1
"IS 16127 : 2013",1,1
"IS 16192 : Part 1 : 2014",2,2
"IS 16192 : Part 3 : 2018",3,3
"IS 16240 : 2023",1,1
"IS 16353 : 2015",2,2
"IS 16391 : 2015",1,1
